,NOR,VER,PIA,RUS,LEC,HAM,SAI,ALO,HUL,PER,COL,TSU,OCO,STR,ZHO,BOT,GAS,RIC,MAG,ALB
21.0,0.0,16.1299999999992,29.136999999999716,27.802999999999884,40.53699999999935,55.08599999999933,65.17399999999998,39.98899999999958,39.172999999999774,46.39599999999973,43.21299999999974,50.76599999999962,54.43499999999949,67.03499999999985,70.72199999999975,74.26399999999921,60.38199999999961,78.47599999999966,58.76999999999953,
22.0,0.0,17.206999999999425,30.436999999999898,29.05199999999968,42.42999999999938,56.164999999999964,66.84900000000016,42.14599999999973,41.185999999999694,48.71599999999944,45.05699999999979,53.06800000000021,58.496000000000095,70.35300000000007,73.72199999999975,76.80999999999949,63.097999999999956,79.98599999999988,62.0019999999995,
23.0,0.0,18.226000000000568,31.48700000000008,30.257000000000517,44.90599999999995,57.34900000000016,68.0610000000006,44.17700000000059,43.439000000000306,50.936000000000604,47.46600000000035,55.30000000000018,61.54700000000048,73.46900000000005,76.53600000000006,79.71300000000065,66.125,81.76600000000053,65.09299999999985,
24.0,0.0,19.097999999999956,32.363000000000284,31.248000000000502,46.751000000000204,58.17399999999998,69.54500000000007,46.2470000000003,45.18000000000029,53.08100000000013,48.985999999999876,57.21700000000055,63.990999999999985,76.125,79.0560000000005,82.10199999999986,68.76400000000012,83.3130000000001,68.07400000000052,
25.0,0.0,20.335000000000036,33.474999999999454,32.735999999999876,49.376000000000204,60.927999999999884,71.73700000000008,57.55000000000018,47.46699999999964,55.46099999999933,51.46799999999985,60.402000000000044,66.57899999999972,79.20799999999963,81.8710000000001,84.78299999999945,72.76699999999983,85.40399999999954,71.0590000000002,
26.0,0.0,21.650000000000546,35.05400000000009,34.233000000000175,50.983000000000175,63.83900000000085,73.7510000000002,78.97800000000007,49.77600000000075,58.236000000000786,53.63500000000022,63.04000000000087,70.00800000000072,90.77700000000004,85.01100000000042,87.67900000000009,76.41300000000047,88.32500000000073,76.00800000000072,
27.0,0.0,22.97400000000016,36.095000000000255,43.53300000000036,52.53300000000036,66.23500000000058,75.34100000000035,79.86500000000069,51.94600000000082,60.34600000000046,55.733000000000175,67.3110000000006,73.26900000000023,113.57500000000073,87.59700000000066,90.34799999999996,80.54700000000048,91.00700000000052,79.375,
28.0,0.0,24.71100000000024,36.266999999999825,63.0659999999998,54.80000000000018,67.16200000000026,77.17600000000039,81.16300000000047,55.6869999999999,70.20300000000043,58.01800000000003,70.07700000000023,76.46399999999994,115.27999999999975,90.03400000000056,93.0619999999999,84.10000000000036,93.67299999999977,91.41600000000017,
29.0,0.0,30.70600000000013,32.33300000000054,58.285000000000764,51.293000000000575,63.3100000000004,74.25900000000001,77.89900000000034,62.35900000000038,85.59400000000005,64.48400000000038,68.26600000000053,84.64500000000044,112.79100000000017,89.25,93.2450000000008,82.70600000000013,91.04600000000028,109.45300000000043,
30.0,0.0,42.6220000000003,23.550000000000182,48.259000000000015,43.76299999999992,54.06999999999971,65.39300000000003,69.38799999999992,76.92699999999968,78.10999999999967,78.99499999999989,61.16399999999976,98.18299999999999,104.63500000000022,83.03400000000056,87.10500000000047,78.76800000000003,83.53600000000006,100.51100000000042,
