,SAI,LEC,NOR,PIA,PER,STR,TSU,ALO,HUL,MAG,ALB,RIC,GAS,BOT,ZHO,OCO,RUS,HAM,VER
16.0,0.0,8.514999999999418,13.661000000000058,11.141999999999825,23.44799999999941,23.09099999999944,25.16399999999976,4.548999999999978,20.77599999999984,31.782999999999447,29.117999999999483,34.23999999999978,22.76599999999962,58.81999999999971,39.123999999999796,57.52899999999954,21.09900000000016,38.211999999999534,
17.0,0.0,2.1850000000004,8.28400000000056,4.199000000000524,23.519000000000233,22.595000000000255,24.976000000000568,9.393000000000029,31.509000000000015,32.89400000000023,29.65900000000056,35.38100000000031,36.78900000000067,60.33600000000024,40.27300000000014,60.82999999999993,18.819000000000415,,
18.0,0.0,1.15099999999984,5.7719999999999345,3.26299999999992,17.858000000000175,18.666000000000167,19.938000000000102,10.185999999999694,29.533000000000357,26.088999999999942,24.07300000000032,30.56800000000021,36.7470000000003,53.01500000000033,35.301000000000386,53.48700000000008,16.05500000000029,,
19.0,0.0,1.2210000000004584,6.317000000000007,3.32300000000032,17.887000000000626,19.960000000000036,21.121000000000095,11.303000000000793,29.96900000000005,27.126000000000204,25.28400000000056,31.78099999999995,38.858000000000175,53.801000000000386,37.027000000000044,54.556000000000495,16.644000000000233,,
20.0,0.0,1.5039999999999054,6.356999999999971,3.8059999999995853,17.995999999999185,21.279999999999745,22.567000000000007,12.531999999999243,30.77299999999923,28.33299999999963,26.28899999999976,33.305999999999585,40.917999999999665,54.89300000000003,38.49399999999969,55.76800000000003,17.475999999999658,,
21.0,0.0,1.6310000000003129,6.332999999999629,3.7979999999997744,18.115999999999985,21.97699999999986,23.60400000000027,13.305000000000291,31.320999999999913,29.261999999999716,27.423999999999978,34.5619999999999,42.228000000000065,55.40099999999984,40.03600000000006,56.5,18.97400000000016,,
22.0,0.0,1.8820000000005166,6.611000000000786,4.3400000000001455,18.514000000000124,23.411000000000058,24.806000000000495,14.312000000000808,32.28900000000067,31.106000000000677,29.254000000000815,36.19600000000082,43.80200000000059,56.652000000000044,41.996000000000095,57.832000000000335,20.34100000000035,,
23.0,0.0,2.282999999999447,6.824999999999818,4.625999999999294,18.831999999999425,24.740999999999985,26.227999999999156,15.221999999999753,32.909999999999854,33.85999999999967,30.920999999999367,37.67699999999968,45.19999999999982,57.46099999999933,43.72899999999936,59.013999999999214,21.821999999999207,,
24.0,0.0,2.67699999999968,6.929000000000087,4.9979999999995925,18.90099999999984,26.13500000000022,27.796000000000276,16.051000000000386,33.97999999999956,35.73199999999997,32.97599999999966,39.51099999999951,46.74300000000039,58.912999999999556,45.46699999999964,60.3149999999996,23.305999999999585,,
25.0,0.0,3.384999999999309,7.3989999999994325,5.351999999999862,19.152999999999338,27.83299999999963,29.553999999999178,17.51599999999962,35.71099999999933,37.990999999999985,35.40399999999954,41.8149999999996,48.43299999999999,60.22099999999955,47.2549999999992,61.86899999999969,24.76599999999962,,
