,VER,PER,SAI,LEC,RUS,NOR,HAM,PIA,ALO,STR,ZHO,MAG,RIC,TSU,ALB,HUL,OCO,GAS,BOT,SAR
11.0,0.0,9.61999999999989,11.128999999999905,14.837000000000444,11.29700000000048,14.69000000000051,18.914999999999964,16.798999999999978,20.171000000000276,49.960000000000036,48.14100000000053,28.605999999999767,29.23400000000038,22.158000000000357,24.21600000000035,57.50300000000061,52.6220000000003,30.13000000000011,32.33300000000054,124.95600000000013
12.0,0.0,12.851999999999862,11.734000000000378,35.26299999999992,32.712000000000444,15.726999999999862,22.759000000000015,20.493000000000393,21.66899999999987,50.090000000000146,48.09100000000035,51.24300000000039,31.082000000000335,23.882000000000517,26.105000000000473,58.16399999999976,53.176000000000386,34.54100000000017,38.43299999999999,126.40400000000045
13.0,0.0,33.44600000000082,11.947000000000116,34.664999999999964,32.84900000000016,19.332000000000335,44.374000000000706,42.152000000000044,23.226000000000568,50.34900000000016,48.4970000000003,51.103000000000065,36.225000000000364,25.712000000000444,27.89800000000014,58.9350000000004,53.509000000000015,62.07600000000002,62.48400000000038,130.36300000000028
14.0,0.0,32.02400000000034,14.67200000000048,34.39300000000003,33.391999999999825,40.074000000000524,44.52400000000034,41.92000000000007,24.8100000000004,50.94499999999971,48.95100000000002,51.664999999999964,58.60500000000047,29.822000000000116,29.846999999999753,59.78600000000006,54.01800000000003,62.73700000000008,61.909999999999854,134.8050000000003
15.0,0.0,31.82799999999952,34.88599999999951,34.19499999999971,33.302999999999884,39.974999999999454,44.777000000000044,41.73199999999997,28.899999999999636,51.46699999999964,49.4399999999996,52.985999999999876,58.66399999999976,52.39899999999943,34.00699999999961,60.88499999999931,54.849999999999454,63.21799999999985,62.185999999999694,135.38799999999992
16.0,0.0,30.44300000000021,34.09400000000005,33.69999999999982,32.81800000000021,39.3720000000003,44.69999999999982,40.990999999999985,50.54600000000028,52.32600000000002,49.931000000000495,53.56700000000001,58.67200000000048,52.7470000000003,56.18000000000029,61.51299999999992,55.58399999999983,63.57099999999991,62.735999999999876,139.59000000000015
17.0,0.0,27.001000000000204,29.704999999999927,31.106000000000677,29.15599999999995,36.25200000000041,41.914999999999964,37.96700000000055,47.61999999999989,51.207000000000335,48.51000000000022,51.95300000000043,56.06600000000071,50.33300000000054,53.676000000000386,59.50800000000072,54.59900000000016,61.624000000000706,60.60500000000047,139.45200000000023
18.0,0.0,5.457999999999629,7.939000000000306,10.69000000000051,9.121000000000095,14.905999999999949,20.911000000000058,17.20799999999963,27.127000000000407,30.770000000000437,28.20799999999963,31.68199999999979,35.91200000000026,29.837999999999738,33.41200000000026,39.86999999999989,34.86499999999978,41.560999999999694,40.66899999999987,119.67500000000018
19.0,0.0,6.212999999999738,8.891999999999825,12.228000000000065,11.070999999999913,16.03899999999976,22.322000000000116,18.501999999999498,28.915999999999258,33.04099999999926,30.576999999999316,34.1909999999998,38.97899999999936,31.951000000000022,35.891999999999825,42.448999999999614,37.91399999999976,43.97999999999956,43.047999999999774,122.13400000000001
20.0,0.0,7.331000000000131,9.765999999999622,13.86200000000008,12.643000000000029,17.38000000000011,23.425999999999476,19.985999999999876,31.113000000000284,35.73999999999978,33.16600000000017,37.09299999999985,41.6840000000002,34.55699999999979,38.43299999999999,48.086999999999534,40.938999999999396,46.85599999999977,46.172999999999774,124.79399999999987
21.0,0.0,8.180000000000291,10.554000000000087,15.523000000000138,14.096000000000458,18.684000000000196,24.61999999999989,21.403000000000247,33.139000000000124,38.44599999999991,35.79700000000048,39.78700000000026,43.76000000000022,37.01800000000003,41.034999999999854,71.47000000000025,44.985999999999876,49.634000000000015,48.587000000000444,127.48700000000008
22.0,0.0,9.01299999999992,11.358000000000175,17.11500000000069,15.884000000000015,20.14800000000014,26.048999999999978,22.753999999999905,35.0570000000007,41.41700000000037,38.44500000000062,42.73000000000047,46.306000000000495,39.65100000000075,43.86200000000008,73.1240000000007,48.4369999999999,52.298000000000684,51.38100000000031,130.01100000000042
