,VER,PER,SAI,LEC,NOR,ALO,RUS,PIA,HAM,TSU,HUL,STR,MAG,BOT,OCO,GAS,SAR,ZHO,RIC,ALB
35.0,4.005000000001019,12.129000000000815,0.0,11.806000000000495,14.412000000000262,29.36200000000099,17.641999999999825,30.58600000000115,21.27599999999984,58.16400000000067,80.92100000000028,75.44500000000153,63.47900000000118,64.03900000000067,93.98400000000038,102.82500000000073,86.00799999999981,,,
36.0,0.0,7.984000000000378,0.6860000000015134,9.863000000001193,11.684000000001106,26.09100000000035,15.486000000000786,27.090000000000146,18.843000000000757,56.64300000000003,78.15500000000065,72.79400000000169,62.9330000000009,63.67200000000048,92.34300000000076,101.48400000000038,82.88100000000122,,,
37.0,0.0,7.822000000000116,20.77900000000045,11.028000000000247,13.126000000000204,26.502000000000407,19.34599999999955,27.520000000000437,20.49499999999898,59.09200000000055,79.1180000000004,74.10800000000017,65.625,66.30400000000009,96.13600000000042,104.94000000000051,84.01399999999921,,,
38.0,0.0,8.081000000000131,19.788000000000466,12.070999999999913,14.023000000001048,27.00300000000061,38.284999999999854,27.801000000001295,22.967000000000553,61.548000000000684,80.26200000000063,75.47800000000097,68.42799999999988,69.31800000000112,97.8640000000014,106.71000000000095,85.1770000000015,,,
39.0,0.0,8.576999999999316,19.712999999999738,13.270000000000437,15.235000000000582,28.47899999999936,38.19499999999971,29.343000000000757,27.50300000000061,64.64899999999943,81.621000000001,77.59799999999996,71.48700000000099,72.0560000000005,100.42799999999988,112.4390000000003,86.9330000000009,,,
40.0,0.0,8.971999999999753,19.76599999999962,15.268000000000029,17.14099999999962,29.943999999999505,38.388999999999214,30.88799999999901,47.568999999999505,67.74699999999939,82.98300000000017,79.09900000000016,74.6859999999997,75.57099999999991,103.66499999999905,116.16799999999967,88.87199999999939,,,
41.0,0.0,9.72899999999936,20.355999999999767,16.445999999999913,18.096999999999753,31.2450000000008,38.65700000000106,32.159999999999854,47.24799999999959,70.77100000000064,84.65700000000106,80.6239999999998,77.92599999999948,78.61000000000058,108.39999999999964,119.37199999999939,138.3809999999994,,,
42.0,0.0,10.197000000000116,20.683999999999287,17.278000000000247,19.34900000000016,33.572000000000116,38.990999999999985,34.74300000000039,46.52100000000064,73.29900000000089,86.06600000000071,82.21500000000015,80.92900000000009,81.64600000000064,110.5640000000003,121.42100000000028,158.58699999999953,,,
43.0,0.0,10.993000000000393,21.130999999999403,18.688000000000102,20.96600000000035,35.361000000000786,39.82899999999972,36.28100000000086,46.29999999999927,76.4940000000006,87.91400000000067,84.41500000000087,84.00200000000041,84.78700000000026,113.73899999999958,123.91699999999946,159.1839999999993,,,
44.0,0.0,11.238999999999578,21.012000000000626,19.917999999999665,22.902000000000044,36.52100000000064,40.20800000000054,37.36499999999978,46.1820000000007,79.3680000000004,90.22800000000097,86.44499999999971,87.02200000000084,87.83899999999994,120.2450000000008,126.66300000000047,159.8160000000007,,,
45.0,0.0,11.629000000000815,21.412000000000262,21.051000000001295,24.520000000000437,37.551000000001295,40.51500000000124,38.40700000000106,46.36700000000019,82.01200000000063,92.43000000000029,88.64500000000044,90.09000000000015,91.96700000000055,122.62200000000121,128.9989999999998,160.5600000000013,,,
46.0,0.0,11.769000000000233,20.64300000000003,23.21899999999914,25.545000000000073,38.76800000000003,41.02000000000044,39.55199999999968,46.55500000000029,84.44800000000032,95.98899999999958,90.38500000000022,93.8119999999999,97.32300000000032,125.10299999999916,131.38600000000042,161.72799999999916,,,
47.0,0.0,11.712000000001353,20.593000000000757,24.028000000000247,26.06500000000051,39.516999999999825,41.22400000000016,40.32999999999993,46.121000000001004,86.44100000000071,97.70300000000134,91.97600000000057,97.40600000000086,100.11000000000058,127.371000000001,133.03200000000106,162.3160000000007,,,
48.0,0.0,11.345000000001164,19.80500000000029,23.780000000000655,25.99200000000019,39.62800000000061,40.897000000000844,40.478000000000975,45.27100000000064,87.72900000000118,97.6859999999997,94.25900000000001,99.97500000000036,101.56600000000071,128.45700000000033,133.9240000000009,162.40300000000025,,,
