,NOR,VER,LEC,PIA,SAI,PER,RUS,HAM,GAS,ALO,HUL,RIC,STR,ALB,OCO,SAR,TSU,MAG,BOT,ZHO
11.0,1.329000000000633,0.0,6.414000000000669,5.955000000000837,11.951000000000022,7.893000000000029,4.605000000000473,15.542000000000371,13.40100000000075,14.674000000000888,16.58900000000085,21.270000000000437,15.181000000000495,22.69000000000051,22.231000000000677,25.611000000000786,17.549000000000888,26.829000000000633,20.485000000000582,29.72900000000027
12.0,0.9909999999999854,0.0,6.38799999999992,5.880000000000109,11.993000000000393,7.742000000000189,4.449999999999818,16.85400000000027,14.238000000000284,15.644999999999527,17.677999999999884,22.34599999999955,16.31999999999971,26.993000000000393,23.371000000000095,26.672999999999774,18.63799999999992,27.949999999999818,21.787999999999556,31.30500000000029
13.0,0.8950000000004366,0.0,6.681000000000495,6.056000000000495,12.179000000000087,8.003000000000611,4.757999999999811,17.89800000000014,14.860999999999876,16.41899999999987,19.04399999999987,24.11999999999989,17.819000000000415,46.03900000000067,24.958999999999833,27.783000000000357,20.10900000000038,28.514000000000124,23.45300000000043,32.79700000000048
14.0,0.899000000000342,0.0,6.57300000000032,6.060999999999694,12.363999999999578,8.24499999999989,4.604000000000269,18.050999999999476,15.323999999999614,17.222999999999956,23.91699999999946,25.353000000000065,19.722999999999956,45.840000000000146,26.228000000000065,28.85899999999947,24.824999999999818,29.26800000000003,25.078999999999724,34.78700000000026
15.0,0.9040000000004511,0.0,6.721000000000458,6.221000000000458,12.489000000000487,8.60400000000027,4.717999999999847,18.515000000000327,16.221999999999753,18.288000000000466,42.900000000000546,26.574999999999818,21.03400000000056,45.13799999999992,28.86200000000008,30.171000000000276,44.46399999999994,30.605000000000473,31.70600000000013,36.51800000000003
16.0,0.35799999999926513,0.0,6.976999999999862,6.369999999999891,12.729999999999563,8.940999999999804,4.739999999999782,18.971999999999753,16.961999999999534,20.498999999999796,42.59699999999975,27.50999999999931,22.64599999999973,44.909999999999854,30.292999999999665,31.77599999999984,43.78099999999995,31.95799999999963,51.318999999999505,38.516999999999825
17.0,0.1390000000001237,0.0,7.042000000000371,6.414000000000669,12.806000000000495,9.10400000000027,4.701000000000022,19.519000000000233,17.91900000000078,21.70300000000043,42.496000000000095,28.69500000000062,23.812000000000808,45.228000000000065,31.825000000000728,34.65599999999995,43.207000000000335,33.621000000000095,51.08800000000065,40.40700000000015
18.0,0.0,0.6960000000008222,7.254000000000815,6.7020000000002256,12.775000000000546,9.63000000000011,5.078000000000429,19.9350000000004,18.790000000000873,22.976000000000568,42.35700000000088,29.791000000000167,24.887000000000626,45.624000000000706,33.26800000000003,36.462000000000444,43.264000000000124,34.965000000000146,51.28200000000015,45.960000000000036
19.0,0.0,0.7430000000003929,7.873000000000502,7.318000000000211,13.523000000000138,10.35400000000027,5.751000000000204,20.77900000000045,19.925000000000182,24.413000000000466,42.32499999999982,31.009000000000015,26.59600000000046,47.25799999999981,35.074000000000524,38.597999999999956,43.65599999999995,36.42399999999998,51.965000000000146,67.66499999999996
20.0,0.0,1.3250000000007276,8.221000000000458,7.606000000000677,14.125,10.840000000000146,6.339000000000851,21.42200000000048,21.017000000000735,25.1850000000004,42.23500000000058,32.28400000000056,27.9320000000007,49.85400000000027,36.54900000000089,40.57500000000073,43.949000000000524,37.65300000000025,52.82000000000062,68.43000000000029
21.0,0.0,2.0120000000006257,8.775000000000546,8.411000000000058,14.679000000000087,11.640000000000327,7.251000000000204,22.819000000000415,22.552999999999884,26.41899999999987,42.78700000000026,34.17399999999998,29.355999999999767,50.52599999999984,38.413000000000466,42.5590000000002,44.62700000000041,38.572000000000116,53.9380000000001,69.41600000000017
22.0,0.0,2.626999999999498,9.72900000000027,9.461999999999534,15.443000000000211,12.528000000000247,8.188000000000102,24.894000000000233,23.9970000000003,27.760999999999513,44.04399999999987,35.54100000000017,30.911000000000058,50.91399999999976,41.021999999999935,49.99799999999959,46.15399999999954,40.23399999999947,54.83600000000024,70.34599999999955
23.0,0.0,3.4290000000000873,10.673000000000684,10.40099999999984,16.326000000000022,13.747000000000298,9.15900000000056,29.78400000000056,25.302999999999884,29.8070000000007,44.918000000000575,37.16899999999987,32.42900000000009,51.306000000000495,43.113000000000284,70.55100000000039,47.259000000000015,41.39400000000023,55.733000000000175,71.85699999999997
