,VER,NOR,LEC,PIA,SAI,HAM,RUS,PER,STR,TSU,HUL,MAG,RIC,OCO,ZHO,GAS,SAR,BOT,ALO,ALB
16.0,0.0,5.204000000000633,6.8510000000005675,10.949999999999818,9.822000000000116,15.297999999999774,13.40099999999984,25.418000000000575,30.34600000000046,48.73700000000008,50.77800000000025,37.02100000000064,53.73400000000038,34.40700000000015,40.50500000000011,55.54200000000037,43.14000000000033,57.69300000000021,59.63299999999981,143.40300000000025
17.0,0.0,5.4409999999998035,7.23700000000008,11.53399999999965,10.666999999999462,15.815999999999804,14.063999999999396,30.889999999999418,31.811999999999898,49.264000000000124,51.52399999999943,39.26999999999953,54.66399999999976,36.139000000000124,42.210000000000036,56.60499999999956,44.96299999999974,58.83299999999963,60.95499999999993,144.48499999999967
18.0,0.0,5.6469999999999345,7.545000000000073,11.989999999999782,10.993999999999687,16.424999999999272,14.860999999999876,31.91399999999976,33.44799999999941,49.80199999999968,52.198999999999614,41.197000000000116,55.28399999999965,37.80999999999949,43.904999999999745,57.612999999999374,46.914999999999964,59.78200000000015,61.93399999999929,145.3209999999999
19.0,0.0,5.9229999999997744,7.699999999999818,12.515000000000327,11.590000000000146,16.881999999999607,15.373999999999796,32.251000000000204,34.702000000000226,50.447000000000116,53.305999999999585,42.95100000000002,55.990999999999985,39.47199999999975,45.56700000000001,58.327000000000226,48.86899999999969,60.547999999999774,63.103000000000065,146.3829999999998
20.0,0.0,6.255999999999403,7.907000000000153,12.817999999999302,12.0649999999996,17.554000000000087,16.03899999999976,32.96900000000005,35.76800000000003,51.349999999999454,54.0649999999996,44.250999999999294,56.45399999999972,41.07799999999952,47.22399999999925,59.00999999999931,50.48999999999978,61.23700000000008,64.46199999999953,146.558
21.0,0.0,6.503000000000611,7.968000000000757,13.42200000000048,12.463000000000648,18.22100000000046,21.311000000000604,33.301000000000386,36.74200000000019,52.68299999999999,54.67500000000018,45.32900000000063,57.06700000000001,42.689000000000306,48.83300000000054,59.84200000000055,52.137000000000626,61.86000000000058,67.19300000000021,147.28500000000076
22.0,0.0,10.846999999999753,8.222999999999956,13.527999999999338,12.625999999999294,18.303999999999178,44.485999999999876,33.40899999999965,37.675999999999476,54.24199999999928,55.323999999999614,46.57899999999972,57.70399999999972,44.30199999999968,50.33099999999922,60.375,53.66100000000006,62.53299999999945,68.79799999999977,147.79199999999946
23.0,0.0,33.55200000000059,8.177999999999884,17.76000000000022,12.449999999999818,17.877000000000407,43.16700000000037,33.39100000000053,38.23199999999997,55.646999999999935,56.21900000000005,47.35199999999986,58.360999999999876,45.923000000000684,51.363000000000284,61.001000000000204,54.626000000000204,62.878999999999905,69.7480000000005,152.78200000000015
24.0,0.0,27.807999999999993,3.5659999999998035,34.8119999999999,8.010999999999513,14.010000000000218,37.92999999999938,29.862999999999374,34.61200000000008,52.00799999999981,53.10899999999947,44.07899999999972,54.60699999999997,42.7529999999997,48.17199999999957,57.30699999999979,51.40099999999984,59.2559999999994,66.49699999999939,180.90499999999975
25.0,14.123000000000502,19.306000000000495,0.11000000000058208,25.24000000000069,0.0,6.023000000000138,29.402000000000044,22.61200000000008,28.144000000000233,45.60200000000077,46.39300000000003,37.89600000000064,47.8090000000002,41.155000000000655,42.05300000000079,50.4350000000004,45.17000000000007,52.38200000000052,59.97100000000046,177.07000000000062
26.0,13.016999999999825,18.61700000000019,23.527999999999338,24.22899999999936,0.0,10.780999999999949,29.46900000000005,23.399999999999636,29.087999999999738,46.188999999999396,47.47400000000016,39.17000000000007,49.46599999999944,65.09199999999964,43.5059999999994,51.60399999999936,48.935999999999694,53.448999999999614,61.29399999999987,177.6859999999997
27.0,7.610000000000582,13.296000000000276,17.113000000000284,18.66400000000067,0.0,10.64600000000064,23.855000000000473,20.82300000000032,26.171000000000276,42.23000000000047,43.44599999999991,35.75800000000072,46.6220000000003,60.57600000000002,40.085000000000036,47.975000000000364,46.08400000000074,49.6820000000007,57.70100000000002,173.46300000000065
28.0,0.0,6.054000000000087,9.721999999999753,10.943999999999505,15.809000000000196,25.733000000000175,17.16399999999976,14.734999999999673,20.662999999999556,36.4340000000002,37.871000000000095,30.572000000000116,41.59400000000005,54.3130000000001,34.6869999999999,42.76500000000033,40.998999999999796,44.332000000000335,52.3090000000002,173.39999999999964
29.0,0.0,6.372000000000298,9.609000000000378,10.641999999999825,16.791000000000167,25.71100000000024,17.993000000000393,16.467000000000553,22.679000000000087,38.41200000000026,40.085000000000036,33.11400000000049,44.30000000000018,55.95899999999983,37.19000000000051,45.70100000000002,43.81999999999971,46.85599999999977,54.60699999999997,199.80100000000039
30.0,0.0,6.52100000000064,9.463999999999942,10.649000000000342,16.868000000000393,25.726000000000568,19.520000000000437,19.15900000000056,24.757000000000517,40.733000000000175,42.246000000000095,35.60400000000027,47.79899999999998,57.94500000000062,39.735999999999876,53.09299999999985,47.275000000000546,49.561000000000604,56.93199999999979,200.58399999999983
31.0,0.0,6.604000000000269,9.863000000000284,10.832000000000335,16.975000000000364,26.918000000000575,20.49200000000019,22.307999999999993,28.13299999999981,43.32499999999982,44.71100000000024,38.34299999999985,50.94300000000021,59.98900000000049,42.516999999999825,77.21700000000055,54.94499999999971,51.8779999999997,58.944000000000415,201.98800000000028
32.0,0.0,6.814000000000306,9.795000000000073,10.958000000000538,16.89800000000014,27.36500000000069,20.895000000000437,23.85400000000027,30.374000000000706,46.14900000000034,47.254000000000815,41.65800000000036,52.08300000000054,61.73000000000047,45.61000000000058,77.91100000000006,82.44400000000041,53.83800000000065,60.91900000000078,203.09200000000055
