,VER,NOR,PER,LEC,SAI,RUS,ALO,PIA,HAM,HUL,OCO,ALB,GAS,ZHO,STR,MAG,SAR,RIC,TSU,BOT
40.0,0.0,5.372000000000298,10.806999999999789,11.704999999999927,19.38000000000011,20.085000000000036,15.17699999999968,25.26000000000022,27.376000000000204,26.953999999999724,29.5,30.96900000000005,53.07600000000002,40.00500000000011,62.98700000000008,38.277000000000044,37.27800000000025,,,
41.0,0.0,6.02599999999984,11.338999999999942,12.26299999999992,20.61200000000008,22.04200000000037,16.929000000000087,27.814000000000306,29.190999999999804,30.060999999999694,32.08600000000024,33.65700000000015,53.766999999999825,59.76600000000053,64.06500000000051,41.05000000000018,40.15400000000045,,,
42.0,0.0,7.5,11.63299999999981,12.942000000000007,22.14100000000053,23.587000000000444,18.496000000000095,29.597000000000662,31.032000000000153,32.50600000000031,34.373999999999796,35.988000000000284,54.564000000000306,59.17200000000048,64.79100000000017,43.33600000000024,42.82099999999991,,,
43.0,0.0,8.207999999999629,12.015999999999622,13.626000000000204,23.261999999999716,25.04399999999987,25.225000000000364,31.248999999999796,33.029999999999745,34.654999999999745,36.6850000000004,38.1869999999999,55.36899999999969,59.26800000000003,65.91799999999967,45.35699999999997,46.69300000000021,,,
44.0,0.0,8.337999999999738,12.432999999999993,14.161999999999352,24.065999999998894,26.119000000000597,43.197000000000116,32.94800000000032,34.63999999999942,36.69599999999991,38.61999999999898,40.38600000000042,55.969999999999345,59.64500000000044,66.97099999999955,47.376000000000204,49.78199999999924,,,
45.0,0.0,8.558999999999287,13.065999999998894,14.970999999999549,25.06999999999971,27.521999999999025,41.79099999999926,35.03299999999945,36.521999999999025,38.71399999999994,40.826999999999316,42.82999999999993,56.818999999999505,59.98199999999997,68.04600000000028,49.23699999999917,52.47999999999956,,,
46.0,0.0,8.84400000000096,13.59900000000016,15.762000000000626,25.863999999999578,28.46900000000096,41.91699999999946,36.89400000000023,38.43000000000029,40.79900000000089,43.478000000000975,45.173000000000684,57.63600000000042,60.18499999999949,69.34900000000016,51.30199999999968,55.44300000000112,,,
47.0,0.0,9.534999999999854,14.131999999999607,16.65599999999904,27.04399999999987,29.450999999999112,42.45800000000054,38.92200000000048,40.384000000000015,43.375,45.79899999999907,47.33499999999913,58.61099999999897,60.80899999999929,70.58100000000013,53.245999999999185,57.93499999999949,,,
48.0,0.0,9.855999999999767,14.768000000000029,17.488999999999578,28.18999999999869,30.519999999998618,42.969999999999345,41.03399999999965,42.373999999999796,45.245999999999185,47.774999999999636,49.518999999998414,60.836999999999534,61.875,71.55299999999988,55.52399999999943,61.37699999999859,,,
49.0,0.0,10.221999999999753,15.320999999999913,18.561999999999898,28.949000000000524,31.38800000000083,43.02300000000105,43.73000000000138,44.944000000001324,47.137000000000626,49.72199999999975,51.57300000000032,61.79200000000128,64.02700000000004,72.77200000000084,57.52900000000045,64.77000000000044,,,
50.0,0.0,10.954000000001543,15.928000000001703,19.454000000001543,29.856000000001586,32.40900000000147,42.75200000000041,45.582000000000335,46.80500000000029,49.02300000000105,51.84400000000096,53.56600000000071,62.48500000000058,65.11599999999999,73.91500000000087,59.460000000000946,67.97000000000116,,,
51.0,0.0,11.626999999998588,16.557999999999083,20.38299999999981,30.818999999999505,33.466999999998734,42.96299999999974,47.63699999999881,49.013999999999214,51.29599999999846,54.04500000000007,55.72699999999895,63.70600000000013,66.01899999999841,75.35599999999977,62.0630000000001,71.01399999999921,,,
52.0,0.0,11.877000000000407,16.98699999999917,21.141999999999825,31.538000000000466,34.503999999998996,42.664999999999054,49.54500000000007,50.78099999999904,53.22699999999895,55.909999999999854,57.70299999999952,65.0640000000003,66.86700000000019,76.64999999999964,64.42799999999988,73.86999999999898,,,
53.0,0.0,12.430999999998676,17.528999999998632,21.85399999999936,32.44499999999971,35.51999999999862,42.5679999999993,51.36199999999917,52.64799999999923,55.115999999999985,57.90799999999945,59.40299999999843,66.78299999999945,68.2619999999988,78.39799999999923,68.78699999999844,76.48999999999978,,,
54.0,0.0,12.875,17.98400000000038,22.252000000000407,32.95299999999952,36.586999999999534,43.17200000000048,53.236000000000786,54.36800000000039,56.98899999999958,59.65699999999924,62.05400000000009,67.73699999999917,69.74699999999939,80.19599999999991,71.87700000000041,79.1190000000006,,,
55.0,0.0,13.755999999999403,18.771999999999025,23.328999999999724,33.85900000000038,38.21099999999933,43.422999999998865,54.8809999999994,56.16699999999946,58.888999999999214,61.425999999999476,64.24699999999939,68.66899999999987,70.72699999999895,81.53399999999965,74.9359999999997,82.22699999999895,,,
56.0,0.0,13.786999999998443,19.16899999999987,23.643999999998414,34.01599999999962,38.750999999998385,43.41899999999987,56.237999999999374,57.99799999999959,60.539999999999054,62.823999999998705,65.51800000000003,69.23499999999876,71.66599999999926,82.78299999999945,77.55299999999988,85.12199999999939,,,
