,SAI,NOR,LEC,HAM,RUS,VER,MAG,PIA,HUL,GAS,STR,COL,OCO,BOT,ZHO,LAW,PER,ALO,ALB,TSU
13.0,0.0,4.272999999999229,1.2769999999991342,5.97899999999936,6.641999999999825,3.125,8.097999999999956,19.019999999999527,10.005999999999403,10.857999999999265,15.643000000000029,18.279999999999745,21.113999999999578,19.713999999999942,20.424999999999272,12.585000000000036,13.984999999999673,17.59599999999955,,
14.0,0.0,4.786000000000058,1.11200000000008,8.060999999999694,8.581000000000131,3.4080000000003565,9.625,21.717000000000553,11.41399999999976,12.371000000000095,17.35900000000038,21.110000000000582,23.595000000000255,22.427999999999884,22.929000000000087,13.90099999999984,14.90900000000056,20.48700000000008,,
15.0,0.0,5.415999999999258,1.8079999999999927,10.583999999999833,9.472999999999956,3.9429999999993015,11.227999999999156,24.44499999999971,13.140999999999622,14.019999999999527,18.969999999999345,23.863999999999578,29.0679999999993,25.126999999999498,26.777000000000044,15.515999999999622,16.393999999999323,27.391999999999825,,
16.0,0.0,5.8070000000006985,1.8389999999999418,11.644000000000233,10.554000000000087,4.432999999999993,12.566000000000713,25.75300000000061,14.618000000000393,15.684000000000196,20.895000000000437,24.89100000000053,31.186000000000604,27.31800000000021,29.313000000000102,17.17200000000048,17.89600000000064,,,
17.0,0.0,6.126999999999498,1.6869999999998981,12.63799999999992,11.108000000000175,4.438000000000102,13.515999999999622,26.686999999999898,16.057999999999993,17.190999999999804,22.295000000000073,25.84900000000016,32.28099999999995,29.010999999999513,30.871000000000095,18.460000000000036,19.14099999999962,,,
18.0,0.0,6.63300000000072,2.063000000000102,13.71100000000024,11.980000000000473,5.01299999999992,14.998000000000502,28.61500000000069,17.59600000000046,18.963999999999942,25.103000000000065,27.871000000000095,34.01299999999992,31.05200000000059,32.78200000000015,21.926000000000386,24.707000000000335,,,
19.0,0.0,7.311000000000604,2.5640000000003056,15.046000000000276,13.118000000000393,5.6599999999998545,16.55500000000029,30.547999999999774,19.426000000000386,21.188000000000102,28.822000000000116,29.83600000000024,35.822000000000116,33.05699999999979,34.76100000000042,23.728000000000065,27.58300000000054,,,
20.0,0.0,7.874000000000706,2.568000000000211,16.168000000000575,14.07800000000043,6.2280000000000655,18.08900000000085,32.76300000000083,20.999000000000706,23.036000000000058,31.088000000000648,32.67700000000059,37.71600000000035,34.72100000000046,36.512000000000626,25.295000000000073,35.47900000000027,,,
21.0,0.0,8.597999999999956,3.1090000000003783,17.463999999999942,15.19800000000032,7.140000000000327,19.855999999999767,35.22999999999956,22.94300000000021,25.40099999999984,33.1880000000001,36.18199999999979,39.82499999999982,37.211999999999534,38.87299999999959,27.256000000000313,60.30799999999999,,,
22.0,0.0,9.226999999999862,3.6760000000003856,18.564000000000306,16.217999999999847,8.032000000000153,21.39300000000003,36.3730000000005,24.702000000000226,27.230999999999767,35.11000000000058,37.70300000000043,41.659999999999854,39.1230000000005,40.89100000000053,29.067000000000007,60.284999999999854,,,
