,NOR,VER,LEC,PER,SAI,HAM,TSU,RUS,ALO,OCO,HUL,GAS,PIA,ZHO,RIC,BOT,STR,ALB,MAG,SAR
23.0,5.817000000000007,1.2929999999996653,19.243000000000393,27.320999999999913,2.600999999999658,22.295000000000073,26.40400000000045,24.725999999999658,44.63000000000011,43.944000000000415,43.710000000000036,44.98000000000047,0.0,37.44999999999982,40.76900000000023,55.345000000000255,47.63799999999992,48.74300000000039,51.610999999999876,50.33100000000013
24.0,5.344000000000051,15.925000000000182,19.182999999999993,27.252000000000407,2.786000000000058,22.692000000000007,28.35400000000027,30.34100000000035,45.6220000000003,44.529999999999745,45.35400000000027,46.50799999999981,0.0,38.68299999999999,41.80200000000059,56.636999999999716,49.02099999999973,50.2480000000005,52.30400000000009,51.561000000000604
25.0,5.061999999999898,15.769999999999527,19.009000000000015,27.561999999999898,2.787999999999556,23.170999999999367,29.177999999999884,45.32600000000002,46.81700000000001,44.99499999999989,47.386999999999716,48.02399999999943,0.0,39.89399999999932,42.78399999999965,57.58399999999983,50.27899999999954,51.22400000000016,53.03200000000015,52.909999999999854
26.0,4.5590000000001965,15.523999999999432,18.74499999999989,27.417999999999665,2.7049999999999272,29.563999999999396,29.60199999999986,45.02799999999934,47.62299999999959,46.386999999999716,49.052999999999884,49.80799999999999,0.0,40.88199999999961,43.34299999999985,58.71399999999994,51.32099999999991,52.04199999999946,54.74699999999939,54.46900000000005
27.0,0.0,11.318000000000211,14.081000000000131,22.858000000000175,3.266000000000531,38.80699999999979,25.98999999999978,40.902000000000044,44.085000000000036,42.83600000000024,47.15700000000015,46.70100000000002,0.8810000000003129,37.64600000000064,41.79399999999987,55.55400000000009,48.46100000000024,49.10100000000057,51.405000000000655,51.302999999999884
28.0,0.0,18.652000000000044,20.942000000000007,37.85199999999986,28.104999999999563,54.13000000000011,41.61799999999948,58.14099999999962,62.15599999999995,60.702000000000226,70.54399999999987,65.71900000000005,24.31800000000021,58.711999999999534,63.180999999999585,81.17500000000018,73.01299999999992,70.28499999999985,105.48599999999988,-28.501000000000204
29.0,0.0,31.8070000000007,33.17200000000048,42.55799999999999,34.39600000000064,49.503999999999905,46.457000000000335,52.25,56.87800000000061,53.91700000000037,75.16499999999996,61.485999999999876,33.789999999999964,64.69400000000041,67.38100000000031,78.54700000000048,76.92600000000039,64.03400000000056,117.38500000000022,
30.0,0.0,18.211999999999534,20.427999999999884,25.135999999999513,24.05699999999979,31.60400000000027,29.807999999999993,33.662999999999556,36.9970000000003,34.69999999999982,45.779999999999745,38.634000000000015,21.657000000000153,41.64599999999973,43.79600000000028,59.947000000000116,46.6869999999999,39.03899999999976,82.63900000000012,
31.0,0.0,1.77599999999984,5.055000000000291,10.318000000000211,9.09100000000035,17.61999999999989,15.057999999999993,22.76299999999992,28.572000000000116,24.47400000000016,39.279999999999745,30.19499999999971,6.90099999999984,35.19999999999982,37.80500000000029,45.02000000000044,40.33100000000013,32.610999999999876,65.4989999999998,
32.0,0.0,0.19899999999961437,0.4969999999993888,1.3629999999993743,1.1899999999995998,2.238999999999578,1.969000000000051,2.8029999999998836,3.561999999999898,3.230999999999767,6.934999999999491,4.52599999999984,0.6989999999996144,5.886999999999716,6.471999999999753,10.278999999999542,8.188000000000102,5.420999999999367,23.940999999999804,
33.0,0.0,1.2689999999993233,2.126999999999498,3.7950000000000728,3.2299999999995634,5.168999999999869,4.938999999999396,6.100999999999658,7.3049999999993815,6.884999999999309,9.39599999999973,7.9299999999993815,2.7899999999999636,8.513999999999214,9.345999999999549,12.130999999999403,10.063999999999396,8.18499999999949,24.557999999999993,
34.0,0.0,1.5909999999994398,2.3369999999995343,4.693999999999505,4.050000000000182,6.148000000000138,6.881999999999607,7.573999999999614,9.083999999999833,8.329999999999927,11.18499999999949,9.841999999999643,3.644000000000233,10.662999999999556,11.947000000000116,14.233999999999469,12.333999999999833,10.393000000000029,25.498999999999796,
35.0,0.0,1.6090000000003783,2.3950000000004366,4.891999999999825,4.082000000000335,6.141999999999825,7.8090000000001965,8.460000000000036,10.364000000000487,9.384000000000015,12.90900000000056,11.314000000000306,3.625,12.456000000000131,13.541000000000167,15.765000000000327,13.893000000000029,11.856999999999971,26.101000000000568,
36.0,0.0,1.9320000000006985,3.1260000000002037,5.943000000000211,5.054000000000087,7.249000000000706,9.064000000000306,9.67200000000048,11.542000000000371,10.59900000000016,15.067000000000007,13.059000000000196,4.694000000000415,14.581000000000131,15.658000000000357,17.861000000000786,16.114000000000487,13.881000000000313,27.174000000000888,
37.0,0.0,2.2349999999996726,3.893000000000029,7.421999999999571,6.295000000000073,8.11200000000008,9.89599999999973,10.872999999999593,12.873999999999796,12.135000000000218,16.886999999999716,14.769999999999527,5.654999999999745,16.45799999999963,17.667999999999665,19.73700000000008,18.18499999999949,15.860999999999876,28.085000000000036,
38.0,0.0,2.626999999999498,4.511999999999716,7.9520000000002256,6.527000000000044,8.75,10.485999999999876,12.029999999999745,13.96100000000024,13.393000000000029,18.70600000000013,16.625,6.193999999999505,18.242999999999483,19.414999999999964,21.609999999999673,19.840000000000146,17.72400000000016,29.024999999999636,
