,HAM,PIA,LEC,VER,NOR,SAI,PER,ALO,OCO,RIC,STR,ALB,GAS,MAG,BOT,TSU,SAR,HUL,ZHO,RUS
25.0,0.0,4.972999999999956,6.9340000000001965,11.154999999999745,12.280999999999949,16.190999999999804,26.911000000000058,38.74499999999989,35.40399999999954,52.46900000000005,44.23099999999977,53.136999999999716,41.18199999999979,51.925999999999476,42.5619999999999,58.972999999999956,77.77999999999975,63.141999999999825,,9.326999999999316
26.0,0.0,0.44500000000061846,16.85900000000038,6.9229999999997744,7.903000000000247,11.894000000000233,22.912000000000262,35.952000000000226,31.873999999999796,48.65099999999984,41.712000000000444,50.262000000000626,38.47100000000046,49.78200000000015,40.10599999999977,56.10599999999977,73.81500000000051,60.32300000000032,,5.03899999999976
27.0,13.831000000000131,0.0,16.423999999999978,6.885000000000218,7.949000000000524,12.779999999999745,23.06800000000021,37.55000000000018,32.824000000000524,49.904999999999745,43.863000000000284,51.38000000000011,40.39400000000023,52.384000000000015,42.03700000000026,57.79899999999998,75.11000000000058,62.02300000000014,,5.277000000000044
28.0,13.617999999999483,0.0,15.85399999999936,11.30199999999968,7.876999999999498,17.730999999999767,23.15899999999965,38.98099999999977,33.76999999999953,50.72699999999986,45.59299999999985,52.649999999999636,46.5,53.74499999999989,43.998999999999796,59.34599999999955,76.63499999999931,63.78699999999935,,5.332999999999629
29.0,13.394000000000233,0.0,15.718000000000757,24.13800000000083,12.00500000000011,31.688000000000102,22.976000000000568,40.625,34.905000000000655,51.587000000000444,47.06200000000081,53.40700000000015,61.387000000000626,54.9380000000001,45.70300000000043,60.94500000000062,77.89200000000073,65.70500000000084,,5.440000000000509
30.0,8.686999999999898,0.0,11.291000000000167,18.846999999999753,20.52900000000045,26.663000000000466,20.115999999999985,37.759000000000015,35.83799999999974,48.06999999999971,44.172999999999774,49.81800000000021,57.06700000000001,51.66899999999987,42.73099999999977,59.14300000000003,74.8130000000001,63.57899999999972,,1.3299999999999272
31.0,7.058999999999287,12.613999999999578,9.498999999999796,16.399999999999636,17.282000000000153,24.5,19.64099999999962,37.90599999999995,49.52399999999943,47.49699999999939,44.29100000000017,49.14599999999973,56.409999999999854,52.08799999999974,42.86399999999958,59.67099999999937,74.49499999999989,64.29399999999987,,0.0
32.0,6.466000000000349,10.858000000000175,8.967000000000553,14.931999999999789,15.903000000000247,24.095000000000255,20.061000000000604,39.23099999999977,48.92000000000007,47.78400000000056,45.5600000000004,50.5590000000002,57.027000000000044,53.115999999999985,44.21900000000005,61.159999999999854,75.41200000000026,66.02100000000064,,0.0
33.0,5.804000000000087,9.807999999999993,8.664999999999964,14.03399999999965,15.242999999999483,23.86699999999928,20.375999999999294,40.560999999999694,49.08299999999963,48.34400000000005,47.089999999999236,51.54699999999957,57.722999999999956,54.45899999999983,45.70799999999963,62.86200000000008,76.5619999999999,67.90899999999965,,0.0
34.0,5.2280000000000655,8.903999999999542,8.256000000000313,13.231999999999971,14.399000000000342,23.8149999999996,21.161000000000058,42.108000000000175,49.95100000000002,49.323999999999614,48.792999999999665,52.32999999999993,58.180999999999585,55.54899999999998,47.787999999999556,64.4409999999998,77.54899999999998,70.77099999999973,,0.0
35.0,4.395000000000437,9.653999999999542,9.015000000000327,12.679000000000087,13.61200000000008,23.265000000000327,21.442000000000007,43.1279999999997,51.63000000000011,51.1869999999999,50.52800000000025,53.0619999999999,58.47699999999986,56.42399999999998,53.51000000000022,65.97400000000016,78.1279999999997,72.63000000000011,,0.0
36.0,3.706000000000131,9.212999999999738,10.684000000000196,12.215000000000146,12.797999999999774,23.0029999999997,21.83600000000024,44.23499999999967,52.99300000000039,52.42699999999968,51.88100000000031,54.373999999999796,59.097999999999956,57.50500000000011,68.08200000000033,67.4989999999998,78.88100000000031,74.90400000000045,,0.0
37.0,2.829000000000633,8.430000000000291,10.365999999999985,11.496000000000095,12.340000000000146,22.806000000000495,21.97400000000016,44.806000000000495,54.6850000000004,51.94300000000021,54.097999999999956,55.25200000000041,59.42900000000009,58.50200000000041,67.18199999999979,69.58399999999983,79.64100000000053,76.46399999999994,,0.0
38.0,1.975999999999658,7.4780000000000655,9.907999999999447,11.07300000000032,11.83600000000024,22.764000000000124,22.157000000000153,45.61999999999989,54.042999999999665,52.42199999999957,56.20100000000002,56.75699999999961,60.38199999999961,59.64400000000023,67.2539999999999,70.94800000000032,80.60800000000017,78.26999999999953,,0.0
39.0,1.2339999999994689,6.126999999999498,9.65099999999984,10.52099999999973,11.167999999999665,22.287999999999556,23.63299999999981,46.34699999999975,53.47199999999975,52.46899999999914,57.33799999999974,57.912999999999556,61.2529999999997,60.753999999999905,67.23499999999967,71.91899999999987,81.25900000000001,79.92999999999938,,0.0
40.0,0.7280000000000655,4.904999999999745,9.373999999999796,10.11700000000019,10.75500000000011,21.954000000000633,23.89800000000014,46.9940000000006,53.20499999999993,52.48999999999978,58.73900000000049,59.378999999999905,62.128999999999905,61.73900000000049,67.71399999999994,73.04799999999977,82.13500000000022,81.33300000000054,,0.0
41.0,0.5960000000004584,3.5410000000001673,9.079999999999927,9.717000000000553,10.239000000000487,21.426000000000386,23.98400000000038,47.56600000000071,52.77100000000064,53.89900000000034,59.751000000000204,60.35699999999997,61.972999999999956,63.63600000000042,68.77800000000025,73.86099999999988,83.28000000000065,82.71000000000004,,0.0
42.0,0.5180000000000291,2.337999999999738,8.831000000000131,9.639000000000124,10.06500000000051,20.93199999999979,29.38500000000022,48.152000000000044,52.48099999999977,54.11899999999969,61.125,61.789999999999964,62.90599999999995,65.03999999999996,69.64699999999993,74.97000000000025,84.86000000000058,84.31900000000041,,0.0
43.0,0.6049999999995634,1.657999999999447,8.600999999999658,9.4399999999996,10.170000000000073,20.54399999999987,45.60699999999997,49.00799999999981,52.136999999999716,54.36399999999958,62.01899999999932,62.76800000000003,63.581999999999425,65.89599999999973,70.23499999999967,75.8809999999994,85.04899999999998,86.99200000000019,,0.0
