,VER,OCO,GAS,RUS,LEC,NOR,TSU,PIA,LAW,HAM,PER,BEA,BOT,ALO,ZHO,SAI,COL,STR,HUL
44.0,0.0,1.9110000000000582,3.3850000000002183,6.003000000000611,5.359000000000378,7.845000000001164,9.811999999999898,7.040000000000873,10.58600000000115,12.390000000001237,11.137000000000626,13.94800000000032,14.915000000000873,31.713999999999942,16.909999999999854,,,,
45.0,0.0,2.8060000000004948,4.595999999999549,7.57799999999952,6.8729999999995925,9.415000000000873,11.921000000000276,8.453999999999724,12.829999999999927,14.338999999999942,13.416999999999462,16.379000000000815,18.088999999999942,32.699000000000524,20.236000000000786,,,,
46.0,0.0,3.095000000001164,5.001000000000204,8.856999999999971,10.799000000000888,11.188000000000102,13.602000000000771,11.959000000000742,14.538000000000466,15.855000000001382,15.168999999999869,17.851000000000568,19.945999999999913,34.6869999999999,22.52599999999984,,,,
47.0,0.0,3.587999999999738,6.0459999999984575,9.246999999999389,12.490999999999985,13.209999999999127,15.550999999999476,14.123999999999796,16.488999999999578,18.195999999999913,17.37199999999939,20.013999999999214,22.214999999998327,35.930999999998676,25.10399999999936,,,,
48.0,0.0,4.228000000000975,7.286000000000058,9.701000000000931,13.73700000000099,14.909999999999854,17.554000000000087,16.00799999999981,18.523000000001048,20.152000000000044,18.993000000000393,21.66899999999987,24.209000000000742,37.02000000000044,27.54199999999946,,,,
49.0,0.0,4.985000000000582,8.228000000000975,10.012000000000626,14.819999999999709,15.941000000000713,19.255999999999403,16.802999999999884,20.33100000000013,21.931000000000495,20.894000000000233,23.462999999999738,26.079999999999927,38.35200000000077,29.71600000000035,,,,
50.0,0.0,5.630000000001019,9.218000000000757,10.66700000000128,16.497000000001208,17.27100000000064,20.809000000001106,18.233000000000175,21.975000000000364,23.58600000000115,22.537000000000262,25.592000000000553,27.962000000001353,40.02100000000064,32.042999999999665,,,,
51.0,0.0,6.4909999999999854,9.913000000000466,11.022000000000844,17.691000000000713,18.407999999999447,22.219999999999345,22.193999999999505,23.759000000000015,25.243000000000393,24.316000000000713,28.370999999999185,30.163000000000466,41.199000000000524,34.54900000000089,,,,
52.0,0.0,6.680000000000291,10.445000000001528,11.595000000001164,18.45300000000134,19.377000000000407,24.376000000000204,22.747000000001208,25.57800000000134,27.139000000001033,26.022000000000844,29.900000000001455,32.14300000000003,41.897000000000844,36.85900000000038,,,,
53.0,0.0,6.988000000001193,10.706000000000131,11.77100000000064,19.320000000001528,20.740999999999985,25.670000000000073,23.226000000000568,27.375,28.728000000000975,27.79399999999987,31.618000000000393,34.25200000000041,42.91100000000006,39.335000000000946,,,,
