,RUS,HAM,SAI,LEC,VER,NOR,PIA,HUL,TSU,PER,ALO,MAG,ZHO,COL,STR,LAW,OCO,BOT,ALB,GAS
19.0,0.0,16.202000000000226,12.04700000000048,15.410000000000764,9.682000000000698,17.63800000000083,27.28400000000056,32.64100000000053,26.0570000000007,42.94500000000062,33.34100000000035,56.13200000000052,35.08000000000084,50.85400000000027,45.288000000000466,37.13100000000031,43.918000000000575,56.73700000000008,31.782000000000153,
20.0,0.0,15.744000000000597,12.088000000000648,14.972000000000662,9.795000000000073,18.070999999999913,27.85199999999986,32.54200000000037,26.582000000000335,43.462000000000444,34.220000000000255,57.63200000000052,36.1220000000003,51.4369999999999,45.97900000000027,38.78300000000036,44.68000000000029,58.353000000000065,32.095000000000255,
21.0,0.0,15.739999999999782,12.274999999999636,15.060999999999694,10.02599999999984,18.85199999999986,28.951000000000022,33.162999999999556,27.609999999999673,44.211999999999534,35.849999999999454,59.77599999999984,37.60899999999947,52.055999999999585,47.072000000000116,40.72099999999955,45.6269999999995,60.33600000000024,32.74399999999969,
22.0,0.0,15.270000000000437,12.233000000000175,14.635000000000218,10.149000000000342,19.74000000000069,30.44500000000062,33.55500000000029,28.88500000000022,44.76800000000003,37.8090000000002,61.25,38.89900000000034,52.67500000000018,48.061000000000604,42.85900000000038,46.7440000000006,61.957000000000335,34.335000000000036,
23.0,0.0,14.661000000000058,11.979999999999563,14.081999999999425,9.943000000000211,20.292999999999665,31.563999999999396,34.08899999999994,30.079999999999927,45.04500000000007,41.14400000000023,62.702000000000226,40.85999999999967,53.039999999999964,48.94499999999971,44.16899999999987,47.448999999999614,63.42000000000007,36.31800000000021,
24.0,0.0,14.407999999999447,12.32299999999941,13.761999999999716,10.061999999999898,21.15099999999984,33.15599999999995,34.67900000000009,32.54199999999946,45.79500000000007,48.552999999999884,63.822000000000116,42.66600000000017,53.41100000000006,49.899999999999636,46.251000000000204,48.07999999999993,64.47499999999945,38.91600000000017,
25.0,0.0,14.896999999999935,12.542999999999665,13.328999999999724,10.375999999999294,21.95599999999922,39.360999999999876,35.659999999999854,33.802999999999884,46.17099999999937,64.90299999999934,65.18499999999949,44.74199999999928,53.552999999999884,51.66399999999976,48.20299999999952,49.180999999999585,66.44799999999941,50.29699999999957,
26.0,0.0,14.484999999999673,13.396999999999935,13.795000000000073,11.27099999999973,23.307999999999993,56.039999999999964,36.73199999999997,35.26800000000003,46.63500000000022,65.35999999999967,66.01299999999992,47.37299999999959,58.8100000000004,53.58100000000013,49.472999999999956,49.98499999999967,67.67399999999998,,
27.0,0.0,20.70599999999922,17.398999999999432,14.884000000000015,16.769999999999527,24.493999999999687,56.336999999999534,37.82899999999972,36.485999999999876,47.38599999999951,66.17299999999977,67.8159999999998,49.40699999999924,73.5029999999997,55.75,51.84399999999914,51.964999999999236,68.74099999999999,,
28.0,0.0,35.711999999999534,23.157999999999447,15.057999999999993,33.61999999999989,25.48999999999978,56.54899999999998,38.91899999999987,37.802999999999884,47.48700000000008,66.93199999999979,68.54699999999957,51.154999999999745,73.5659999999998,64.3789999999999,54.585000000000036,53.70399999999972,69.4389999999994,,
29.0,0.0,35.10699999999997,38.69000000000051,15.452000000000226,33.44999999999982,26.98400000000038,56.57499999999982,40.832000000000335,44.82900000000063,47.814000000000306,67.40999999999985,69.42100000000028,52.91200000000026,74.34299999999985,81.97299999999996,55.89000000000033,55.048000000000684,70.63900000000012,,
30.0,0.0,34.311000000000604,38.499000000000706,16.365999999999985,33.45500000000084,34.08600000000024,57.14100000000053,42.10500000000047,62.64100000000053,48.587000000000444,67.6840000000002,70.13800000000083,55.03099999999995,75.01800000000003,83.17700000000059,57.58899999999994,56.53300000000036,72.54700000000048,,
31.0,0.0,32.92199999999957,37.67100000000028,21.533000000000357,33.649999999999636,49.54600000000028,57.69599999999991,42.90400000000045,63.5600000000004,50.68199999999979,67.9359999999997,70.40999999999985,56.90400000000045,75.58399999999983,83.72800000000007,59.64099999999962,58.998999999999796,74.83100000000013,,
