,PIA,NOR,HAM,LEC,VER,SAI,PER,RUS,TSU,STR,ALO,RIC,HUL,ALB,MAG,BOT,SAR,OCO,ZHO,GAS
23.0,1.2229999999999563,4.178000000000793,6.186000000000604,0.0,12.084000000000742,22.559000000000196,22.173000000000684,20.47400000000016,18.686000000000604,36.738000000000284,35.913000000000466,42.08600000000024,35.259000000000015,39.37800000000061,41.39900000000034,42.54899999999998,46.23000000000047,44.74300000000039,49.23700000000008,33.275000000000546
24.0,0.0,3.213999999999942,5.5659999999998035,17.710000000000036,10.556999999999789,21.954000000000633,24.375,21.57000000000062,20.65099999999984,37.978000000000065,37.529999999999745,43.378999999999905,36.76000000000022,40.64599999999973,42.621000000000095,43.88600000000042,47.431000000000495,46.01299999999992,50.71100000000024,34.931000000000495
25.0,0.0,3.3159999999998035,5.748999999999796,17.818999999999505,10.376999999999498,23.60399999999936,26.782999999999447,25.31999999999971,23.342999999999847,40.759000000000015,39.947000000000116,45.66399999999976,39.4369999999999,43.22199999999975,45.072000000000116,46.49299999999948,50.003999999999905,48.57999999999993,53.27300000000014,37.917999999999665
26.0,0.0,3.675000000000182,6.429000000000087,18.46100000000024,10.439000000000306,24.875,29.809000000000196,28.439000000000306,27.626000000000204,44.09699999999975,43.18199999999979,48.699000000000524,42.777000000000044,46.40800000000036,48.194000000000415,49.478000000000065,52.65599999999995,51.384000000000015,56.10199999999986,41.137000000000626
27.0,0.0,3.800000000000182,7.162999999999556,18.605999999999767,10.346999999999753,25.35400000000027,32.615999999999985,31.338999999999942,30.64099999999962,47.57499999999982,45.13799999999992,51.88299999999981,47.2519999999995,49.51800000000003,51.167999999999665,52.50600000000031,55.41200000000026,54.30199999999968,58.751000000000204,44.59599999999955
28.0,0.0,3.8710000000000946,7.679000000000087,18.175000000000182,10.319999999999709,25.471999999999753,37.95399999999972,34.36799999999948,33.63799999999992,49.6880000000001,48.590000000000146,57.225000000000364,51.472999999999956,52.73700000000008,54.399999999999636,55.435999999999694,58.021999999999935,57.30699999999979,61.65700000000015,50.77800000000025
29.0,0.0,3.98700000000008,8.317000000000007,17.653000000000247,10.422999999999774,25.686000000000604,57.936000000000604,37.64100000000053,39.1190000000006,51.39300000000003,49.677999999999884,74.44800000000032,56.65900000000056,58.001000000000204,57.311000000000604,57.82800000000043,61.2440000000006,60.59700000000066,64.64199999999983,69.74499999999989
30.0,0.0,4.269000000000233,8.761000000000422,17.311999999999898,10.532000000000153,25.662000000000262,60.413000000000466,39.36200000000008,57.73400000000038,52.52800000000025,50.978000000000065,74.04700000000048,76.38400000000001,78.69599999999991,60.128999999999905,61.33799999999974,64.1239999999998,66.14999999999964,67.26800000000003,70.14999999999964
31.0,0.0,4.343999999999141,9.173999999999978,16.915999999999258,10.77599999999984,25.419999999999163,59.85399999999936,41.266999999999825,58.409999999999854,53.79499999999916,52.1279999999997,73.97299999999996,77.13699999999972,79.45399999999972,63.175999999999476,63.759000000000015,66.44599999999991,84.68199999999979,69.6899999999996,70.3179999999993
32.0,0.0,4.402999999999338,9.308999999999287,16.313999999999396,10.51299999999992,25.070999999999913,59.27899999999954,43.277000000000044,58.75799999999981,54.6309999999994,52.78699999999935,74.1869999999999,77.5049999999992,80.09199999999964,65.34899999999925,65.79999999999927,68.48599999999988,86.22299999999996,72.86799999999948,70.40499999999975
33.0,0.0,2.532000000000153,7.563000000000102,13.516999999999825,8.235000000000582,22.47699999999986,55.952000000000226,45.60500000000047,58.095000000000255,53.51100000000042,51.32600000000002,74.11099999999988,75.73800000000028,78.25799999999981,64.90500000000065,65.48300000000017,70.63299999999981,87.37700000000041,73.84799999999996,71.69300000000021
34.0,0.0,1.9570000000003347,7.189000000000306,11.99499999999989,7.780999999999949,21.23700000000008,54.16100000000006,61.08600000000024,57.460000000000036,53.63100000000031,51.305999999999585,73.20799999999963,77.13799999999992,77.78999999999996,68.28099999999995,66.36399999999958,87.8140000000003,87.17500000000018,76.97500000000036,
35.0,0.0,1.6000000000003638,7.7520000000004075,11.283000000000357,8.980999999999767,20.449000000000524,54.02000000000044,59.04500000000007,56.98199999999997,53.57099999999991,51.45899999999983,72.30699999999979,76.375,77.9980000000005,87.12800000000061,65.69400000000041,88.30400000000009,87.89400000000023,80.70499999999993,
36.0,0.0,1.5029999999997017,8.08600000000024,11.212999999999738,8.868000000000393,20.034999999999854,52.748999999999796,57.70399999999972,57.45899999999983,55.177999999999884,51.96399999999994,71.7569999999996,76.22800000000007,78.23700000000008,86.97199999999975,66.17799999999988,88.42600000000039,87.8100000000004,85.66200000000026,
37.0,0.0,1.3729999999995925,8.356999999999971,10.905999999999949,8.975000000000364,19.631999999999607,52.86499999999978,56.149999999999636,58.31999999999971,55.73400000000038,54.90399999999954,71.0619999999999,75.86399999999958,78.14499999999953,86.70399999999972,66.61899999999969,88.27999999999975,87.60699999999997,105.20600000000013,
38.0,0.0,1.3559999999997672,9.557999999999993,11.646999999999935,10.340000000000146,19.15599999999995,50.89099999999962,54.792999999999665,58.66199999999935,57.185999999999694,71.5619999999999,70.89599999999973,75.72599999999966,78.12199999999939,86.71900000000005,67.40200000000004,88.32999999999993,87.65999999999985,104.52199999999993,
39.0,0.0,1.3019999999996799,10.118999999999687,11.858999999999469,10.774999999999636,18.472999999999956,49.40300000000025,52.82799999999952,59.052999999999884,57.27400000000034,70.89800000000014,72.00900000000001,75.69800000000032,78.13100000000031,86.65800000000036,68.29799999999977,88.58699999999953,87.84599999999955,104.53999999999996,
40.0,0.0,1.6219999999993888,14.091999999999643,15.372999999999593,12.019999999999527,18.782999999999447,48.219999999999345,51.27899999999954,59.563999999999396,57.89300000000003,70.92900000000009,72.29500000000007,76.24499999999989,78.65599999999995,87.02899999999954,69.51099999999951,89.14999999999964,88.30599999999959,105.14699999999993,
41.0,0.0,1.8609999999998763,31.159999999999854,32.23899999999958,11.291000000000167,18.708999999999833,47.17500000000018,49.939000000000306,60.02599999999984,58.38799999999992,70.8819999999996,72.68199999999979,76.47299999999996,79.01699999999983,87.20799999999963,70.64300000000003,89.47900000000027,88.59999999999945,105.52499999999964,
42.0,0.0,1.7910000000001673,29.60699999999997,30.93000000000029,10.61200000000008,18.29200000000037,45.64300000000003,48.4369999999999,60.29500000000007,58.779999999999745,70.27099999999973,73.09199999999964,76.4390000000003,78.99399999999969,87.06700000000001,72.44300000000021,89.5630000000001,88.76599999999962,105.15300000000025,
43.0,0.0,1.654000000000451,28.480999999999767,29.697000000000116,9.805000000000291,17.96600000000035,44.17399999999998,47.14500000000044,60.677999999999884,59.17399999999998,70.1180000000004,74.07400000000052,76.60500000000047,78.92100000000028,87.42799999999988,73.63799999999992,89.72199999999975,89.01699999999983,105.16800000000057,
44.0,0.0,2.050999999999476,27.58100000000013,28.849999999999454,9.488999999999578,18.02599999999984,43.063999999999396,45.974999999999454,61.235999999999876,59.88999999999942,70.16100000000006,74.02300000000014,77.24799999999959,79.68299999999999,87.8149999999996,76.57200000000012,90.40499999999975,89.36499999999978,105.34699999999975,
45.0,0.0,4.275000000000546,26.446000000000822,27.788000000000466,9.212000000000444,18.038000000000466,41.887000000000626,44.751000000000204,61.707000000000335,62.884000000000015,69.6840000000002,73.88500000000022,79.19900000000052,80.36599999999999,87.72400000000016,81.14300000000003,90.69500000000062,89.44100000000071,107.05400000000009,
46.0,0.0,19.015000000000327,25.17200000000048,26.5,9.003999999999905,17.904999999999745,41.25500000000011,43.884000000000015,61.60400000000027,80.72699999999986,69.23900000000049,73.51200000000063,78.60199999999986,80.56700000000001,87.5039999999999,99.24499999999989,90.94599999999991,89.40900000000056,106.91700000000037,
47.0,0.0,16.052999999999884,22.016999999999825,23.626999999999498,6.979999999999563,18.867999999999483,40.8809999999994,40.73399999999947,59.45499999999993,77.3109999999997,66.71699999999964,71.16399999999976,76.74399999999969,79.37299999999959,85.09599999999955,96.21099999999933,88.96799999999985,87.39499999999953,108.73799999999937,
48.0,10.15099999999984,6.7739999999994325,13.873999999999796,15.444999999999709,0.0,27.998999999999796,49.15599999999995,32.51899999999932,52.91699999999946,68.41599999999926,59.36499999999978,63.9409999999998,70.93099999999959,72.8139999999994,77.65399999999954,89.82299999999941,81.99599999999919,80.26599999999962,101.35599999999977,
49.0,6.072999999999411,2.4149999999999636,10.311999999999898,11.65099999999984,0.0,23.6279999999997,43.78399999999965,28.74200000000019,50.55000000000018,64.72599999999966,56.527000000000044,61.11799999999948,68.57499999999982,70.70299999999952,74.82699999999932,88.86399999999958,79.69799999999941,77.95499999999993,98.7529999999997,
