,PIA,LEC,RUS,NOR,VER,ALO,ALB,COL,HAM,BEA,HUL,GAS,RIC,ZHO,OCO,BOT,PER,SAI,STR,TSU
18.0,0.7750000000005457,0.0,15.142000000000735,5.041000000000167,10.023000000000138,21.61999999999989,3.043000000000575,24.00800000000072,37.66899999999987,37.34100000000035,34.54200000000037,23.470000000000255,28.692000000000007,40.57600000000002,41.85199999999986,59.63799999999992,3.1829999999999927,9.063000000000102,43.501000000000204,
19.0,0.3470000000006621,0.0,15.59900000000016,6.230000000000473,10.020000000000437,22.96600000000035,4.927000000000589,25.215000000000146,38.33899999999994,37.905000000000655,35.1880000000001,25.22400000000016,31.832000000000335,43.17900000000009,44.947000000000116,61.65599999999995,2.86200000000008,9.109000000000378,45.84200000000055,
20.0,0.0,0.42999999999938154,14.772999999999229,6.489999999999782,8.696999999999207,23.131999999999607,4.995999999999185,25.029999999999745,37.620999999999185,37.46099999999933,33.97599999999966,26.74199999999928,34.0679999999993,44.41599999999926,46.534999999999854,62.13499999999931,1.3039999999991778,7.9869999999991705,46.92199999999957,
21.0,0.0,0.5160000000005311,15.28900000000067,7.524000000000342,8.746000000000095,24.429000000000087,6.355000000000473,26.413000000000466,39.38299999999981,38.09400000000005,34.396999999999935,28.978000000000065,37.715000000000146,47.04500000000007,49.030000000000655,63.96799999999985,1.168999999999869,8.012000000000626,49.577000000000226,
22.0,0.0,0.5020000000004075,15.735999999999876,8.707999999999629,9.673999999999978,25.725000000000364,7.7849999999998545,27.51299999999992,42.297999999999774,40.24799999999959,35.57099999999991,31.556000000000495,42.552999999999884,49.66399999999976,51.77800000000025,65.94400000000041,1.529000000000451,8.842999999999847,57.1909999999998,
23.0,0.0,0.5399999999999636,16.548000000000684,10.976000000000568,11.101000000000568,27.347999999999956,9.551000000000386,29.039999999999964,43.405000000000655,41.253999999999905,36.89400000000023,33.71399999999994,46.376000000000204,52.746000000000095,55.10900000000038,68.23300000000017,1.5080000000007203,9.693000000000211,75.17700000000059,
24.0,0.0,0.6599999999998545,17.469999999999345,13.962999999999738,14.636999999999716,29.11699999999928,12.675999999999476,30.71899999999914,44.771999999999935,42.401999999999134,37.7529999999997,36.34699999999975,49.84099999999944,55.95599999999922,58.56999999999971,70.78399999999965,1.826999999999316,11.100999999999658,77.1289999999999,
25.0,0.0,0.6130000000002838,18.266999999999825,15.134000000000015,15.585000000000036,30.72900000000027,14.498999999999796,32.23099999999977,45.65400000000045,43.10699999999997,38.4380000000001,38.628999999999905,52.55199999999968,58.60199999999986,61.324000000000524,72.83899999999994,1.904000000000451,11.439000000000306,78.61599999999999,
26.0,0.0,0.3989999999994325,19.0649999999996,16.547999999999774,17.07799999999952,32.378999999999905,16.149999999999636,33.85099999999966,45.95399999999972,43.884000000000015,39.29699999999957,41.154999999999745,54.74799999999959,61.175999999999476,63.73999999999978,74.95699999999943,1.9669999999996435,11.503999999999905,79.93099999999959,
27.0,0.0,0.4280000000007931,20.490999999999985,18.321000000000822,18.80200000000059,33.74000000000069,17.85900000000038,35.46300000000065,46.48400000000038,44.52000000000044,40.26600000000053,43.097999999999956,56.73500000000058,63.84400000000005,66.125,77.04400000000078,1.9320000000006985,11.46100000000024,81.27100000000064,
