,VER,NOR,HAM,RUS,LEC,SAI,PIA,PER,GAS,OCO,HUL,ALO,ZHO,STR,RIC,BOT,MAG,ALB,TSU,SAR
11.0,0.0,3.838999999999942,4.891000000000531,2.792000000000371,6.63799999999992,5.776000000000749,10.643000000000029,16.520000000000437,9.561999999999898,13.314000000000306,15.952000000000226,24.56800000000021,44.332000000000335,21.217000000000553,28.43000000000029,27.01800000000003,47.365999999999985,30.8100000000004,47.90100000000075,31.783000000000357
12.0,0.0,3.8170000000000073,5.020000000000437,2.798999999999978,6.82300000000032,6.020000000000437,10.949999999999818,17.127000000000407,9.824000000000524,13.842999999999847,22.052999999999884,24.24200000000019,43.10699999999997,22.096999999999753,28.911000000000058,44.853000000000065,47.460000000000036,31.552999999999884,48.865999999999985,32.86800000000039
13.0,0.0,4.442000000000007,5.663000000000466,3.356999999999971,7.291000000000167,6.376000000000204,12.061000000000604,21.90599999999995,10.695000000000618,19.722999999999956,41.64100000000053,25.024000000000342,43.03900000000067,23.475000000000364,30.07800000000043,43.65400000000045,47.61700000000019,33.009000000000015,49.876000000000204,35.16600000000017
14.0,0.0,5.112999999999374,6.274999999999636,3.8499999999994543,7.895999999999731,7.032999999999447,13.38799999999992,40.085000000000036,15.197000000000116,37.26000000000022,41.349999999999454,25.889999999999418,43.91899999999987,24.253999999999905,30.990999999999985,42.68199999999979,47.85199999999986,34.26599999999962,50.39800000000014,40.555999999999585
15.0,0.0,5.556999999999789,7.154999999999745,8.11700000000019,8.502000000000407,11.363000000000284,13.783000000000357,39.154999999999745,36.75600000000031,36.04600000000028,40.56500000000051,26.63299999999981,44.19800000000032,25.074999999999818,32.327000000000226,42.67000000000007,48.194000000000415,35.764000000000124,50.85400000000027,59.07800000000043
16.0,0.0,4.805000000000291,10.898000000000138,27.134000000000015,8.17200000000048,28.203999999999724,14.092000000000553,38.51500000000033,35.521999999999935,35.04700000000048,40.46700000000055,27.95600000000013,44.35699999999997,25.80699999999979,37.365999999999985,42.70399999999972,48.48099999999977,38.11999999999989,51.66399999999976,58.76299999999992
17.0,0.0,0.8369999999995343,24.35400000000027,22.534999999999854,4.418999999999869,23.992999999999483,11.068999999999505,34.0590000000002,30.84900000000016,31.711999999999534,37.01900000000023,26.340000000000146,41.08799999999974,27.827000000000226,52.49299999999948,39.414999999999964,44.94499999999971,36.76999999999953,48.310999999999694,54.96399999999994
18.0,16.373000000000502,0.0,23.108000000000175,20.762000000000626,4.050000000000182,22.559000000000196,11.289999999999964,32.9369999999999,29.96100000000024,30.999000000000706,36.490999999999985,27.24200000000019,41.350000000000364,45.664999999999964,52.06700000000001,39.73199999999997,44.94800000000032,42.324000000000524,49.20899999999983,55.0590000000002
19.0,15.462999999999738,0.0,21.779999999999745,19.666000000000167,4.511000000000422,23.0029999999997,12.381999999999607,32.860999999999876,29.75799999999981,31.390000000000327,37.029999999999745,31.904999999999745,42.09400000000005,45.64500000000044,52.84699999999975,40.327000000000226,45.26299999999992,61.91399999999976,50.31800000000021,55.978000000000065
20.0,14.613000000000284,0.0,20.66700000000037,18.822000000000116,4.854000000000269,22.186999999999898,13.449000000000524,32.70600000000013,29.105000000000473,31.235999999999876,37.35100000000057,49.81800000000021,42.789999999999964,45.61200000000008,53.91200000000026,41.1230000000005,46.9350000000004,61.103000000000065,52.46399999999994,56.78400000000056
21.0,14.010000000000218,0.0,19.675000000000182,18.25500000000011,5.444000000000415,21.404999999999745,19.605999999999767,32.832000000000335,28.876000000000204,31.096999999999753,37.64900000000034,49.39900000000034,43.672999999999774,45.91700000000037,53.96900000000005,41.902000000000044,47.814000000000306,60.48400000000038,52.949000000000524,57.21699999999964
22.0,12.824000000000524,0.0,18.75500000000011,17.420000000000073,5.967000000000553,20.429000000000087,37.77400000000034,33.10900000000038,28.49200000000019,30.903000000000247,38.89500000000044,48.8159999999998,44.41600000000017,46.31700000000001,53.89000000000033,42.904999999999745,48.48099999999977,60.05000000000018,55.814000000000306,58.172999999999774
23.0,7.243999999999687,0.0,13.358000000000175,12.105999999999767,2.505000000000109,15.50500000000011,32.42199999999957,29.005999999999403,23.725999999999658,26.66699999999946,35.336999999999534,44.40399999999954,41.027000000000044,42.49799999999959,50.0630000000001,39.95899999999983,45.86200000000008,55.91699999999946,52.3769999999995,54.92999999999938
24.0,0.0,10.728000000000065,6.471999999999753,5.193000000000211,0.8969999999999345,8.765000000000327,25.467999999999847,22.670000000000073,17.277000000000044,20.29200000000037,29.298999999999978,38.59900000000016,35.64300000000003,37.121000000000095,44.240999999999985,34.79600000000028,40.97400000000016,50.15300000000025,47.04700000000048,51.09400000000005
25.0,0.0,9.867999999999483,7.081000000000131,5.601999999999862,19.996000000000095,9.110999999999876,25.83600000000024,23.899999999999636,18.550999999999476,22.286000000000058,30.988999999999578,40.43499999999949,36.748999999999796,38.889000000000124,46.0,38.47400000000016,43.327000000000226,51.73499999999967,49.474999999999454,54.060999999999694
26.0,0.0,9.842000000000553,7.1140000000004875,5.998999999999796,19.49499999999989,9.502000000000407,25.80699999999979,24.838999999999942,19.137000000000626,23.436999999999898,32.07900000000063,41.84400000000005,38.13500000000022,40.09900000000016,47.45499999999993,41.59299999999985,45.262000000000626,53.32999999999993,51.60400000000027,56.72600000000057
27.0,0.0,9.465000000000146,8.010000000000218,6.527000000000044,18.61200000000008,11.595999999999549,26.34400000000005,26.063000000000102,21.060999999999694,25.011999999999716,33.80499999999938,43.54100000000017,39.61999999999989,41.70499999999993,49.42399999999998,45.327000000000226,47.909999999999854,55.28099999999995,57.490999999999985,59.60999999999967
