,LEC,PIA,NOR,SAI,HAM,VER,RUS,PER,ALB,MAG,ALO,COL,RIC,OCO,GAS,BOT,HUL,ZHO,STR,TSU
11.0,1.8280000000004293,0.0,3.212000000000444,5.632000000000517,8.072000000000116,9.63300000000072,18.032000000000153,11.78900000000067,19.189000000000306,21.90600000000086,20.15400000000045,28.82800000000043,27.45600000000013,23.451000000000022,49.923000000000684,30.431000000000495,61.20800000000054,31.952000000000226,26.173999999999978,
12.0,1.9960000000000946,0.0,3.118999999999687,6.1599999999998545,8.256000000000313,9.853000000000065,46.69599999999991,11.694999999999709,19.90899999999965,23.302999999999884,25.14599999999973,30.579999999999927,54.89599999999973,24.657000000000153,50.24499999999989,31.890000000000327,61.626000000000204,33.55199999999968,27.372999999999593,
13.0,2.8549999999995634,0.0,3.8079999999999927,6.912999999999556,8.914999999999964,10.139999999999418,46.572000000000116,12.065999999999804,20.771999999999935,24.91899999999987,46.06999999999971,32.31999999999971,56.347999999999956,26.046000000000276,50.39099999999962,33.568999999999505,61.938999999999396,35.6840000000002,28.84599999999955,
14.0,3.4130000000004657,0.0,8.17699999999968,7.09900000000016,9.684000000000196,10.378999999999905,46.072000000000116,12.247000000000298,21.864000000000487,29.814000000000306,46.85400000000027,34.202000000000226,57.12700000000041,27.30500000000029,50.55699999999979,35.00200000000041,61.904999999999745,37.728000000000065,29.69300000000021,
15.0,8.439000000000306,0.0,26.850999999999658,7.1159999999999854,14.88299999999981,10.958999999999833,45.46600000000035,12.623999999999796,23.161000000000058,51.67100000000028,46.358000000000175,35.70799999999963,57.53299999999945,28.815999999999804,50.92000000000007,36.626000000000204,62.60099999999966,44.60999999999967,31.51299999999992,
16.0,23.38799999999992,0.0,21.065999999999804,2.518000000000029,30.607999999999265,6.263999999999214,40.21899999999914,8.118999999999687,19.675999999999476,47.375999999999294,41.03299999999945,36.961999999999534,52.99199999999928,25.570999999999913,46.51800000000003,33.2559999999994,57.67899999999918,63.79899999999998,28.16699999999946,
17.0,19.733000000000175,16.325000000000728,18.726000000000568,0.0,27.52600000000075,3.6790000000000873,36.840000000000146,5.63799999999992,23.186999999999898,44.220000000000255,37.6820000000007,55.38600000000042,50.095000000000255,23.64800000000014,43.75800000000072,31.72700000000077,55.8730000000005,60.96600000000035,26.826000000000022,
18.0,17.93000000000029,14.675000000000182,16.968000000000757,0.0,26.679000000000087,3.4700000000002547,35.68299999999999,5.4080000000003565,43.54200000000037,45.07500000000073,36.88600000000042,54.19300000000021,49.47900000000027,24.204000000000633,44.262000000000626,32.40800000000036,55.660000000000764,60.53300000000036,28.67200000000048,
19.0,13.126000000000204,10.269999999999527,12.113000000000284,1.3810000000003129,22.320999999999913,0.0,31.381999999999607,2.0839999999998327,39.78899999999976,41.17699999999968,33.19300000000021,50.11399999999958,45.36899999999969,21.371000000000095,40.65800000000036,29.85699999999997,51.97900000000027,57.302999999999884,30.985999999999876,
20.0,11.393000000000029,8.697000000000116,10.435999999999694,20.63299999999981,21.402000000000044,0.0,31.326999999999316,2.6359999999995125,39.30400000000009,40.771999999999935,33.30999999999949,49.70299999999952,44.5630000000001,23.13799999999992,40.15700000000015,31.100999999999658,52.53299999999945,57.331999999999425,51.09199999999964,
