,RUS,PIA,SAI,HAM,VER,HUL,PER,MAG,RIC,GAS,LEC,OCO,STR,TSU,ALB,BOT,ZHO,ALO,SAR,NOR
23.0,26.320999999999913,13.815999999999804,29.03099999999995,30.63000000000011,0.0,36.21700000000055,38.72900000000027,38.01800000000003,40.637000000000626,45.673000000000684,62.70300000000043,44.03900000000067,51.733000000000175,50.75500000000011,44.88299999999981,53.914999999999964,49.02800000000025,41.5,96.73300000000017,5.966000000000349
24.0,10.733000000000175,0.0,13.891000000000531,15.775000000000546,2.243000000000393,22.25500000000011,24.07000000000062,25.248000000000502,26.95300000000043,31.439000000000306,48.17399999999998,29.785000000000764,37.89100000000053,37.06700000000001,30.903000000000247,40.1220000000003,36.603000000000065,27.697000000000116,82.33500000000004,9.074000000000524
25.0,8.516000000000531,2.334000000000742,11.77100000000064,14.023000000000138,0.0,21.459000000000742,22.821000000000822,24.9320000000007,26.56500000000051,30.155000000000655,46.624000000000706,28.931000000000495,37.36000000000058,36.59200000000055,31.202000000000226,39.67500000000018,38.6850000000004,27.204000000000633,83.19800000000032,6.499000000000706
26.0,9.04700000000048,19.904999999999745,12.399000000000342,14.890999999999622,0.0,23.145000000000437,23.962000000000444,27.192000000000007,28.721999999999753,31.811999999999898,47.42699999999968,30.618000000000393,39.251000000000204,38.23099999999977,33.0659999999998,41.29700000000048,43.01800000000003,29.439000000000306,86.65300000000025,6.6850000000004
27.0,9.460000000000036,20.748999999999796,13.186999999999898,15.694000000000415,0.0,25.92699999999968,25.036000000000058,29.532000000000153,30.95300000000043,33.70399999999972,48.702000000000226,32.4340000000002,41.21299999999974,40.04200000000037,35.48700000000008,43.378999999999905,46.47199999999975,31.70799999999963,88.7510000000002,6.91399999999976
28.0,9.963999999999942,21.443999999999505,13.664999999999964,16.260999999999513,0.0,27.751000000000204,26.425999999999476,31.85400000000027,33.11399999999958,35.34599999999955,50.59599999999955,34.22199999999975,43.09599999999955,41.74200000000019,37.836999999999534,45.4399999999996,53.38500000000022,33.81999999999971,90.96500000000015,7.048999999999978
29.0,10.425000000000182,21.733000000000175,14.186999999999898,16.735999999999876,0.0,29.786000000000058,27.475999999999658,34.194000000000415,35.430999999999585,37.37700000000041,51.69499999999971,36.55699999999979,44.77800000000025,43.27800000000025,39.858000000000175,47.37700000000041,74.1850000000004,36.20300000000043,93.93099999999959,6.957000000000335
30.0,10.943999999999505,22.49499999999989,14.853000000000065,17.442000000000007,0.0,31.760999999999513,28.50799999999981,36.289999999999964,37.6220000000003,39.251000000000204,52.43499999999949,38.84599999999955,46.46600000000035,44.86200000000008,41.8149999999996,49.284999999999854,75.4390000000003,38.3130000000001,95.69700000000012,7.1469999999999345
31.0,11.184000000000196,22.792999999999665,15.265000000000327,18.134000000000015,0.0,33.78200000000015,29.578999999999724,38.22199999999975,39.59299999999985,41.34400000000005,53.42000000000007,40.886999999999716,48.11399999999958,46.29399999999987,44.00699999999961,50.95899999999983,76.45600000000013,40.462000000000444,97.94400000000041,7.551000000000386
32.0,11.827000000000226,22.98400000000038,15.932999999999993,19.123999999999796,0.0,35.90300000000025,30.730999999999767,40.3100000000004,41.94599999999991,43.69599999999991,54.57999999999993,43.248999999999796,49.8130000000001,48.07899999999972,46.36200000000008,52.84199999999964,79.09699999999975,42.88600000000042,100.10099999999966,7.894000000000233
