,LEC,PIA,SAI,NOR,RUS,VER,HAM,TSU,ALB,GAS,ALO,RIC,BOT,STR,SAR,ZHO,OCO,PER,HUL,MAG
40.0,0.0,1.5940000000009604,2.9660000000003492,3.827000000001135,20.720000000001164,23.358000000000175,27.606000000001586,52.03400000000147,56.027000000000044,61.02400000000125,76.72100000000137,77.246000000001,83.8080000000009,61.6140000000014,78.8690000000006,82.41500000000087,,,,
41.0,0.0,1.745999999999185,2.985999999998967,3.6520000000000437,20.333999999998923,22.74699999999939,27.858000000000175,54.11199999999917,56.66200000000026,62.529999999998836,81.47299999999996,83.77000000000044,85.34399999999914,63.11999999999898,84.55299999999988,84.84799999999996,,,,
42.0,0.0,2.263999999999214,2.8799999999991996,3.8109999999996944,19.260999999998603,21.54399999999987,26.122999999999593,55.154999999998836,57.46899999999914,63.22999999999956,85.52800000000025,86.01999999999862,88.17599999999948,80.90499999999884,87.14599999999882,87.52800000000025,,,,
43.0,0.0,2.5969999999997526,4.609000000000378,5.742000000000189,20.079999999999927,22.037000000000262,26.125,57.42499999999927,59.100000000000364,66.41300000000047,87.94900000000052,89.20800000000054,91.22299999999996,85.81500000000051,89.83300000000054,90.24099999999999,,,,
44.0,0.0,2.5979999999999563,5.094999999999345,6.371999999999389,19.980999999999767,22.165999999999258,26.074000000000524,59.542999999999665,60.50699999999961,68.75799999999981,88.52499999999964,88.93499999999949,92.71899999999914,86.09000000000015,91.0679999999993,91.57500000000073,,,,
45.0,0.0,2.139000000001033,4.439000000000306,5.728000000000975,19.889000000001033,21.938000000000102,25.689000000000306,61.14600000000064,63.71399999999994,69.59900000000016,89.94000000000051,92.15500000000065,94.22100000000137,86.35500000000138,93.24700000000121,93.72000000000116,,,,
46.0,0.0,2.194999999999709,4.602999999999156,5.376000000000204,19.708999999998923,21.574000000000524,25.226000000000568,62.87299999999959,65.74099999999999,71.00200000000041,90.30099999999948,90.76000000000022,96.07099999999991,86.08399999999892,94.80400000000009,95.29899999999907,,,,
47.0,0.0,1.4089999999996508,3.559000000001106,4.332000000000335,18.837999999999738,20.925999999999476,24.37199999999939,64.11399999999958,67.01800000000003,71.25200000000041,90.22500000000036,92.64600000000064,99.85499999999956,84.96099999999933,95.5069999999996,96.1890000000003,,,,
48.0,0.0,1.8629999999993743,3.5119999999988067,4.3659999999999854,19.59900000000016,21.322000000000116,24.261999999998807,66.71600000000035,68.39799999999923,73.17599999999948,92.59900000000016,92.98699999999917,102.47599999999875,116.15200000000004,98.53600000000006,100.72899999999936,,,,
49.0,0.0,1.493000000000393,3.264999999999418,4.037000000000262,20.07799999999952,21.292999999999665,23.15400000000045,68.3189999999995,69.27000000000044,75.20399999999972,93.93000000000029,94.3179999999993,104.78800000000047,116.73500000000058,103.99599999999919,104.35699999999997,,,,
