,NOR,SAI,LEC,HAM,RUS,VER,GAS,HUL,ALO,PIA,ALB,TSU,ZHO,STR,DOO,MAG,LAW,BOT,COL,PER
18.0,0.0,4.0700000000006185,17.475000000000364,27.402000000000044,16.579999999999927,22.21900000000005,38.19100000000071,41.15100000000075,47.449000000000524,48.40100000000075,53.82000000000062,40.51600000000053,56.11500000000069,49.39600000000064,43.56800000000021,50.2450000000008,33.45900000000074,67.69200000000001,98.63900000000012,
19.0,0.0,4.251000000000204,18.418000000000575,28.11200000000008,17.298000000000684,23.15599999999995,38.6190000000006,41.50799999999981,48.01800000000003,49.32000000000062,54.69300000000021,43.05799999999999,56.99300000000039,50.33100000000013,45.33100000000013,51.146999999999935,35.21600000000035,68.59900000000016,99.9409999999998,
20.0,0.0,4.245999999999185,21.393999999999323,28.70599999999922,17.987999999999374,23.946999999999207,38.96799999999985,42.16699999999946,48.891999999999825,50.297999999999774,55.662999999999556,45.10999999999967,57.763999999999214,51.49299999999948,47.05799999999999,52.7529999999997,36.727999999999156,69.48899999999958,100.79399999999987,
21.0,0.0,4.304000000000087,40.922999999999774,29.29199999999946,19.222999999999956,24.509000000000015,39.55999999999949,42.92500000000018,49.891999999999825,51.44200000000001,56.76000000000022,47.19499999999971,58.5590000000002,52.70799999999963,48.844999999999345,53.64499999999953,38.39099999999962,70.17900000000009,101.80999999999949,
22.0,0.0,4.024000000000342,41.53600000000006,29.75800000000072,19.93000000000029,25.209000000000742,40.9980000000005,43.83600000000024,50.88100000000031,52.426000000000386,57.754000000000815,50.603000000000065,59.668000000000575,53.89500000000044,52.69300000000021,54.70600000000013,40.3690000000006,71.46600000000035,102.9380000000001,
23.0,0.0,3.918999999999869,42.71099999999933,30.282999999999447,20.962999999999738,25.885999999999513,41.87299999999959,44.560999999999694,51.48199999999997,52.82499999999982,58.47899999999936,71.66399999999976,60.35199999999986,54.92999999999938,74.42500000000018,55.73700000000008,45.60399999999936,73.0029999999997,104.0630000000001,
24.0,0.0,3.8070000000006985,42.41200000000026,30.4970000000003,21.40100000000075,26.152000000000044,43.53300000000036,45.08300000000054,51.650000000000546,53.13100000000031,58.98500000000058,72.08500000000004,60.802999999999884,55.871000000000095,74.75600000000031,56.60500000000047,72.58700000000044,74.19200000000001,105.10699999999997,
25.0,0.0,5.439000000000306,42.11400000000049,30.903000000000247,22.136000000000422,26.79399999999987,44.07300000000032,45.985999999999876,52.24200000000019,53.81500000000051,59.86999999999989,72.78600000000006,61.90300000000025,56.90099999999984,75.49499999999989,57.8130000000001,93.90900000000056,76.50200000000041,106.15099999999984,
26.0,0.0,21.429000000000087,39.63100000000031,29.16899999999987,22.626000000000204,25.49499999999989,42.194000000000415,44.134000000000015,50.43000000000029,51.91700000000037,58.5,71.08200000000033,60.462000000000444,55.51900000000023,74.33899999999994,56.76000000000022,91.95300000000043,76.1869999999999,115.09799999999996,
27.0,0.0,2.0930000000007567,20.990999999999985,11.5,23.96600000000035,7.878999999999905,25.061999999999898,26.429000000000087,32.63500000000022,34.035000000000764,41.3130000000001,53.271999999999935,43.1869999999999,38.16900000000078,56.999000000000706,39.86999999999989,74.07700000000023,59.488000000000284,,
