,LEC,SAI,VER,NOR,PIA,RUS,PER,HUL,LAW,COL,MAG,GAS,ALO,TSU,STR,ALB,BOT,OCO,ZHO,HAM
12.0,0.0,6.528999999999542,4.895999999999731,9.310999999999694,11.794999999999163,26.48699999999917,18.93199999999979,20.45799999999963,22.777000000000044,25.08599999999933,16.701999999999316,14.969999999999345,24.08599999999933,18.018999999999323,28.919999999999163,30.169999999999163,25.872999999999593,27.471999999999753,34.261999999999716,
13.0,0.0,7.144000000000233,5.432999999999993,10.259000000000015,12.975000000000364,28.38799999999992,20.752000000000407,22.39300000000003,24.69800000000032,27.45300000000043,18.45300000000043,16.61700000000019,26.373999999999796,19.842999999999847,31.623000000000502,33.22900000000027,29.15099999999984,30.329999999999927,37.289999999999964,
14.0,0.0,7.981999999999971,6.079000000000633,11.381000000000313,14.582000000000335,30.286000000000058,22.983000000000175,24.240999999999985,26.881000000000313,31.222999999999956,20.532000000000153,18.968000000000757,28.88000000000011,21.994000000000597,34.48500000000058,36.25,32.07600000000002,33.378999999999905,60.92500000000018,
15.0,0.0,8.381000000000313,6.59900000000016,12.068999999999505,15.922999999999774,31.769000000000233,24.92199999999957,26.39300000000003,29.25,33.35199999999986,22.59599999999955,20.795000000000073,30.738000000000284,23.858000000000175,37.16100000000006,38.84099999999944,35.11799999999948,35.88199999999961,62.628999999999905,
16.0,0.0,8.884999999999309,6.849999999999454,12.641999999999825,16.36999999999989,33.24699999999939,26.608000000000175,28.122999999999593,31.113999999999578,35.52599999999984,24.715000000000146,22.318999999999505,32.636999999999716,25.75999999999931,39.6899999999996,41.38999999999942,56.987999999999374,38.0059999999994,64.47999999999956,
17.0,0.0,9.466999999999643,7.388999999999214,12.935999999999694,16.673999999999978,34.75799999999981,28.466999999999643,29.692000000000007,32.86399999999958,37.427999999999884,26.988999999999578,24.839999999999236,35.4399999999996,29.164999999999964,42.12299999999959,43.65299999999934,58.167999999999665,40.21599999999944,66.74499999999989,
18.0,0.0,9.728000000000065,7.875,13.444999999999709,17.24499999999989,35.853000000000065,29.56999999999971,32.386999999999716,34.764000000000124,39.42000000000007,47.345000000000255,26.44300000000021,37.24300000000039,32.40599999999995,44.55699999999979,45.74200000000019,59.49499999999989,42.44999999999982,68.63500000000022,
19.0,0.0,10.07300000000032,8.302999999999884,13.503999999999905,17.377000000000407,37.50300000000061,30.275000000000546,33.264000000000124,36.3119999999999,40.87700000000041,48.659999999999854,52.712000000000444,39.36700000000019,55.70100000000002,46.574000000000524,47.789999999999964,60.811000000000604,44.41400000000067,70.4340000000002,
20.0,0.0,10.131000000000313,8.533000000000357,13.639000000000124,17.412000000000262,38.51299999999992,30.77099999999973,33.95499999999993,37.54399999999987,42.24399999999969,49.899999999999636,54.55199999999968,41.19599999999991,57.14300000000003,48.41899999999987,49.44499999999971,61.891999999999825,46.085000000000036,72.53600000000006,
21.0,0.0,11.319999999999709,8.829999999999927,13.606999999999971,17.61699999999928,38.97199999999975,31.835000000000036,34.97199999999975,40.27599999999984,43.82499999999982,51.65299999999934,56.177999999999884,42.98700000000008,58.97399999999925,50.32899999999972,52.39899999999943,63.305999999999585,47.82499999999982,74.46499999999924,
22.0,0.0,29.805999999999585,9.51799999999912,13.737999999999374,18.06999999999971,39.57999999999993,33.8799999999992,36.3179999999993,42.31299999999919,45.66399999999976,52.72099999999955,57.79999999999927,46.28299999999945,60.5679999999993,53.57499999999982,55.15699999999924,64.89299999999912,50.04399999999987,77.22999999999956,
