,VER,PER,LEC,PIA,ALO,RUS,BEA,NOR,HAM,HUL,ALB,MAG,OCO,SAR,TSU,RIC,BOT,ZHO,STR,GAS
18.0,0.0,5.403000000000247,9.07300000000032,11.629000000000815,15.122000000000298,16.48700000000008,20.843000000000757,7.463000000000648,11.257000000000517,20.90900000000056,29.002000000000407,26.76600000000053,28.33100000000013,30.436000000000604,27.432999999999993,32.25700000000052,31.666000000000167,25.412000000000262,,
19.0,0.0,5.813000000000102,9.878000000000611,13.125,16.563000000000102,17.7470000000003,23.324000000000524,8.521999999999935,12.64600000000064,22.94800000000032,30.931000000000495,28.851000000000568,30.347999999999956,32.66200000000026,29.444000000000415,34.975000000000364,34.35900000000038,27.684000000000196,,
20.0,0.0,6.124000000000706,10.761000000000422,14.38300000000072,17.887000000000626,19.13800000000083,25.08600000000024,9.459000000000742,13.805000000000291,24.949000000000524,33.14300000000003,30.79700000000048,32.30200000000059,34.84700000000066,31.438000000000102,37.98199999999997,37.54600000000028,29.705000000000837,,
21.0,0.0,6.32300000000032,11.550000000000182,15.243000000000393,19.332000000000335,20.34900000000016,26.52100000000064,10.467000000000553,14.88800000000083,28.38500000000022,35.030000000000655,32.78700000000026,34.29400000000078,36.996000000000095,33.215000000000146,41.82800000000043,41.41400000000067,32.17100000000028,,
22.0,0.0,6.407000000000153,12.271999999999935,17.02300000000014,20.524999999999636,21.63299999999981,28.100000000000364,11.1850000000004,16.327000000000226,30.76299999999992,38.0659999999998,35.610999999999876,36.53200000000015,39.61700000000019,35.93299999999999,45.28099999999995,44.85900000000038,34.34900000000016,,
23.0,0.0,6.584999999999127,13.081999999999425,17.945999999999913,21.690999999999804,22.9399999999996,29.435999999999694,12.216999999999643,17.576000000000022,32.78699999999935,40.636999999999716,39.016999999999825,39.95599999999922,41.84099999999944,39.425999999999476,48.34399999999914,48.3179999999993,36.852999999999156,,
24.0,0.0,6.696999999999207,13.909999999999854,19.359999999999673,23.040999999999258,24.51299999999992,30.71899999999914,13.094999999999345,18.917999999999665,34.94699999999921,43.92099999999937,42.40599999999995,43.396999999999935,44.29099999999926,42.625,50.59599999999955,52.53699999999935,39.3149999999996,,
25.0,0.0,6.9409999999998035,14.260999999999513,20.268999999999323,24.14599999999973,25.80499999999938,31.858000000000175,13.881999999999607,19.664999999999964,36.886999999999716,47.25999999999931,46.175999999999476,46.98499999999967,48.04500000000007,46.38799999999992,52.55000000000018,55.371000000000095,41.67500000000018,,
26.0,0.0,7.130000000000109,15.210000000000036,21.020000000000437,25.426000000000386,26.980999999999767,33.085000000000036,15.113000000000284,20.6220000000003,39.02000000000044,51.332000000000335,49.875,50.75500000000011,51.98099999999977,50.48900000000049,54.962000000000444,58.128999999999905,44.149999999999636,,
27.0,0.0,7.142000000000735,15.639000000000124,22.296000000000276,26.28400000000056,27.829999999999927,34.17100000000028,17.10900000000038,21.81800000000021,41.00200000000041,54.73700000000008,53.375,54.4320000000007,55.457000000000335,53.86000000000058,57.88799999999992,60.66100000000006,46.43000000000029,,
28.0,0.0,7.436000000000604,16.16700000000037,23.149000000000342,27.472999999999956,28.931000000000495,35.13600000000042,18.22900000000027,22.704000000000633,42.8100000000004,58.22900000000027,56.80000000000018,57.642000000000735,58.66899999999987,56.85400000000027,60.499000000000706,63.311000000000604,48.63500000000022,,
29.0,0.0,7.354999999999563,16.720000000000255,24.217999999999847,28.403000000000247,29.822000000000116,35.76299999999992,19.108000000000175,23.519000000000233,44.292999999999665,61.16399999999976,59.845000000000255,60.19499999999971,61.96399999999994,60.83299999999963,63.39599999999973,65.41600000000017,50.87299999999959,,
30.0,0.0,7.536000000000058,16.98199999999997,24.993000000000393,29.295000000000073,30.85199999999986,36.93299999999999,20.157000000000153,24.271999999999935,45.998999999999796,64.69800000000032,63.087000000000444,63.71100000000024,65.11300000000028,64.27300000000014,66.40300000000025,68.12800000000061,53.15700000000015,,
31.0,0.0,7.906999999999243,17.134000000000015,25.89099999999962,30.510999999999513,31.962999999999738,37.92499999999927,21.264999999999418,25.201999999999316,47.72699999999986,68.08399999999983,66.6939999999995,67.16899999999987,68.53799999999956,67.75799999999981,69.3819999999996,71.08899999999994,55.5029999999997,,
32.0,0.0,7.868000000000393,17.548000000000684,26.60700000000088,31.364000000000487,32.80799999999999,38.46600000000035,22.02900000000045,26.063000000000102,49.181000000000495,71.16000000000076,69.9320000000007,70.33300000000054,71.89000000000033,70.90700000000015,72.64100000000053,73.71700000000055,57.58900000000085,,
33.0,0.0,8.123000000000502,18.302999999999884,27.588000000000648,32.50700000000052,33.819000000000415,39.70800000000054,23.23400000000038,27.114000000000487,53.472999999999956,74.07200000000012,73.32300000000032,73.77700000000004,75.28099999999995,74.71600000000035,76.08500000000004,77.19999999999982,59.95899999999983,,
