,VER,NOR,RUS,HAM,PIA,ALO,STR,RIC,GAS,OCO,HUL,MAG,BOT,TSU,ZHO,SAI,ALB,PER,LEC,SAR
45.0,13.219000000000051,0.0,17.27299999999923,28.277999999999338,25.71900000000005,41.460000000000036,47.69499999999971,51.97899999999936,60.27899999999954,49.92199999999957,59.110999999999876,62.292999999999665,61.39099999999962,45.05699999999979,124.56999999999971,54.76099999999951,51.10599999999977,58.15899999999965,,
46.0,20.769999999999527,0.0,24.478000000000065,32.26299999999992,25.936999999999898,44.27799999999934,49.34299999999985,52.49499999999989,59.78200000000015,51.697000000000116,59.297999999999774,61.95799999999963,61.68299999999999,47.055999999999585,138.0649999999996,54.28399999999965,52.04899999999998,58.1899999999996,,
47.0,3.8510000000005675,0.0,7.631000000000313,13.766000000000531,8.011000000000422,29.31500000000051,33.2470000000003,36.53099999999995,40.51100000000042,34.7470000000003,41.402000000000044,44.1220000000003,43.76900000000023,31.689000000000306,130.82899999999972,35.840000000000146,35.45600000000013,39.38100000000031,,
48.0,0.0,3.7750000000005457,4.338999999999942,8.947000000000116,4.704000000000633,28.110999999999876,31.190999999999804,36.51299999999992,37.59699999999975,31.878999999999905,38.07000000000062,44.10400000000027,41.569000000000415,30.025000000000546,132.98099999999977,33.39400000000023,32.38200000000052,36.625,,
49.0,0.0,5.024000000000342,4.29700000000048,12.765000000000327,5.262000000000626,30.64800000000014,32.56600000000071,38.152000000000044,38.91400000000067,33.246000000000095,39.61200000000008,45.53300000000036,43.20300000000043,31.947000000000116,138.4890000000005,34.05500000000029,33.69300000000021,38.29899999999998,,
50.0,0.0,4.621000000000095,3.845999999999549,12.582999999999629,6.645999999999731,31.835000000000036,33.534999999999854,39.193999999999505,40.17199999999957,34.439000000000306,40.90800000000036,47.52400000000034,45.29500000000007,33.336999999999534,142.817,35.810999999999694,35.03600000000006,39.488000000000284,,
51.0,0.0,5.561000000000604,5.9950000000008,12.49200000000019,7.170000000000073,33.181000000000495,34.81800000000021,40.09900000000016,41.00200000000041,35.72900000000027,42.45400000000063,48.926000000000386,47.324000000000524,34.4940000000006,146.7400000000007,36.65900000000056,36.28600000000006,40.19800000000032,,
52.0,0.0,5.286999999999352,6.545999999999367,12.336999999999534,7.079999999999927,34.15599999999995,38.16399999999976,41.02300000000014,43.202000000000226,39.63999999999942,45.17900000000009,54.46599999999944,52.784999999999854,39.08100000000013,189.53299999999945,39.99699999999939,40.5649999999996,68.48700000000008,,
53.0,0.0,5.526999999999134,7.485999999999876,12.52099999999973,7.891999999999825,43.18399999999929,46.1909999999998,59.67899999999918,60.76099999999951,53.719999999999345,61.19699999999921,71.01399999999921,69.22499999999945,51.675999999999476,234.08599999999933,74.01899999999932,-4.846000000000458,,,
54.0,0.0,6.65900000000056,29.020000000000437,35.087000000000444,11.219000000000051,44.65800000000036,49.66200000000026,60.90100000000075,62.58300000000054,56.13000000000011,63.33800000000065,93.35000000000036,74.23000000000047,53.301000000000386,259.34900000000016,,,,,
55.0,0.0,0.6929999999993015,6.796999999999571,10.923999999999978,2.061999999999898,14.746000000000095,16.221999999999753,23.90599999999995,25.60699999999997,20.64800000000014,27.105999999999767,62.08599999999933,37.534999999999854,18.857999999999265,224.8729999999996,,,,,
56.0,0.0,0.7670000000007349,5.8880000000008295,8.550000000000182,3.2620000000006257,9.381000000000313,11.032000000000153,15.153000000000247,17.416000000000167,13.28400000000056,17.812000000000808,24.32300000000032,19.52100000000064,12.421000000000276,187.88500000000022,,,,,
57.0,0.0,1.106999999999971,3.701000000000022,4.109000000000378,1.9840000000003783,5.846000000000458,7.545000000000073,12.092000000000553,13.550000000000182,10.931000000000495,14.764000000000124,18.243000000000393,17.095000000000255,9.676000000000386,154.54399999999987,,,,,
58.0,0.0,0.8130000000001019,1.6229999999995925,2.2609999999995125,1.1549999999997453,2.818000000000211,3.6220000000002983,5.619999999999891,6.0649999999996,5.139000000000124,6.832000000000335,7.932999999999993,7.197000000000116,4.699999999999818,99.97800000000007,,,,,
59.0,0.0,1.819999999999709,3.2049999999999272,4.167000000000371,2.380000000000109,5.083999999999833,6.199999999999818,8.484000000000378,9.136000000000422,7.864999999999782,10.259000000000015,12.1850000000004,11.003999999999905,7.052999999999884,101.87700000000041,,,,,
60.0,0.0,1.5840000000007421,2.83600000000024,4.360999999999876,2.1469999999999345,6.22400000000016,7.231999999999971,9.807999999999993,10.231000000000677,9.001000000000204,11.070000000000618,16.386000000000422,12.459000000000742,8.557000000000698,104.10400000000027,,,,,
61.0,0.0,1.8789999999999054,2.9970000000002983,4.695999999999913,2.375,7.274000000000342,9.10400000000027,12.36999999999989,12.463000000000648,11.45300000000043,12.99200000000019,18.445999999999913,14.19000000000051,12.125,107.05299999999988,,,,,
62.0,0.0,2.0850000000000364,3.46100000000024,4.826000000000022,3.024000000000342,8.636000000000422,11.22900000000027,14.403000000000247,14.878999999999905,13.511999999999716,15.45300000000043,20.042999999999665,16.34400000000005,13.993000000000393,109.73800000000028,,,,,
63.0,0.0,2.481999999999971,5.925000000000182,5.5,4.319999999999709,9.805999999999585,12.858000000000175,16.29699999999957,16.89300000000003,15.430999999999585,17.509000000000015,21.67699999999968,18.128999999999905,16.037000000000262,112.50900000000001,,,,,
64.0,0.0,2.9080000000003565,6.3289999999997235,5.8659999999999854,5.319999999999709,11.158000000000357,14.636999999999716,18.335000000000036,18.66899999999987,17.45799999999963,19.163000000000466,23.171000000000276,21.557999999999993,17.828999999999724,115.41300000000047,,,,,
65.0,0.0,3.199000000000524,6.0770000000002256,5.057999999999993,5.6850000000004,12.673999999999978,16.0570000000007,20.244000000000597,20.40600000000086,19.441000000000713,21.061000000000604,24.524000000000342,22.926000000000386,19.903000000000247,120.40200000000004,,,,,
66.0,0.0,3.1400000000003274,6.157000000000153,5.125,6.7960000000002765,14.029000000000451,17.949999999999818,22.47699999999986,22.697000000000116,21.99499999999989,26.16399999999976,26.855000000000473,27.47699999999986,42.97400000000016,123.34100000000035,,,,,
67.0,0.0,2.9279999999998836,5.75,5.277000000000044,8.188000000000102,15.375,19.84099999999944,23.898999999999432,24.89099999999962,24.5,27.076999999999316,28.23700000000008,31.732999999999265,46.050999999999476,125.82899999999972,,,,,
68.0,0.0,3.118000000000393,5.447000000000116,5.498000000000502,8.789999999999964,16.324000000000524,21.259000000000015,25.233000000000175,26.89100000000053,26.512000000000626,28.363000000000284,28.994000000000597,34.60400000000027,49.07300000000032,127.41200000000026,,,,,
69.0,0.0,3.257999999999811,4.9909999999999854,5.627999999999702,9.515000000000327,16.77599999999984,22.197000000000116,26.532000000000153,28.577000000000226,28.86999999999989,29.216999999999643,29.711999999999534,37.014000000000124,50.95399999999972,129.09699999999975,,,,,
70.0,0.0,3.8789999999999054,4.317000000000007,4.914999999999964,10.198999999999614,17.50999999999931,23.389999999999418,28.67199999999957,30.02099999999973,30.312999999999192,30.823999999999614,31.2529999999997,40.48699999999917,52.693999999999505,,,,,,
