,VER,LEC,PER,NOR,ALO,SAI,RUS,HAM,STR,GAS,ALB,ZHO,SAR,OCO,BOT,PIA,DEV,MAG,TSU,HUL
24.0,0.0,10.106999999999971,19.583999999999833,21.51000000000022,26.378999999999905,16.493000000000393,36.097999999999956,20.40099999999984,41.511999999999716,31.225999999999658,38.96299999999974,48.32999999999993,46.860999999999876,39.83600000000024,73.60199999999986,72.7460000000001,54.04600000000028,46.34600000000046,70.73199999999997,
25.0,6.802000000000589,0.0,14.018000000000029,11.912000000000262,16.692000000000007,6.4890000000004875,26.585000000000036,11.14600000000064,32.236000000000786,21.800000000000182,29.81800000000021,40.04700000000048,38.457000000000335,30.665000000000873,63.61200000000008,64.22100000000046,45.47600000000057,39.38000000000011,60.845000000000255,
26.0,5.826000000000022,0.0,31.091999999999643,12.251000000000204,17.15899999999965,7.233999999999469,27.430999999999585,11.511999999999716,33.24699999999939,22.55699999999979,30.810999999999694,41.800999999999476,40.021999999999935,32.03200000000015,63.86899999999969,64.86200000000008,47.1279999999997,41.38000000000011,61.31800000000021,
27.0,5.17200000000048,0.0,30.48700000000008,12.654000000000451,17.614000000000487,7.3659999999999854,28.162000000000262,11.761000000000422,34.137000000000626,23.3070000000007,32.26000000000022,43.26900000000023,41.51299999999992,33.07000000000062,64.39699999999993,65.3740000000007,48.650000000000546,44.46800000000076,61.847999999999956,
28.0,4.413000000000466,0.0,29.86499999999978,12.59100000000035,17.972999999999956,7.313000000000102,28.752000000000407,13.292000000000371,34.91600000000017,23.967000000000553,33.26500000000033,44.7529999999997,42.8100000000004,33.9369999999999,64.73800000000028,65.72500000000036,50.09900000000016,46.712000000000444,62.1840000000002,
29.0,3.742000000000189,0.0,30.166000000000167,13.457000000000335,18.41700000000037,7.498000000000502,29.837000000000444,14.179000000000087,35.960000000000036,25.19499999999971,34.32099999999991,46.50700000000052,43.975000000000364,34.983000000000175,64.88699999999972,66.10599999999977,51.659999999999854,48.94000000000051,62.587000000000444,
30.0,3.1989999999996144,0.0,30.033000000000357,14.019000000000233,18.909999999999854,7.7849999999998545,31.271999999999935,14.907000000000153,36.9970000000003,26.22699999999986,35.41700000000037,48.301000000000386,45.13199999999961,36.305999999999585,65.32099999999991,66.83299999999963,53.26900000000023,51.180999999999585,63.259000000000015,
31.0,2.4849999999996726,0.0,29.22900000000027,14.222999999999956,19.105999999999767,7.805999999999585,31.978000000000065,15.195999999999913,37.64000000000033,26.692000000000007,36.22400000000016,49.789999999999964,45.983000000000175,37.024999999999636,65.52499999999964,67.30799999999999,54.694000000000415,53.060999999999694,63.69999999999982,
32.0,1.6719999999995707,0.0,28.41399999999976,14.36999999999989,19.126000000000204,7.6359999999995125,32.349999999999454,15.320999999999913,38.5659999999998,27.43199999999979,37.279999999999745,51.016999999999825,46.710000000000036,37.930999999999585,65.72899999999936,67.66600000000017,55.876000000000204,54.72599999999966,63.83899999999994,
33.0,0.9139999999997599,0.0,28.307999999999993,14.442999999999302,19.148999999999432,7.289999999999964,32.6869999999999,15.464999999999236,39.36399999999958,27.885999999999513,37.78699999999935,52.1309999999994,47.79999999999927,38.51999999999953,66.04500000000007,67.98499999999967,57.29399999999987,56.511999999999716,64.05699999999979,
34.0,0.3719999999993888,0.0,27.420000000000073,14.373999999999796,19.128999999999905,6.992000000000189,32.90099999999984,15.469999999999345,40.08799999999974,29.25799999999981,38.371000000000095,53.40099999999984,48.78200000000015,39.365999999999985,66.35800000000017,68.3139999999994,58.7529999999997,64.08100000000013,64.4380000000001,
35.0,0.0,1.2539999999999054,27.239000000000487,15.204999999999927,19.751000000000204,7.653000000000247,33.88100000000031,16.810999999999694,41.42100000000028,30.69499999999971,39.75799999999981,55.404999999999745,50.314000000000306,40.702000000000226,67.74399999999969,72.46100000000024,60.712000000000444,83.27900000000045,65.71799999999985,
36.0,0.0,2.4349999999994907,27.19300000000021,16.653000000000247,20.974999999999454,8.622000000000298,35.24499999999989,18.16899999999987,46.787999999999556,32.470000000000255,41.371000000000095,57.80400000000009,52.210000000000036,42.371000000000095,70.64999999999964,74.30500000000029,62.831999999999425,84.27899999999954,67.42000000000007,
37.0,0.0,3.399000000000342,26.824000000000524,17.676000000000386,21.88500000000022,9.244000000000597,36.332000000000335,19.319000000000415,65.14900000000034,33.97700000000077,42.5570000000007,59.99300000000039,53.94200000000001,43.77900000000045,71.57400000000052,75.69700000000012,68.01400000000012,84.7480000000005,68.78600000000006,
38.0,0.0,4.489999999999782,26.514000000000124,18.804000000000087,22.89600000000064,9.98700000000008,37.728000000000065,20.403000000000247,65.15500000000065,35.55699999999979,44.15400000000045,65.80299999999988,55.82099999999991,45.79600000000028,73.51000000000022,77.19599999999991,85.71300000000065,86.42600000000039,71.48700000000008,
39.0,0.0,5.82799999999952,26.675000000000182,20.592999999999847,24.10899999999947,11.136999999999716,39.323999999999614,21.975999999999658,65.3769999999995,37.302999999999884,45.956999999999425,84.63500000000022,57.67900000000009,48.313999999999396,75.46900000000005,79.05099999999948,86.30099999999948,87.27999999999975,73.35699999999997,
40.0,0.0,7.293000000000575,26.58100000000013,22.72100000000046,25.314000000000306,12.069000000000415,40.92700000000059,23.929000000000087,65.61200000000008,38.98400000000038,47.71700000000055,85.07600000000002,59.59100000000035,54.05400000000009,80.5659999999998,80.63500000000022,86.9310000000005,88.17500000000018,75.11099999999988,
41.0,0.0,8.594000000000051,26.85900000000038,27.699000000000524,26.453999999999724,13.119000000000597,45.96700000000055,25.270000000000437,65.83700000000044,40.501000000000204,52.58300000000054,85.63400000000001,61.55200000000059,81.15499999999975,99.06500000000051,85.51200000000063,87.40700000000015,89.21700000000055,76.90499999999975,
42.0,0.0,9.604999999999563,27.13799999999992,45.53699999999935,28.29199999999946,14.128999999999905,64.09099999999944,29.841999999999643,66.22400000000016,42.94999999999982,76.67199999999957,86.01800000000003,63.59199999999964,82.07600000000002,99.65599999999995,104.45499999999993,88.0649999999996,90.12199999999939,79.03899999999976,
43.0,0.0,10.636999999999716,26.83300000000054,45.20399999999972,29.66700000000037,14.734000000000378,64.15800000000036,54.11800000000039,66.76800000000003,44.47400000000016,76.91399999999976,86.49200000000019,69.76299999999992,83.22500000000036,100.40700000000015,104.95399999999972,88.7480000000005,91.16100000000006,86.16899999999987,
