,VER,ALO,OCO,HAM,RUS,LEC,GAS,SAI,NOR,PIA,BOT,DEV,ZHO,ALB,TSU,PER,HUL,SAR,MAG,STR
21.0,0.0,9.359999999999673,25.5679999999993,29.117999999999483,33.76099999999951,30.001999999999498,31.42999999999938,26.644999999999527,46.55199999999968,49.732999999999265,54.572000000000116,51.615999999999985,71.63799999999992,78.80799999999999,41.1279999999997,60.68499999999949,65.79199999999946,91.4389999999994,59.44999999999982,59.92099999999937
22.0,0.0,10.648000000000138,26.96600000000035,29.85199999999986,34.98099999999977,31.22900000000027,32.98400000000038,27.993000000000393,48.774999999999636,52.09900000000016,56.172999999999774,54.534999999999854,72.56700000000001,79.2539999999999,43.621000000000095,62.82899999999972,66.97800000000007,92.26299999999992,61.55799999999999,61.8100000000004
23.0,0.0,11.315999999999804,28.234999999999673,31.300999999999476,36.487999999999374,32.54699999999957,34.322000000000116,29.394999999999527,50.82799999999952,55.01499999999942,58.305999999999585,57.63000000000011,73.41299999999956,79.71399999999994,46.2559999999994,64.82899999999972,68.38299999999981,113.85399999999936,63.88000000000011,64.13299999999981
24.0,0.0,11.802999999999884,28.9350000000004,31.934000000000196,37.39900000000034,33.335000000000036,35.10099999999966,30.509000000000015,52.71100000000024,57.57600000000002,61.57600000000002,61.029999999999745,74.07999999999993,79.58799999999974,48.771999999999935,66.65499999999975,69.94800000000032,117.73800000000028,65.57899999999972,65.77400000000034
25.0,0.0,11.80199999999968,29.20300000000043,32.39400000000023,37.86399999999958,33.77099999999973,35.45799999999963,30.789999999999964,54.30799999999999,59.774999999999636,64.59600000000046,63.97900000000027,74.66799999999967,79.19800000000032,50.92399999999998,68.01299999999992,70.99499999999989,118.44899999999961,67.09000000000015,67.64900000000034
26.0,0.0,11.730999999999767,29.423999999999978,32.89799999999923,38.55199999999968,34.43799999999919,36.15799999999945,30.943999999999505,56.162999999999556,62.76099999999951,67.60599999999977,66.92999999999938,75.61699999999928,78.94799999999941,52.98399999999947,70.67799999999988,72.4469999999992,119.26999999999953,68.90099999999984,69.36299999999937
27.0,0.0,11.699999999999818,29.30999999999949,32.96099999999933,39.1299999999992,34.78099999999995,36.91099999999915,31.0029999999997,58.01299999999992,65.02599999999984,70.5089999999991,69.82499999999982,76.45499999999993,79.04899999999998,54.1899999999996,72.73799999999937,74.14399999999932,119.88599999999951,71.49099999999999,71.8759999999993
28.0,0.0,11.49200000000019,28.478000000000065,32.524999999999636,38.71299999999974,34.490999999999985,36.426000000000386,30.548999999999978,59.014000000000124,65.74099999999999,72.59199999999964,72.02800000000025,79.46500000000015,79.80699999999979,54.78899999999976,74.57899999999972,75.96299999999974,119.85599999999977,73.48899999999958,73.96600000000035
29.0,0.0,10.601999999999862,27.65599999999995,31.89599999999973,38.04399999999987,33.55499999999938,35.797999999999774,29.71900000000005,59.91899999999987,66.07499999999982,74.79899999999998,74.03600000000006,80.32700000000023,80.75799999999981,54.987999999999374,76.5639999999994,79.3739999999998,119.60800000000017,75.39800000000014,75.79600000000028
30.0,0.0,9.407000000000153,26.829999999999927,31.478000000000065,37.1840000000002,32.95399999999972,34.72099999999955,28.77899999999954,60.327000000000226,66.27800000000025,76.03200000000015,75.14300000000003,81.66700000000037,82.05500000000029,55.162999999999556,79.17500000000018,80.13400000000001,118.98300000000017,76.99099999999999,77.4960000000001
31.0,0.0,7.925000000000182,25.420000000000073,48.20399999999972,35.84699999999975,32.08899999999994,33.99499999999989,27.5029999999997,60.039999999999964,65.65200000000004,76.3119999999999,75.46900000000005,82.1180000000004,82.46600000000035,54.88500000000022,79.72599999999966,81.14900000000034,117.73499999999967,77.52599999999984,80.50799999999981
32.0,0.0,6.746000000000095,41.271999999999935,47.552999999999884,34.50500000000011,30.55500000000029,32.5630000000001,25.86700000000019,59.13799999999992,65.22600000000057,76.96600000000035,75.59400000000005,82.92799999999988,83.23900000000049,54.58799999999974,80.51699999999983,82.04100000000017,116.22100000000046,80.25300000000061,81.07900000000063
33.0,0.0,5.6159999999999854,41.61500000000069,44.25700000000052,33.11500000000069,28.771999999999935,31.067000000000007,40.53300000000036,58.23400000000038,64.53900000000067,76.67500000000018,75.71900000000005,85.58399999999983,85.85199999999986,54.09900000000016,83.65400000000045,84.44300000000021,114.6190000000006,82.1890000000003,82.57900000000063
34.0,0.0,6.869000000000597,40.52100000000064,44.57000000000062,32.64000000000033,28.189000000000306,30.230000000000473,43.25600000000031,58.21600000000035,64.8060000000005,78.85699999999997,77.00300000000061,88.12700000000041,88.53900000000067,54.09400000000005,112.0610000000006,87.35500000000047,114.24099999999999,82.89200000000073,83.1180000000004
