,VER,PER,SAI,LEC,RUS,HAM,ALB,NOR,ALO,BOT,LAW,PIA,SAR,ZHO,GAS,STR,HUL,MAG,OCO,TSU
33.0,0.0,9.573999999999614,7.457999999999629,10.302999999999884,16.16899999999987,36.19599999999991,30.21900000000005,30.980999999999767,38.667999999999665,50.75799999999981,48.94300000000021,31.93499999999949,47.75699999999961,51.472999999999956,74.70200000000023,55.46600000000035,51.66399999999976,68.44599999999991,62.66399999999976,
34.0,0.0,9.838999999999942,7.90099999999984,10.470999999999549,16.604999999999563,36.748999999999796,31.11499999999978,31.66399999999976,39.547999999999774,51.69599999999991,69.97000000000025,32.96900000000005,49.292999999999665,73.7519999999995,75.89599999999973,57.08100000000013,53.97199999999975,90.09599999999955,64.60699999999997,
35.0,0.0,9.675000000000182,7.875,10.506000000000313,16.97900000000027,36.95000000000073,31.845000000000255,32.3130000000001,40.25,52.40400000000045,70.41499999999996,33.431000000000495,50.71100000000024,73.92000000000007,76.98400000000038,58.235999999999876,56.10200000000077,90.58100000000013,66.23300000000017,
36.0,0.0,9.704000000000633,8.288000000000466,10.53900000000067,17.752000000000407,37.5570000000007,33.228000000000065,33.775000000000546,41.10900000000038,53.58800000000065,71.20100000000002,34.47200000000066,52.25500000000011,75.25700000000052,78.18299999999999,59.73400000000038,58.58800000000065,91.3680000000004,68.11100000000079,
37.0,0.0,9.778000000000247,8.490999999999985,10.527000000000044,18.066000000000713,37.8730000000005,34.376000000000204,34.68700000000081,41.805999999999585,54.44999999999982,71.77099999999973,35.595000000000255,53.86400000000049,76.27400000000034,78.9990000000007,61.42399999999998,60.91100000000097,92.13900000000012,69.85700000000088,
38.0,0.0,9.777000000000044,8.611000000000786,10.522000000000844,18.32799999999952,38.5619999999999,36.16100000000006,36.66899999999987,42.79500000000007,55.95800000000054,72.28900000000067,37.15600000000086,55.38199999999961,77.19200000000092,79.77100000000064,62.740999999999985,64.29500000000007,92.94800000000032,71.35100000000057,
39.0,0.0,9.813000000000102,9.048999999999069,10.664999999999054,19.05199999999968,39.32499999999891,37.47699999999895,37.975000000000364,44.01599999999962,57.45299999999952,73.04799999999886,38.83599999999933,57.03299999999945,78.17900000000009,81.02099999999882,64.15899999999965,71.31499999999869,97.80500000000029,92.46899999999914,
40.0,0.0,9.538000000000466,9.270000000000437,10.49200000000019,19.395000000000437,40.082000000000335,38.14799999999923,38.83499999999913,44.725000000000364,59.41399999999885,73.42000000000007,39.788000000000466,58.771999999999025,78.68399999999929,81.66799999999967,65.32999999999993,91.78399999999965,98.60000000000036,,
41.0,0.0,10.477999999999156,10.22899999999936,11.22400000000016,20.229999999999563,41.80400000000009,39.04399999999987,39.617999999998574,45.7609999999986,60.83799999999974,74.05799999999908,48.52899999999863,60.172999999998865,79.5049999999992,82.23499999999876,66.46699999999873,92.39999999999964,99.14899999999943,,
42.0,0.0,11.105000000001382,10.796000000000276,11.760000000000218,20.653000000000247,42.108000000000175,39.840000000000146,40.32900000000154,46.25200000000041,61.79000000000087,74.26700000000164,76.21000000000095,61.43700000000172,80.26400000000103,82.74800000000141,67.62200000000121,92.59000000000015,99.51500000000124,,
