,PER,VER,ALO,RUS,HAM,SAI,LEC,OCO,GAS,MAG,TSU,HUL,ZHO,DEV,PIA,SAR,NOR,BOT,ALB,STR
38.0,0.0,5.3049999999993815,19.045999999999367,23.154999999999745,26.121000000000095,30.256999999999607,32.626000000000204,40.10699999999997,42.289999999999964,48.563999999999396,48.01599999999962,53.159999999999854,56.724999999999454,57.6929999999993,60.27099999999973,57.33899999999994,58.706999999999425,89.90799999999945,,
39.0,0.0,4.54700000000048,19.105000000000473,23.520000000000437,26.314000000000306,30.532000000000153,32.914999999999964,40.95600000000013,43.02900000000045,49.5630000000001,49.17900000000009,54.233000000000175,58.181000000000495,60.271999999999935,62.029999999999745,59.86700000000019,60.574000000000524,92.0659999999998,,
40.0,0.0,4.32300000000032,19.043000000000575,24.149000000000342,26.990999999999985,31.105000000000473,33.65400000000045,41.952000000000226,44.3090000000002,52.18199999999979,50.72200000000066,55.76800000000003,60.11499999999978,62.53300000000036,63.628999999999905,62.21700000000055,63.293000000000575,95.71000000000004,,
41.0,0.0,4.323999999999614,19.532999999999447,24.50999999999931,27.573999999999614,31.878999999999905,34.17199999999957,43.22999999999956,45.500999999999294,53.8149999999996,52.40099999999984,57.177999999999884,61.84099999999944,65.21499999999924,66.29299999999967,65.55399999999918,65.625,99.77299999999923,,
42.0,0.0,4.363000000000284,20.453999999999724,25.315999999999804,28.653000000000247,33.07600000000002,35.32099999999991,44.95899999999983,47.22599999999966,55.33299999999963,54.22199999999975,59.29399999999987,64.43099999999959,67.94800000000032,70.00900000000001,69.23899999999958,69.57300000000032,102.86300000000028,,
43.0,0.0,4.398000000000138,21.353000000000065,26.09100000000035,29.355999999999767,34.055999999999585,36.460000000000036,46.547999999999774,48.943999999999505,57.13299999999981,55.90300000000025,61.373999999999796,66.63699999999972,69.85999999999967,72.95799999999963,72.15999999999985,72.49299999999948,105.84299999999985,,
44.0,0.0,4.979000000000269,22.275000000000546,27.067000000000007,30.188000000000102,35.146999999999935,37.51500000000033,48.1220000000003,50.80799999999999,58.23999999999978,57.82499999999982,63.275000000000546,68.99200000000019,71.6289999999999,75.55199999999968,74.79799999999977,75.74499999999989,108.58000000000084,,
45.0,0.0,5.528000000000247,22.930999999999585,27.5649999999996,30.82299999999941,36.24000000000069,38.33399999999983,49.51800000000094,52.20899999999983,59.95500000000084,60.00500000000011,65.6780000000008,71.11400000000049,73.33600000000024,78.75800000000072,77.50900000000092,78.19700000000103,111.38799999999992,,
46.0,0.0,5.743000000000393,22.97700000000077,27.613999999999578,31.20600000000013,36.45600000000013,38.81999999999971,50.560999999999694,53.34400000000096,62.35100000000057,64.07400000000052,67.22600000000057,72.71900000000096,74.53800000000047,80.29199999999946,79.14500000000044,79.79600000000028,113.73799999999937,,
47.0,0.0,6.085999999999331,22.96899999999914,27.61999999999898,31.252000000000407,36.689000000000306,38.98099999999977,51.66400000000067,54.259000000000015,63.28900000000067,65.46099999999933,68.7569999999996,74.003999999999,75.82599999999911,81.90599999999904,81.14600000000064,81.71899999999914,117.53700000000026,,
