,VER,HAM,ALO,STR,PER,NOR,HUL,PIA,ZHO,TSU,BOT,SAI,GAS,OCO,DEV,SAR,MAG,RUS,ALB,LEC
30.0,0.0,8.14599999999973,9.617999999999483,13.216999999999643,20.92999999999938,17.26800000000003,15.844000000000051,30.62199999999939,32.44599999999991,32.009000000000015,44.659999999999854,11.9399999999996,12.706000000000131,26.701000000000022,49.37299999999959,42.40399999999954,33.03600000000006,,,
31.0,0.0,8.342000000000553,10.050000000000182,13.262000000000626,20.717999999999847,17.58300000000054,16.217000000000553,31.26000000000022,34.89000000000033,33.81600000000071,46.00200000000041,11.770000000000437,12.64600000000064,26.704000000000633,51.6820000000007,44.539999999999964,35.15800000000036,,,
32.0,0.0,8.880999999999403,10.135999999999513,13.423999999999978,20.161999999999352,17.730999999999767,16.292999999999665,32.103000000000065,35.90299999999934,35.04999999999927,47.58299999999963,11.743999999999687,12.580999999999221,26.732999999999265,54.027000000000044,46.52399999999943,36.67999999999938,,,
33.0,0.0,8.71600000000035,10.307999999999993,13.581000000000131,20.150000000000546,18.192000000000007,16.217999999999847,32.715000000000146,36.860999999999876,36.29899999999998,49.48000000000047,11.694999999999709,12.568000000000211,27.002000000000407,56.19999999999982,49.082000000000335,37.45300000000043,,,
34.0,0.0,8.795000000000073,10.43499999999949,13.917999999999665,20.162999999999556,18.591999999999643,16.51599999999962,33.32499999999982,38.460000000000036,38.33899999999994,51.35099999999966,11.677999999999884,12.449999999999818,26.89599999999973,58.4399999999996,51.03600000000006,38.85400000000027,,,
35.0,0.0,8.945999999999913,10.481999999999971,14.30200000000059,20.718000000000757,19.057999999999993,17.076000000000022,34.11500000000069,40.44599999999991,42.13500000000022,52.71900000000005,11.689000000000306,12.611000000000786,27.286000000000058,61.387000000000626,54.22900000000027,41.332000000000335,,,
36.0,0.0,9.294000000000779,10.437000000000808,14.618000000000393,21.045000000000073,19.416000000000167,17.485000000000582,34.85600000000068,42.83100000000013,43.71300000000065,53.81800000000021,11.652000000000044,12.563000000000102,28.326000000000022,64.0530000000008,71.8100000000004,42.40700000000015,,,
37.0,0.0,9.291000000000167,10.606999999999971,15.51299999999992,21.45600000000013,20.167999999999665,18.051000000000386,35.79899999999998,44.650000000000546,45.39400000000023,55.4350000000004,11.908000000000357,12.908000000000357,28.877000000000407,66.80500000000029,80.0640000000003,44.21600000000035,,,
38.0,0.0,9.664999999999964,11.003999999999905,15.644999999999527,21.83799999999883,20.704999999999018,18.928999999999178,36.79599999999937,46.2480000000005,47.13200000000052,56.889000000000124,12.140999999999622,13.014000000000124,29.42700000000059,69.61699999999928,83.14100000000053,45.54399999999896,,,
39.0,0.0,9.402000000000044,11.079999999999927,15.75799999999981,21.977999999999156,20.78399999999965,19.20299999999952,37.72999999999956,47.134000000000015,48.74699999999939,58.32999999999993,12.414999999999054,13.259000000000015,29.59900000000016,71.98599999999897,84.44999999999891,46.44999999999891,,,
