,VER,ALO,GAS,PER,SAI,HAM,NOR,ALB,PIA,OCO,STR,HUL,LAW,BOT,TSU,MAG,RUS,ZHO,LEC,SAR
11.0,5.9650000000001455,32.220000000000255,15.542000000000371,0.0,36.94800000000032,67.21399999999994,53.29600000000028,49.04399999999987,47.67500000000018,47.6279999999997,88.8710000000001,60.30699999999979,70.50500000000011,57.29899999999998,46.610999999999876,43.15800000000036,76.19200000000001,35.31999999999971,28.18199999999979,93.67600000000039
12.0,15.55999999999949,21.75999999999931,25.238999999999578,0.0,26.505999999999403,57.37199999999939,41.51099999999951,37.706999999999425,36.33599999999933,37.23499999999967,78.01699999999983,49.47399999999925,60.899999999999636,47.766999999999825,36.384000000000015,33.13799999999992,65.65699999999924,26.514000000000124,46.9429999999993,83.92499999999927
13.0,0.0,5.0679999999993015,8.054999999999382,3.839999999999236,8.643000000000029,39.92399999999998,23.375999999999294,20.453999999999724,18.534999999999854,19.995999999999185,61.972999999999956,32.779999999999745,44.99499999999989,31.529999999999745,19.857999999999265,16.76599999999962,48.37199999999939,10.786000000000058,30.756999999999607,66.98899999999958
14.0,0.0,4.931000000000495,7.706000000000131,3.1660000000001673,7.875,38.79400000000078,22.056000000000495,20.21900000000005,17.02600000000075,19.66700000000037,62.53700000000026,33.06800000000021,45.70600000000013,31.847000000000662,19.527000000000044,16.972999999999956,47.926000000000386,11.25500000000011,31.04400000000078,67.26299999999992
15.0,0.0,5.416000000000167,7.76299999999992,3.3170000000000073,8.070999999999913,37.76900000000023,22.05500000000029,20.83299999999963,22.801000000000386,20.710000000000036,64.12700000000041,33.427999999999884,46.248999999999796,32.02400000000034,21.75799999999981,18.38799999999992,47.402000000000044,12.164999999999964,31.734999999999673,3978.192000000001
16.0,0.0,6.3159999999998035,7.425000000000182,2.181999999999789,9.454999999999927,49.86800000000039,34.58300000000054,28.442000000000007,55.09900000000016,30.09900000000016,90.91600000000017,47.70600000000013,65.51900000000023,46.63000000000011,31.850000000000364,25.73199999999997,68.38100000000031,14.109999999999673,42.1279999999997,
17.0,0.0,2.3969999999999345,4.601999999999862,1.0139999999992142,5.734999999999673,39.98899999999958,25.143999999999323,18.96099999999933,45.69599999999991,20.59399999999914,96.30499999999938,53.38999999999942,57.896999999999935,52.177999999999884,22.068999999999505,15.65099999999984,72.42599999999948,7.532999999999447,33.7559999999994,
18.0,0.0,2.4359999999996944,4.067000000000007,1.0670000000000073,4.787000000000262,13.600000000000364,11.073999999999614,7.854999999999563,14.960000000000036,8.828999999999724,52.32600000000002,18.014000000000124,39.3779999999997,16.15399999999954,10.051000000000386,6.891999999999825,28.743000000000393,5.75,12.222999999999956,
19.0,0.0,1.668999999999869,3.8989999999994325,0.4969999999993888,5.375999999999294,16.396999999999935,12.603000000000065,8.05199999999968,18.699999999999818,9.344999999999345,28.966999999999643,22.047999999999774,27.942000000000007,20.591999999999643,11.188999999999396,7.319999999999709,24.423999999999978,6.253999999999905,15.396999999999935,
20.0,0.0,2.4549999999999272,4.371000000000095,1.2409999999999854,6.032000000000153,15.889000000000124,13.199000000000524,9.429000000000087,16.45600000000013,10.597999999999956,23.595000000000255,18.213999999999942,22.777000000000044,17.623999999999796,11.682999999999993,8.472999999999956,20.44300000000021,7.092999999999847,14.27599999999984,
21.0,0.0,0.7179999999998472,1.2100000000000364,0.545999999999367,1.2379999999993743,5.158999999999651,4.03899999999976,2.9830000000001746,5.617999999999483,3.2910000000001673,9.416999999999462,7.606999999999971,9.157999999999447,6.135000000000218,3.850999999999658,2.9299999999993815,8.425999999999476,2.5799999999999272,4.318999999999505,
22.0,0.0,1.8950000000004366,2.3820000000005166,1.230000000000473,2.6530000000002474,7.997000000000298,6.7940000000007785,5.330000000000837,9.595000000000255,6.006000000000313,12.105000000000473,9.878000000000611,11.3700000000008,8.626000000000204,6.628000000000611,5.287000000000262,10.628000000000611,4.5590000000001965,7.386000000000422,
23.0,0.0,2.4909999999999854,3.1510000000007494,1.5960000000004584,3.782000000000153,10.19800000000032,9.15100000000075,6.288000000000466,11.270000000000437,7.780000000000655,13.959000000000742,11.855000000000473,13.639000000000124,10.564000000000306,8.359000000000378,7.554000000000087,12.417000000000371,5.824000000000524,9.568000000000211,
24.0,0.0,2.8909999999996217,3.6340000000000146,1.6130000000002838,4.337000000000444,12.02599999999984,10.78399999999965,7.545000000000073,12.890000000000327,8.739999999999782,15.542999999999665,13.45300000000043,15.481999999999971,12.684000000000196,10.042000000000371,9.635000000000218,13.970000000000255,7.3530000000000655,11.554000000000087,
25.0,0.0,3.280999999999949,4.347000000000662,2.1240000000007058,4.990000000000691,13.963999999999942,12.483000000000175,8.109000000000378,14.626000000000204,9.811000000000604,16.890000000000327,15.382000000000517,17.958999999999833,14.856999999999971,11.592000000000553,11.320000000000618,16.189000000000306,9.44000000000051,13.753000000000611,
26.0,0.0,3.506999999999607,5.0679999999993015,2.844999999999345,6.206000000000131,14.547999999999774,13.719999999999345,8.84099999999944,16.521999999999935,11.192000000000007,18.797999999999774,17.798999999999978,20.042999999999665,17.670000000000073,12.863999999999578,12.661000000000058,18.40399999999954,10.961999999999534,17.139999999999418,
27.0,0.0,3.7700000000004366,5.775000000000546,3.123000000000502,7.144000000000233,15.541000000000167,14.83600000000024,9.91399999999976,17.493999999999687,11.85400000000027,21.074000000000524,19.306000000000495,21.916000000000167,19.795000000000073,14.126000000000204,14.712999999999738,20.394000000000233,12.980999999999767,19.016999999999825,
28.0,0.0,4.644000000000233,6.177000000000589,3.4010000000007494,7.789000000000669,17.38500000000022,15.918999999999869,10.86700000000019,18.927999999999884,12.996000000000095,23.124000000000706,21.356000000000677,23.942000000000007,21.765000000000327,15.279000000000451,17.389000000000124,22.345000000000255,14.618000000000393,20.949000000000524,
29.0,0.0,5.6030000000000655,6.889999999999418,3.655999999999949,8.631999999999607,18.30499999999938,17.652000000000044,11.792999999999665,20.354999999999563,14.193999999999505,25.317000000000007,23.27899999999954,26.161000000000058,24.05499999999938,16.362999999999374,20.136999999999716,24.563999999999396,15.956999999999425,22.992999999999483,
30.0,0.0,6.014000000000124,7.475000000000364,3.722000000000662,9.16400000000067,19.19500000000062,18.514000000000124,12.6850000000004,21.485000000000582,15.028000000000247,27.39100000000053,24.77600000000075,28.384000000000015,26.26000000000022,17.713999999999942,21.91899999999987,26.82800000000043,17.432999999999993,26.0570000000007,
31.0,0.0,6.549999999999272,7.981999999999971,3.857999999999265,9.657000000000153,20.626999999999498,19.96599999999944,13.298999999999978,22.555999999999585,15.93499999999949,29.518999999999323,26.72899999999936,30.40599999999995,28.449999999999818,19.289999999999964,23.8149999999996,28.818999999999505,19.797999999999774,28.05699999999979,
32.0,0.0,7.417999999999665,8.934000000000196,4.207999999999629,10.34900000000016,22.430999999999585,20.967999999999847,14.033000000000357,23.52300000000014,16.92199999999957,31.539999999999964,28.256000000000313,32.25799999999981,30.465000000000146,20.554000000000087,25.363000000000284,30.93000000000029,22.40599999999995,30.074999999999818,
33.0,0.0,7.918000000000575,9.564000000000306,4.481000000000677,11.238000000000284,23.561999999999898,21.999000000000706,15.027000000000044,25.014000000000124,17.802999999999884,33.98400000000038,29.762000000000626,34.46300000000065,32.24200000000019,21.626000000000204,27.056000000000495,32.6190000000006,24.894000000000233,32.01000000000022,
34.0,0.0,8.459000000000742,10.351000000000568,4.58600000000024,12.11200000000008,24.152000000000044,23.26800000000003,16.132000000000517,26.65599999999995,18.83600000000024,39.43000000000029,31.432999999999993,36.96900000000005,35.29100000000017,22.75,28.824000000000524,34.650000000000546,27.204999999999927,34.400000000000546,
35.0,0.0,8.873999999999796,10.905999999999949,4.82799999999952,12.877999999999702,24.872999999999593,24.024999999999636,17.06800000000021,27.511999999999716,19.8149999999996,58.746000000000095,33.149999999999636,39.27099999999973,38.10899999999947,23.728000000000065,33.85699999999997,36.81800000000021,28.889000000000124,37.159999999999854,
36.0,0.0,9.228000000000065,11.520000000000437,5.389000000000124,13.774000000000342,26.149000000000342,25.409999999999854,18.09900000000016,28.72400000000016,20.93000000000029,59.039999999999964,34.552999999999884,41.27800000000025,40.634000000000015,25.15099999999984,55.20499999999993,37.681000000000495,30.470000000000255,39.875,
37.0,0.0,9.734999999999673,12.215000000000146,5.831000000000131,14.579999999999927,27.51000000000022,26.71600000000035,19.09900000000016,29.592999999999847,21.878999999999905,59.04399999999987,35.93499999999949,43.48399999999947,42.35499999999956,26.341999999999643,55.527000000000044,38.56700000000001,35.110999999999876,42.16200000000026,
38.0,0.0,10.5,12.770000000000437,6.199999999999818,15.470000000000255,28.83100000000013,28.087999999999738,20.22400000000016,30.74499999999989,23.024999999999636,59.57800000000043,37.41899999999987,45.94200000000001,43.860999999999876,27.6899999999996,56.98999999999978,39.41100000000006,55.6880000000001,45.564000000000306,
39.0,0.0,10.918999999999869,13.216999999999643,6.467999999999847,16.353000000000065,30.157000000000153,29.527999999999338,21.25,32.04599999999937,24.699999999999818,59.79399999999987,39.0659999999998,48.625,45.123999999999796,29.02599999999984,58.13799999999992,40.57299999999941,55.91199999999935,48.24499999999989,
40.0,0.0,11.364000000000487,13.739000000000487,7.011999999999716,17.528000000000247,31.557999999999993,30.743000000000393,22.324999999999818,33.09900000000016,26.09400000000005,60.038000000000466,40.5630000000001,51.1850000000004,46.503999999999905,30.364000000000487,59.46399999999994,41.00300000000061,56.90700000000015,51.20899999999983,
41.0,0.0,11.800999999999476,14.194999999999709,7.251999999999498,21.732999999999265,32.6909999999998,31.998999999999796,23.5029999999997,34.5679999999993,27.458999999999833,60.573999999999614,42.386999999999716,54.76599999999962,47.90299999999934,31.497999999999593,60.402000000000044,42.003999999999905,57.844999999999345,59.5649999999996,
42.0,0.0,12.154000000000451,14.666000000000167,7.7409999999999854,39.922999999999774,33.9409999999998,36.83100000000013,24.4399999999996,35.4380000000001,28.935999999999694,61.04399999999987,44.663000000000466,56.5630000000001,49.064000000000306,32.685999999999694,62.475000000000364,42.85999999999967,58.628999999999905,,
43.0,0.0,12.61700000000019,14.931999999999789,8.15099999999984,39.53200000000015,34.30400000000009,53.503999999999905,25.438000000000102,36.371000000000095,34.113000000000284,61.490999999999985,46.136999999999716,58.1220000000003,50.47199999999975,33.82600000000002,63.501000000000204,43.35099999999966,59.38600000000042,,
44.0,0.0,12.639000000000124,15.088000000000648,8.280000000000655,38.90099999999984,35.21100000000024,52.8159999999998,29.715000000000146,36.98900000000049,51.52000000000044,61.80200000000059,47.13100000000031,59.503999999999905,51.512000000000626,34.8130000000001,64.16700000000037,43.41700000000037,59.672999999999774,,
45.0,0.0,12.817000000000007,15.287000000000262,11.376000000000204,38.4350000000004,39.48400000000038,53.03600000000006,48.4399999999996,38.09199999999964,51.61800000000039,62.35900000000038,48.30000000000018,61.96600000000035,53.95300000000043,35.86499999999978,65.19700000000012,43.323999999999614,60.2529999999997,,
