,VER,HAM,LEC,SAI,NOR,RUS,RIC,PIA,ALB,OCO,GAS,TSU,HUL,ZHO,BOT,SAR,STR,ALO,MAG,PER
13.0,0.0,8.36700000000019,3.7020000000002256,6.696000000000822,46.04500000000007,12.988000000000284,10.164999999999964,11.865000000000691,22.814000000000306,31.44500000000062,20.947000000000116,47.889000000000124,20.061000000000604,22.01800000000003,23.76000000000022,27.164999999999964,28.914999999999964,30.769000000000233,24.743000000000393,
14.0,0.0,8.510999999999513,4.326999999999316,7.072000000000116,45.550999999999476,13.940999999999804,10.497999999999593,12.30999999999949,24.567000000000007,33.03699999999935,22.25500000000011,47.32099999999991,21.628999999999905,23.925000000000182,25.42699999999968,28.506999999999607,30.248999999999796,32.2529999999997,26.247999999999593,
15.0,0.0,8.627999999999702,4.45299999999952,7.55199999999968,45.1309999999994,14.61700000000019,10.899999999999636,12.98700000000008,26.024999999999636,34.63799999999992,23.65099999999984,47.10599999999977,23.042999999999665,26.85199999999986,27.661000000000058,29.947000000000116,31.81999999999971,33.86799999999948,28.304000000000087,
16.0,0.0,8.983000000000175,4.420000000000073,8.018000000000029,45.077000000000226,16.22400000000016,11.563000000000102,13.78399999999965,27.97099999999955,36.875,25.186999999999898,47.05799999999999,24.73700000000008,28.873999999999796,29.73399999999947,31.635999999999513,33.55999999999949,35.79199999999946,30.466999999999643,
17.0,0.0,9.703999999999724,4.424999999999272,8.46099999999933,45.04399999999987,17.081999999999425,12.229999999999563,14.558999999999287,29.548999999999978,38.55399999999918,26.873999999999796,47.274999999999636,26.079999999999927,30.54399999999987,31.3799999999992,33.27399999999943,35.41999999999916,37.63299999999981,32.352999999999156,
18.0,0.0,9.884000000000015,4.666999999999462,8.94800000000032,44.83600000000024,17.461999999999534,12.86200000000008,15.326000000000022,31.16399999999976,40.599999999999454,28.365999999999985,47.27099999999973,27.47099999999955,32.172999999999774,32.91200000000026,34.77099999999973,37.24200000000019,39.42199999999957,34.16200000000026,
19.0,0.0,7.399000000000342,1.7359999999998763,6.770000000000437,41.72599999999966,14.92200000000048,10.627000000000407,13.100000000000364,29.796000000000276,38.70399999999972,26.66700000000037,44.22599999999966,25.813000000000102,30.53399999999965,31.53899999999976,33.55000000000018,35.67900000000009,37.6850000000004,33.00500000000011,
20.0,15.989000000000487,6.347999999999956,0.0,5.640000000000327,40.32600000000002,13.761000000000422,9.71600000000035,12.235999999999876,29.96100000000024,38.48700000000008,26.213999999999942,42.75200000000041,25.394000000000233,30.73999999999978,31.399000000000342,34.21100000000024,35.66600000000017,37.564000000000306,33.322000000000116,
21.0,15.180000000000291,7.068000000000211,0.0,6.2960000000002765,41.930999999999585,14.498999999999796,10.5,13.011999999999716,31.605999999999767,41.49499999999989,27.493999999999687,43.28600000000006,26.64599999999973,35.92199999999957,33.323999999999614,35.978000000000065,37.53299999999945,40.753999999999905,35.24299999999948,
22.0,14.135999999999513,7.981999999999971,0.0,6.652000000000044,43.42699999999968,16.090000000000146,11.333999999999833,13.606999999999971,33.09400000000005,44.55400000000009,28.914999999999964,44.88599999999951,28.04399999999987,54.21799999999985,34.11999999999989,41.0649999999996,39.13499999999931,43.02899999999954,37.05699999999979,
