,VER,PIA,NOR,RUS,LEC,ALO,OCO,BOT,ZHO,PER,STR,GAS,ALB,MAG,TSU,HUL,LAW,SAR,HAM,55
13.0,0.0,32.197000000000116,13.868999999999687,17.554000000000087,35.3779999999997,34.44999999999982,39.100000000000364,26.894000000000233,24.176000000000386,24.73700000000008,27.753999999999905,40.983000000000175,20.985999999999876,30.97400000000016,43.806000000000495,24.52099999999973,32.10599999999977,27.66899999999987,,
14.0,0.0,33.34599999999955,37.52399999999943,20.677999999999884,35.61699999999928,34.68399999999929,39.40699999999924,28.21599999999944,25.2529999999997,25.80999999999949,30.00999999999931,40.83299999999963,21.497999999999593,33.271999999999935,44.46699999999964,60.39399999999932,34.31299999999919,52.24399999999969,,
15.0,0.0,33.310999999999694,37.983000000000175,44.10900000000038,37.490999999999985,35.86400000000049,40.001000000000204,30.478000000000065,27.70600000000013,25.978000000000065,31.9350000000004,40.85999999999967,22.19300000000021,35.564000000000306,45.914999999999964,61.38200000000052,37.25600000000031,52.53099999999995,,
16.0,0.0,34.53600000000006,39.95499999999993,44.884000000000015,39.63200000000052,36.90400000000045,41.771999999999935,32.66899999999987,29.733000000000175,26.636000000000422,34.11999999999989,42.426000000000386,23.319000000000415,39.51900000000023,47.623999999999796,62.0659999999998,41.248999999999796,54.077000000000226,,
17.0,0.0,31.338999999999942,36.66700000000037,41.64000000000033,36.20499999999993,33.6220000000003,39.32499999999982,30.726000000000568,27.439000000000306,27.006000000000313,32.89800000000014,40.85199999999986,20.057999999999993,38.96100000000024,45.17500000000018,58.58399999999983,40.5029999999997,50.92700000000059,,
18.0,0.0,8.186999999999898,14.90899999999965,20.496000000000095,14.420000000000073,11.844999999999345,17.206999999999425,10.237999999999374,9.782000000000153,27.372999999999593,11.846999999999753,18.975999999999658,1.3130000000001019,18.722999999999956,23.587999999999738,35.03399999999965,20.117999999999483,28.847999999999956,,
19.0,0.0,7.698999999999614,14.851999999999862,20.26000000000022,15.858000000000175,11.980999999999767,17.50799999999981,11.604999999999563,33.4369999999999,26.777999999999338,13.304000000000087,19.006999999999607,26.514999999999418,21.79399999999987,24.561999999999898,34.78899999999976,22.320999999999913,29.43199999999979,,
20.0,0.0,7.451000000000022,15.587000000000444,20.425000000000182,17.069000000000415,11.9350000000004,18.541000000000167,13.782000000000153,33.68199999999979,26.64300000000003,15.199999999999818,19.826000000000022,28.22699999999986,23.60199999999986,26.2470000000003,36.14099999999962,24.47400000000016,30.44800000000032,,
21.0,0.0,7.552999999999884,16.650000000000546,22.090000000000146,18.717000000000553,12.396999999999935,19.965000000000146,19.980000000000473,34.77900000000045,27.35400000000027,22.31800000000021,21.319000000000415,29.325000000000728,29.545000000000073,28.819000000000415,37.22900000000027,31.274000000000342,32.38300000000072,,
22.0,0.0,7.818999999999505,16.36700000000019,22.79399999999987,19.32300000000032,12.845999999999549,21.126999999999498,44.912999999999556,35.63100000000031,26.74200000000019,46.404999999999745,22.25,31.346999999999753,54.67900000000009,34.4340000000002,38.210000000000036,57.08799999999974,34.16399999999976,,
23.0,0.0,8.11200000000008,16.51000000000022,23.137000000000626,20.08100000000013,13.720000000000255,22.08600000000024,45.67900000000009,36.301000000000386,26.538000000000466,47.03600000000006,24.030000000000655,32.517000000000735,56.21700000000055,58.22700000000077,39.35500000000047,59.57600000000002,35.57099999999991,,
24.0,0.0,8.22400000000016,16.546000000000276,23.74200000000019,20.817000000000007,14.47900000000027,22.98999999999978,46.39099999999962,37.72900000000027,26.993000000000393,47.64000000000033,25.194000000000415,33.00799999999981,57.38600000000042,59.15099999999984,40.439000000000306,61.42399999999998,37.12700000000041,,
25.0,0.0,12.488000000000284,16.606000000000677,24.62800000000061,26.614000000000487,14.960000000000036,28.124000000000706,46.94100000000071,39.34900000000016,27.770000000000437,48.03200000000015,25.98400000000038,33.59100000000035,58.33800000000065,59.814000000000306,41.517000000000735,62.75800000000072,38.884000000000015,,
26.0,0.0,36.025000000000546,16.661000000000058,23.97400000000016,50.663000000000466,19.731000000000677,53.181000000000495,47.55300000000079,39.82900000000063,28.39300000000003,48.56800000000021,30.86500000000069,34.32500000000073,58.9320000000007,60.449000000000524,42.70000000000073,64.30100000000039,45.70400000000063,,
27.0,0.0,35.57799999999952,20.037999999999556,23.579999999999927,51.0059999999994,43.246000000000095,54.06800000000021,47.667999999999665,40.597999999999956,28.560999999999694,48.89800000000014,56.91399999999976,34.76999999999953,60.123999999999796,61.1279999999997,48.94499999999971,65.6899999999996,71.36599999999999,,
28.0,0.0,35.97099999999955,42.34099999999944,23.167999999999665,50.96799999999985,43.14799999999923,54.302999999999884,47.875,40.88299999999981,28.945999999999913,49.149999999999636,56.75799999999981,35.490999999999985,61.085000000000036,61.839999999999236,72.13999999999942,66.83599999999933,72.9429999999993,,
29.0,0.0,35.42699999999968,41.827000000000226,22.79399999999987,50.86399999999958,43.46600000000035,54.603000000000065,48.00799999999981,41.29200000000037,29.675999999999476,50.16200000000026,56.55199999999968,37.55199999999968,62.33100000000013,62.92100000000028,72.42299999999977,67.98999999999978,73.64599999999973,,
