,VER,NOR,PER,HAM,PIA,RUS,LEC,SAI,ALO,STR,ALB,BOT,RIC,HUL,TSU,ZHO,MAG,SAR,OCO,GAS
45.0,0.0,40.113000000000284,48.05200000000059,32.64000000000033,47.14800000000014,55.17100000000028,65.80299999999988,69.83500000000004,78.01299999999992,80.17600000000039,90.0600000000004,90.9409999999998,93.3110000000006,97.49200000000019,107.27199999999993,108.5659999999998,119.77199999999993,100.97100000000046,,
46.0,0.0,38.69000000000051,47.11899999999969,33.25200000000041,46.72100000000046,56.95300000000043,65.16300000000047,69.4930000000004,77.66700000000037,80.3789999999999,91.02900000000045,91.50700000000052,93.90700000000015,98.08600000000024,107.69300000000021,109.79299999999967,120.30299999999988,101.74200000000019,,
47.0,0.0,37.65399999999954,46.38299999999981,33.84599999999955,48.28200000000015,73.30500000000029,64.375,69.06800000000021,78.16899999999987,81.0039999999999,91.5590000000002,92.32200000000012,94.72800000000007,98.63400000000001,108.15200000000004,110.88100000000031,123.34099999999944,102.43099999999959,,
48.0,0.0,36.68499999999949,45.48399999999947,34.84900000000016,49.310999999999694,71.97599999999966,63.46100000000024,68.67699999999968,77.7510000000002,81.30299999999988,92.57700000000023,93.13699999999972,95.73700000000008,99.22400000000016,108.5649999999996,111.48799999999937,123.79599999999937,102.96699999999964,,
49.0,0.0,35.6899999999996,44.04199999999946,38.04399999999987,48.88999999999942,70.73299999999927,62.1899999999996,67.74299999999948,76.92099999999937,81.24399999999969,93.07200000000012,93.60699999999997,96.01199999999972,99.72800000000007,108.78099999999995,111.91899999999987,124.08399999999983,103.28600000000006,,
50.0,0.0,34.08600000000024,42.66600000000017,56.00800000000072,48.25800000000072,69.28900000000067,60.87700000000041,66.73800000000028,76.10200000000077,81.16500000000087,93.53600000000006,94.3130000000001,96.53200000000015,100.41800000000057,108.95200000000023,112.52000000000044,124.60100000000057,103.40000000000055,,
51.0,0.0,30.670000000000073,39.31600000000071,52.40900000000056,45.353000000000065,65.43000000000029,57.19600000000082,63.246000000000095,72.63700000000063,78.4340000000002,91.40400000000045,91.91300000000047,94.4340000000002,98.59000000000015,107.08700000000044,111.04400000000078,124.38200000000052,103.70800000000054,,
52.0,0.0,11.000999999999294,19.50999999999931,32.07099999999991,26.08599999999933,45.31299999999919,37.16599999999926,43.18399999999929,52.67099999999937,59.60199999999895,72.73400000000038,73.2489999999998,76.1299999999992,79.97699999999895,88.28700000000026,92.78799999999865,105.65300000000025,84.99499999999898,,
53.0,0.0,13.872000000001208,21.301000000001295,33.650000000001455,29.040000000000873,47.4369999999999,39.533000000001266,45.48700000000099,55.158000000001266,62.89800000000105,76.57200000000012,77.05400000000009,79.82700000000114,86.19300000000112,92.02100000000064,99.16300000000047,109.28499999999985,88.71200000000135,,
54.0,0.0,13.183999999999287,19.77599999999984,31.315999999998894,28.39300000000003,46.15899999999965,38.41199999999844,44.1359999999986,54.115999999999985,62.38799999999901,76.6880000000001,77.20899999999892,79.88299999999981,86.83699999999953,91.97199999999975,99.96199999999953,109.21399999999994,89.00299999999879,,
55.0,0.0,13.042999999999665,19.402000000000044,30.671000000000276,29.32799999999952,46.22999999999956,38.23699999999917,44.123999999999796,54.11099999999897,63.61099999999897,77.89499999999862,78.45899999999892,81.38899999999921,88.41599999999926,93.02800000000025,103.80400000000009,110.78099999999904,90.20799999999872,,
56.0,0.0,13.371999999999389,20.307999999999083,31.079999999999927,30.641999999999825,46.45999999999913,38.65299999999843,44.36899999999878,54.58799999999974,65.18099999999868,79.48799999999937,80.35499999999956,85.54999999999927,90.25,94.42699999999968,105.8819999999996,112.67199999999866,91.91899999999987,,
57.0,0.0,14.101999999998952,20.36700000000019,31.748999999999796,33.564000000000306,47.245999999999185,39.83300000000054,45.30400000000009,55.177999999999884,66.61099999999897,81.2569999999996,83.3119999999999,87.23799999999937,92.32599999999911,96.39799999999923,108.15699999999924,118.80299999999988,93.88999999999942,,
58.0,0.0,15.070999999999913,20.030000000000655,32.17200000000048,35.37800000000061,48.175999999999476,40.81800000000112,46.25799999999981,55.5580000000009,67.85599999999977,84.5059999999994,85.40999999999985,88.7489999999998,94.47999999999956,98.03700000000026,110.10699999999997,121.32500000000073,96.0010000000002,,
59.0,0.0,17.164999999999054,20.719999999999345,32.888999999999214,37.245999999999185,49.59099999999853,42.607999999998356,47.58099999999831,56.706999999998516,69.75900000000001,86.80099999999948,87.33799999999974,90.95899999999892,96.97099999999955,102.3869999999988,112.44499999999971,123.92399999999907,98.2489999999998,,
60.0,0.0,19.0679999999993,22.260999999998603,33.30499999999847,39.344999999999345,51.526999999998225,44.47199999999975,49.732999999998356,58.347999999999956,71.84099999999853,89.59999999999854,91.10399999999936,93.8179999999993,99.91599999999926,106.85099999999875,116.72599999999875,129.99599999999919,101.65799999999945,,
61.0,0.0,20.98999999999978,24.603000000000975,33.91200000000026,41.572000000000116,53.63800000000083,46.61700000000019,51.71800000000076,60.022000000000844,74.35599999999977,92.35699999999997,93.89500000000044,96.82999999999993,103.15200000000004,109.76500000000124,119.26599999999962,133.00500000000102,106.42500000000109,,
62.0,0.0,23.174999999999272,26.58100000000013,34.274999999999636,43.680999999998676,55.27299999999923,48.09299999999894,53.73699999999917,61.53799999999865,76.72299999999996,94.92799999999988,96.25799999999981,99.33499999999913,107.80799999999908,112.38500000000022,121.86499999999978,135.80599999999868,111.36099999999897,,
63.0,0.0,24.811999999999898,28.622000000001208,34.94200000000092,45.80400000000009,56.45800000000054,49.89300000000003,55.8070000000007,63.21700000000055,79.07600000000093,97.36599999999999,98.61100000000079,101.73400000000038,111.26400000000103,115.19599999999991,124.57999999999993,138.47199999999975,114.09500000000116,,
64.0,0.0,25.764999999999418,29.703999999999724,35.0719999999983,47.49699999999939,58.05899999999929,51.74799999999959,57.97599999999875,64.5669999999991,80.9409999999989,99.3109999999997,100.72499999999854,103.74399999999878,115.62199999999939,118.73599999999897,127.25299999999879,145.02799999999843,116.77099999999882,,
65.0,0.0,26.45299999999952,31.412999999998647,35.51800000000003,49.26499999999942,58.789999999999054,53.46399999999994,61.152000000000044,66.05799999999908,85.22999999999956,101.14499999999862,102.27599999999984,105.64399999999841,119.6859999999997,121.128999999999,129.4399999999987,148.23899999999958,120.52899999999863,,
