,VER,NOR,HAM,PIA,RUS,PER,ALO,ALB,LEC,SAI,SAR,BOT,HUL,STR,ZHO,TSU,DEV,GAS,MAG,OCO
24.0,0.0,5.927999999999884,18.829999999999927,8.377999999999702,13.893000000000029,26.949999999999818,24.21900000000005,29.384000000000015,33.01299999999992,17.548999999999978,38.01000000000022,46.31999999999971,71.25500000000011,32.324000000000524,44.027000000000044,55.80799999999999,41.34699999999975,24.985999999999876,50.80000000000018,
25.0,0.0,6.582000000000335,19.6220000000003,8.891999999999825,14.46100000000024,27.561999999999898,25.002000000000407,30.462999999999738,33.51599999999962,18.386999999999716,39.222999999999956,47.31700000000001,72.3109999999997,34.3090000000002,66.97199999999975,56.73700000000008,42.60500000000047,25.78899999999976,52.54200000000037,
26.0,0.0,7.064000000000306,20.11499999999978,9.668000000000575,15.143000000000029,28.248000000000502,25.87800000000061,31.36200000000008,34.03400000000056,19.29200000000037,40.5,48.51100000000042,73.67900000000009,35.590000000000146,67.22000000000025,57.780000000000655,44.08300000000054,26.756000000000313,54.38500000000022,
27.0,0.0,7.6599999999998545,20.691000000000713,10.374000000000706,16.067000000000007,28.85199999999986,26.65400000000045,32.350000000000364,34.83800000000065,39.88200000000052,42.09299999999985,49.96100000000024,74.66300000000047,36.689000000000306,67.9940000000006,59.0600000000004,45.2440000000006,27.606000000000677,56.1820000000007,
28.0,0.0,8.15900000000056,20.796000000000276,11.34900000000016,16.355999999999767,28.8720000000003,27.182999999999993,33.21900000000005,35.4369999999999,39.886999999999716,43.36800000000039,51.246000000000095,75.72800000000007,37.73400000000038,68.77800000000025,60.11999999999989,66.1230000000005,28.64599999999973,57.72699999999986,
29.0,0.0,8.713999999999942,20.699999999999818,11.661000000000058,37.36700000000019,47.18000000000029,27.65899999999965,33.836999999999534,35.84400000000005,39.58100000000013,43.840000000000146,52.34599999999955,76.58399999999983,39.18499999999949,69.33899999999994,60.98700000000008,66.3710000000001,29.677999999999884,58.832000000000335,
30.0,0.0,8.960000000000036,20.58299999999963,31.787999999999556,36.513999999999214,46.224999999999454,27.98199999999997,34.35599999999977,35.94499999999971,39.34699999999975,64.20100000000002,53.349999999999454,77.55299999999988,40.83599999999933,69.98199999999997,61.835000000000036,66.5719999999992,30.613999999999578,59.93499999999949,
31.0,0.0,9.38000000000011,20.938999999999396,31.079999999999927,35.925999999999476,45.36899999999969,28.50999999999931,34.78399999999965,36.789999999999964,39.45299999999952,63.80699999999979,54.402000000000044,78.29799999999977,41.3809999999994,70.66699999999946,62.72599999999966,67.01299999999992,31.61700000000019,61.01099999999951,
32.0,0.0,9.740999999999985,23.889999999999418,38.279999999999745,43.8130000000001,57.53899999999976,34.85899999999947,39.34699999999975,40.79500000000007,49.82600000000002,83.86399999999958,68.15700000000015,100.23399999999947,80.4439999999995,93.45899999999983,77.59499999999935,84.93099999999959,66.21099999999933,1.7619999999997162,
33.0,0.0,13.960000000000036,28.774999999999636,47.524999999999636,53.38000000000011,67.01199999999972,40.177999999999884,67.33899999999994,68.3139999999994,60.86499999999978,94.16600000000017,96.45399999999972,128.29699999999957,90.79600000000028,98.94999999999982,104.84699999999975,111.2529999999997,76.57299999999941,,
34.0,0.0,0.8800000000001091,2.0540000000000873,3.623000000000502,5.905999999999949,14.331000000000131,8.905999999999949,15.257000000000517,16.438000000000102,12.70300000000043,41.353000000000065,44.64900000000034,75.70399999999972,38.9340000000002,63.378999999999905,53.39900000000034,59.3130000000001,23.804000000000087,,
