,VER,NOR,PIA,LEC,HAM,SAI,RUS,ALO,OCO,GAS,LAW,TSU,ZHO,HUL,MAG,ALB,SAR,STR,PER,BOT
11.0,0.0,4.373999999999796,8.394000000000233,9.920999999999367,14.143000000000029,11.215000000000146,15.989999999999782,15.90899999999965,24.555999999999585,22.240999999999985,38.97599999999966,38.01499999999942,47.672999999999774,41.02899999999954,25.445999999999913,30.019999999999527,69.05499999999938,20.539999999999964,26.166000000000167,
12.0,0.0,4.935999999999694,9.457999999999629,10.911000000000058,14.621000000000095,12.177999999999884,16.574999999999818,35.779999999999745,26.457000000000335,23.925000000000182,39.53700000000026,38.836999999999534,48.22699999999986,42.573999999999614,49.73099999999977,33.64900000000034,71.11999999999989,22.238999999999578,48.5600000000004,
13.0,0.0,5.402999999999338,12.168999999999869,11.596999999999753,15.463999999999942,13.067999999999302,17.09899999999925,41.81999999999971,35.66199999999935,28.388999999999214,49.80999999999949,47.42399999999998,59.878999999999905,52.07099999999991,89.09299999999985,45.86399999999958,92.00799999999981,24.30699999999979,158.2639999999992,
14.0,0.0,9.246000000000095,26.261999999999716,10.554999999999382,14.472999999999956,11.996999999999389,15.943999999999505,34.10999999999967,27.36999999999989,24.411999999999352,40.61499999999978,39.24299999999948,49.029999999999745,43.18299999999999,69.89899999999943,74.42799999999988,76.42500000000018,25.684000000000196,2626.9519999999993,
15.0,0.0,9.980000000000473,26.29399999999987,11.661000000000058,15.154999999999745,13.021999999999935,16.338999999999942,33.863000000000284,28.6279999999997,26.925000000000182,42.113000000000284,40.55400000000009,49.76299999999992,44.4380000000001,69.89900000000034,75.23999999999978,78.90499999999975,45.4409999999998,2661.1140000000005,
16.0,0.0,8.03399999999965,23.561999999999898,10.136999999999716,17.77599999999984,11.362999999999374,15.666999999999462,31.341999999999643,27.484999999999673,26.203999999999724,40.65599999999995,39.2559999999994,48.75,42.90099999999984,67.79099999999926,73.61699999999928,78.20499999999993,43.318999999999505,,
17.0,8.751000000000204,0.0,12.957000000000335,2.688000000000102,27.556000000000495,1.6370000000006257,5.523000000000138,20.480000000000473,18.13500000000022,16.962000000000444,31.774000000000342,30.64600000000064,39.34299999999985,33.76000000000022,57.725000000000364,64.27300000000014,69.67700000000059,34.12700000000041,,
18.0,2.709000000000742,14.682000000000698,8.13800000000083,16.50300000000061,21.60400000000027,0.0,1.6350000000002183,16.30200000000059,15.44000000000051,16.46900000000005,28.61200000000008,27.347000000000662,35.918000000000575,31.717000000000553,53.569000000000415,61.17100000000028,66.80400000000009,29.798000000000684,,
19.0,0.0,10.893000000000029,6.234000000000378,14.59900000000016,19.004000000000815,16.88799999999992,1.173000000000684,15.916000000000167,15.583000000000538,35.6190000000006,28.312000000000808,27.085000000000036,35.249000000000706,31.564000000000306,52.52800000000025,60.56500000000051,66.78900000000067,28.871000000000095,,
20.0,0.0,11.325000000000728,7.596000000000458,15.423999999999978,20.179000000000087,18.73199999999997,3.248000000000502,19.704999999999927,18.65599999999995,35.55400000000009,31.554000000000087,30.228000000000065,38.64600000000064,34.79700000000048,54.452000000000226,63.319000000000415,70.61300000000028,34.822000000000116,,
21.0,0.0,11.313000000000102,8.293999999999869,16.024999999999636,22.365999999999985,19.15399999999954,5.242000000000189,23.24499999999989,22.006999999999607,38.086999999999534,35.003999999999905,33.154999999999745,41.70600000000013,39.86899999999969,56.52099999999973,66.17500000000018,76.41899999999987,,,
22.0,0.0,11.36700000000019,8.967000000000553,16.37800000000061,22.894000000000233,19.440999999999804,7.2150000000001455,25.694000000000415,25.35699999999997,38.676000000000386,38.22100000000046,36.21399999999994,44.52900000000045,62.360999999999876,58.6840000000002,68.65400000000045,115.86599999999999,,,
23.0,0.0,11.709000000000742,9.977000000000771,16.661000000000058,23.74000000000069,19.57800000000043,8.932000000000698,28.9950000000008,27.89800000000014,39.61000000000058,42.064000000000306,39.25300000000061,46.94100000000071,63.96600000000035,60.49200000000019,70.85100000000057,,,,
24.0,0.0,12.131999999999607,11.375,16.826999999999316,24.250999999999294,19.7529999999997,12.61999999999989,31.034999999999854,30.66099999999915,40.138999999999214,44.94599999999991,42.77799999999934,49.19799999999941,64.57999999999993,62.61899999999969,73.28399999999965,,,,
25.0,0.0,12.557999999999993,11.969999999999345,17.000999999999294,24.210000000000036,19.55999999999949,32.787999999999556,36.76899999999932,33.96699999999964,41.20499999999993,49.85499999999956,45.180999999999585,51.250999999999294,65.22099999999955,64.17399999999998,75.6239999999998,,,,
26.0,0.0,13.44800000000032,13.002000000000407,17.483000000000175,24.603000000000065,19.834000000000742,32.89900000000034,55.501000000000204,36.615999999999985,41.9940000000006,70.77900000000045,47.95000000000073,53.77100000000064,65.73599999999988,66.95200000000023,86.15800000000036,,,,
27.0,0.0,12.984999999999673,14.915999999999258,18.93499999999949,25.074999999999818,20.787999999999556,32.6869999999999,54.943999999999505,39.23999999999978,42.735999999999876,71.58099999999922,50.57099999999991,56.728000000000065,66.1929999999993,68.74299999999948,,,,,
28.0,0.0,13.445999999999913,16.05499999999938,19.962999999999738,26.18199999999979,21.911000000000058,32.80699999999979,54.58899999999994,44.58299999999963,44.03600000000006,72.85499999999956,53.59099999999944,59.43399999999929,67.4439999999995,71.46399999999994,,,,,
