,VER,ALO,HAM,LEC,SAI,PER,ALB,OCO,STR,BOT,PIA,GAS,NOR,TSU,HUL,ZHO,MAG,DEV,RUS,SAR
11.0,0.0,4.6729999999997744,4.007999999999811,18.542999999999665,19.97699999999986,20.509000000000015,19.430999999999585,11.907000000000153,37.26900000000023,22.673999999999978,15.506000000000313,45.31999999999971,18.46100000000024,36.430999999999585,35.46600000000035,26.10900000000038,21.980999999999767,40.72599999999966,5.969000000000051,
12.0,0.0,11.034999999999854,10.563000000000102,19.03099999999995,20.58100000000013,21.35699999999997,36.72599999999966,23.682999999999993,46.42100000000028,24.661000000000058,27.743000000000393,53.94200000000001,36.426000000000386,41.94300000000021,43.792999999999665,41.64000000000033,23.02099999999973,52.34100000000035,131.1869999999999,
13.0,0.0,3.03899999999976,1.9129999999995562,4.863999999999578,5.65099999999984,6.216000000000349,12.530999999999949,9.148000000000138,19.14800000000014,8.274999999999636,9.787999999999556,22.019999999999527,11.595000000000255,14.967999999999847,17.95600000000013,16.179000000000087,7.448999999999614,20.193999999999505,67.48700000000008,
14.0,0.0,2.688000000000102,1.5119999999997162,4.27599999999984,5.572999999999411,6.119999999999891,15.159999999999854,10.293999999999869,21.13500000000022,9.420999999999367,11.323999999999614,23.82299999999941,13.355999999999767,17.527999999999338,19.70600000000013,18.706999999999425,8.375,22.13500000000022,27.811999999999898,
15.0,0.0,2.6909999999998035,1.4520000000002256,4.096999999999753,5.253999999999905,5.6850000000004,14.634000000000015,9.680000000000291,23.377000000000407,8.63299999999981,10.918999999999869,26.471999999999753,13.04700000000048,17.84400000000005,21.899000000000342,19.970000000000255,7.851999999999862,24.82300000000032,28.23999999999978,
16.0,0.0,0.7020000000002256,0.443000000000211,1.2580000000007203,1.8580000000001746,2.1950000000006185,4.7150000000001455,3.2770000000000437,6.9950000000008,2.7440000000005966,3.6590000000005602,7.999000000000706,4.2020000000002256,5.39600000000064,6.360000000000582,5.97400000000016,2.657000000000153,7.38799999999992,8.363000000000284,
17.0,0.0,2.055000000000291,1.1710000000002765,2.661000000000058,3.394999999999527,4.140999999999622,7.61200000000008,6.2590000000000146,9.8149999999996,5.807999999999993,7.282000000000153,10.681999999999789,7.1229999999995925,8.172999999999774,9.367999999999483,8.739999999999782,5.395999999999731,10.190999999999804,11.230999999999767,
18.0,0.0,2.4459999999999127,1.569999999999709,3.4580000000005384,4.13799999999992,5.2719999999999345,10.204999999999927,8.431999999999789,12.490999999999985,7.773000000000138,9.840000000000146,13.350000000000364,9.146999999999935,10.69800000000032,12.056999999999789,11.373999999999796,7.435999999999694,12.943000000000211,13.779000000000451,
19.0,0.0,2.3909999999996217,1.725999999999658,3.831000000000131,4.337000000000444,6.395999999999731,11.457000000000335,9.786000000000058,14.146999999999935,10.240999999999985,11.71100000000024,15.139000000000124,10.591999999999643,12.350000000000364,13.626000000000204,12.779999999999745,9.059000000000196,14.746000000000095,16.002000000000407,
20.0,0.0,2.5510000000003856,1.9179999999996653,4.279999999999745,4.6909999999998035,7.514000000000124,12.904999999999745,11.216999999999643,15.983000000000175,12.27099999999973,13.636999999999716,17.02300000000014,12.529000000000451,14.268000000000029,15.573999999999614,14.932999999999993,12.449999999999818,16.53899999999976,17.68000000000029,
