,VER,LEC,RUS,PER,NOR,PIA,ALO,TSU,HAM,STR,RIC,OCO,GAS,ALB,HUL,SAR,ZHO,SAI,BOT,MAG
25.0,0.0,5.305999999999585,6.962999999999738,14.065999999999804,9.981999999999971,13.090000000000146,14.921000000000276,21.90099999999984,19.877000000000407,25.548999999999978,20.863999999999578,24.516999999999825,28.105000000000473,37.694000000000415,30.439000000000306,39.56800000000021,36.70799999999963,32.9350000000004,27.435999999999694,61.077000000000226
26.0,0.0,5.67200000000048,7.213999999999942,14.641000000000531,10.001000000000204,13.719000000000051,15.568000000000211,22.33600000000024,20.48700000000008,25.11999999999989,23.524000000000342,26.22100000000046,29.44500000000062,38.4970000000003,32.59400000000005,40.887000000000626,39.298000000000684,33.65300000000025,30.967999999999847,62.387000000000626
27.0,0.0,5.7260000000005675,7.490000000000691,14.825000000000728,10.325000000000728,14.164999999999964,16.64100000000053,23.1220000000003,20.899000000000342,26.155000000000655,25.105000000000473,27.64300000000003,30.69300000000021,40.069000000000415,35.52300000000014,42.19599999999991,40.76100000000042,34.33800000000065,33.628999999999905,63.92200000000048
28.0,0.0,6.0649999999996,7.837999999999738,14.561999999999898,10.576999999999316,15.983999999999469,17.983000000000175,23.79699999999957,21.372999999999593,27.25,26.585000000000036,28.747999999999593,31.971999999999753,41.483000000000175,37.88599999999951,43.96599999999944,42.32600000000002,35.097999999999956,36.83599999999933,65.41399999999976
29.0,0.0,6.438000000000102,8.376999999999498,14.942000000000007,10.819999999999709,17.14099999999962,18.809000000000196,24.30199999999968,22.032000000000153,27.66899999999987,28.708999999999833,30.068999999999505,33.11799999999948,42.88799999999992,40.47099999999955,45.47599999999966,43.751000000000204,35.55499999999938,41.74699999999939,66.85899999999947
30.0,0.0,6.600000000000364,8.951000000000022,15.155999999999949,11.054000000000087,18.3720000000003,19.95800000000054,25.025000000000546,22.884000000000015,28.139000000000124,30.121000000000095,31.317000000000007,34.2440000000006,44.21299999999974,41.8720000000003,46.85199999999986,45.53899999999976,35.98900000000049,65.56700000000001,67.70899999999983
31.0,0.0,7.005000000000109,9.203999999999724,15.420000000000073,11.914999999999964,19.30499999999938,20.936999999999898,25.542999999999665,23.541000000000167,28.695999999999913,33.45600000000013,32.48700000000008,35.33399999999983,45.61899999999969,43.3159999999998,48.349999999999454,47.32499999999982,36.60399999999936,67.72599999999966,69.1909999999998
32.0,0.0,7.720000000000255,9.796000000000276,15.634000000000015,12.657000000000153,20.05200000000059,21.644000000000233,26.411000000000058,24.317000000000007,29.42700000000059,54.41400000000067,33.63000000000011,38.79700000000048,46.8690000000006,45.061000000000604,50.38000000000011,49.09900000000016,37.40100000000075,68.8710000000001,70.77500000000055
33.0,0.0,8.27599999999984,10.251999999999498,15.75799999999981,14.965000000000146,20.692000000000007,22.932999999999993,27.032999999999447,24.953999999999724,30.417999999999665,54.625999999999294,34.73700000000008,60.96099999999933,48.17900000000009,48.378999999999905,52.121000000000095,50.805999999999585,38.02399999999943,70.35699999999997,72.07499999999982
34.0,0.0,8.64600000000064,12.137000000000626,15.997000000000298,33.585000000000036,21.45600000000013,23.74000000000069,27.9320000000007,25.666000000000167,31.262000000000626,55.13300000000072,35.69300000000021,61.035000000000764,49.12800000000061,69.5,53.8130000000001,52.67000000000007,38.621000000000095,71.75300000000061,73.45000000000073
