,SAI,NOR,HAM,LEC,VER,GAS,PIA,PER,LAW,MAG,ALB,ZHO,HUL,SAR,ALO,RUS,BOT,OCO,TSU,18
20.0,0.0,11.872000000000298,14.365000000000691,9.19800000000032,18.118000000000393,34.574000000000524,38.83600000000024,29.88799999999992,36.35699999999997,30.95800000000054,39.94800000000032,70.97100000000046,34.02300000000014,154.36099999999988,20.45300000000043,9.976999999999862,43.49000000000069,23.72100000000046,,
21.0,0.0,4.5090000000000146,7.523000000000138,5.311999999999898,1.5579999999999927,15.606000000000677,17.963000000000648,3.8380000000006476,19.70600000000013,13.85400000000027,23.548999999999978,38.58899999999994,21.207000000000335,100.8090000000002,9.019000000000233,2.5510000000003856,12.929000000000087,11.368000000000393,,
22.0,0.0,2.0349999999998545,3.01299999999992,2.5,0.7830000000003565,5.595000000000255,6.012000000000626,1.6590000000005602,6.677999999999884,5.096000000000458,7.990000000000691,8.581000000000131,7.319000000000415,50.42200000000048,3.4760000000005675,1.1469999999999345,4.686999999999898,3.9200000000000728,,
23.0,0.0,2.40099999999984,3.6699999999991633,4.031999999999243,1.7059999999992215,6.515999999999622,7.13799999999992,3.4309999999995853,7.777999999999338,6.110999999999876,8.683999999999287,8.906999999999243,7.988999999999578,47.85499999999956,4.343999999999141,1.0649999999995998,7.75,4.750999999999294,,
24.0,0.0,2.9290000000000873,4.835000000000036,6.9080000000003565,3.8850000000002183,9.131000000000313,9.583999999999833,6.373999999999796,10.279999999999745,8.662000000000262,11.97900000000027,13.064000000000306,11.240999999999985,48.45300000000043,7.689000000000306,0.774000000000342,14.373000000000502,8.050000000000182,,
25.0,0.0,3.443000000000211,5.551000000000386,6.930000000000291,4.859000000000378,10.45300000000043,11.13000000000011,8.180000000000291,11.95300000000043,10.045000000000073,13.214000000000851,14.684000000000196,12.680000000000291,49.027000000000044,8.652000000000044,0.6080000000001746,16.40600000000086,9.219000000000051,,
26.0,0.0,3.742000000000189,6.319999999999709,7.636999999999716,5.917999999999665,12.188000000000102,12.747000000000298,9.590000000000146,13.739000000000487,11.71100000000024,14.956000000000131,16.471999999999753,14.425000000000182,50.18000000000029,10.363000000000284,0.5960000000004584,18.587000000000444,10.918999999999869,,
27.0,0.0,3.313000000000102,5.71100000000024,7.701000000000022,7.26299999999992,12.748999999999796,13.440999999999804,10.25500000000011,14.135000000000218,12.356999999999971,16.43000000000029,17.207000000000335,15.015000000000327,50.23400000000038,10.712999999999738,0.9660000000003492,20.039999999999964,11.460000000000036,,
28.0,0.0,2.350000000000364,4.160000000000764,6.0330000000003565,7.464000000000851,13.055000000000291,13.681000000000495,10.858000000000175,14.405000000000655,12.706000000000131,16.642000000000735,17.287000000000262,15.56500000000051,48.97600000000057,11.41400000000067,0.9170000000003711,20.098000000000866,11.985000000000582,,
29.0,0.0,2.2219999999997526,3.4549999999999272,5.4909999999999854,7.676000000000386,14.536000000000058,15.204999999999927,10.922999999999774,15.694999999999709,14.046000000000276,17.8720000000003,18.538000000000466,16.909999999999854,48.498999999999796,12.480999999999767,1.105000000000473,21.350999999999658,13.293999999999869,,
30.0,0.0,1.7409999999999854,2.380000000000109,4.48200000000088,7.785000000000764,14.59900000000016,15.541000000000167,11.025000000000546,16.47700000000077,14.053000000000793,18.124000000000706,19.187000000000808,17.38500000000022,48.186000000000604,12.392000000000735,0.9550000000008367,22.50300000000061,13.11700000000019,,
