,VER,PER,ALO,RUS,SAI,HAM,LEC,GAS,OCO,MAG,TSU,STR,BOT,ALB,HUL,ZHO,NOR,DEV,PIA,SAR
16.0,3.0289999999995416,0.0,4.26299999999992,8.509999999999309,5.060999999999694,21.02099999999973,15.95299999999952,32.24699999999939,16.573999999999614,33.31999999999971,22.375,24.24200000000019,40.1309999999994,22.039999999999964,20.503999999999905,23.521999999999935,42.126000000000204,51.626000000000204,44.20100000000002,72.0
17.0,2.581000000000131,0.0,4.298000000000684,13.21600000000035,4.906000000000859,21.231000000000677,20.69500000000062,31.645000000000437,16.819000000000415,33.06200000000081,23.76600000000053,24.783000000000357,39.77100000000064,22.829000000000633,21.006000000000313,24.179000000000087,42.363000000000284,51.60200000000077,44.62800000000061,72.60300000000007
18.0,2.2140000000008513,0.0,4.6580000000003565,28.61500000000069,9.726000000000568,22.72400000000016,36.43299999999999,31.590000000000146,17.26600000000053,32.98900000000049,24.681000000000495,25.69300000000021,41.173000000000684,24.196000000000822,22.34100000000035,25.40600000000086,42.96900000000005,52.215000000000146,45.50600000000031,73.63300000000072
19.0,1.5869999999995343,0.0,4.905999999999949,28.719999999999345,23.55999999999949,23.340000000000146,37.123999999999796,31.367999999999483,17.808999999999287,33.12199999999939,25.885999999999513,26.597999999999956,41.79899999999998,25.510999999999513,22.746000000000095,27.506999999999607,43.539999999999964,52.534999999999854,46.22400000000016,74.53999999999996
20.0,0.0,4.072999999999411,3.576999999999316,27.385999999999513,21.97899999999936,22.9399999999996,36.159999999999854,30.39300000000003,16.85899999999947,32.94499999999971,25.479999999999563,26.068999999999505,40.98999999999978,25.11200000000008,21.795999999999367,27.961999999999534,43.1880000000001,51.76299999999992,46.48999999999978,74.32399999999961
21.0,0.0,18.547999999999774,3.6520000000000437,27.734999999999673,21.97400000000016,23.786000000000058,36.84299999999985,31.04700000000048,17.67200000000048,32.927999999999884,26.804000000000087,27.269000000000233,41.751000000000204,27.085000000000036,23.368999999999687,30.264000000000124,43.98400000000038,52.51000000000022,47.66700000000037,75.52599999999984
22.0,0.0,17.814000000000306,3.899000000000342,29.588000000000648,22.326000000000022,24.5600000000004,37.36800000000039,31.295000000000073,19.08600000000024,33.18299999999999,27.514000000000124,29.18000000000029,42.36000000000058,33.876000000000204,24.182999999999993,32.26800000000003,44.923000000000684,53.10900000000038,49.19200000000001,76.64300000000003
23.0,0.0,17.771999999999935,4.2590000000000146,30.449000000000524,22.774000000000342,25.653000000000247,38.04399999999987,32.139000000000124,20.28400000000056,34.55500000000029,28.78900000000067,30.374000000000706,43.53900000000067,49.76000000000022,26.494000000000597,34.150000000000546,46.46399999999994,54.35699999999997,52.2480000000005,78.23800000000028
24.0,0.0,17.092000000000553,9.414999999999964,30.925000000000182,23.034999999999854,26.465000000000146,38.95600000000013,32.77900000000045,21.061999999999898,35.63200000000052,29.756000000000313,32.0590000000002,44.45899999999983,49.875,27.65599999999995,36.314000000000306,47.639000000000124,55.38500000000022,54.238000000000284,79.42799999999988
25.0,0.0,16.61700000000019,24.54700000000048,31.427999999999884,23.809000000000196,27.559000000000196,39.64900000000034,33.15300000000025,22.127000000000407,36.447000000000116,30.673000000000684,33.926000000000386,45.4409999999998,50.475000000000364,29.149000000000342,38.052999999999884,48.802999999999884,57.051000000000386,56.337000000000444,81.08700000000044
