,VER,NOR,ALO,PER,STR,SAI,GAS,HAM,TSU,OCO,SAR,HUL,RIC,PIA,RUS,BOT,ZHO,MAG,ALB,LEC
11.0,0.0,2.0969999999997526,3.72400000000016,8.578999999999724,9.1850000000004,9.673999999999978,10.239999999999782,7.130000000000109,12.247000000000298,11.807999999999993,15.372000000000298,14.34900000000016,93.94899999999961,95.78200000000015,8.091999999999643,13.697000000000116,14.542000000000371,,,
12.0,0.0,2.2330000000001746,4.3289999999997235,9.57800000000043,10.35400000000027,10.984999999999673,11.564000000000306,8.202000000000226,13.514000000000124,13.240999999999985,17.153000000000247,16.037000000000262,95.56999999999971,97.38100000000031,9.19000000000051,14.654999999999745,16.230000000000473,,,
13.0,0.0,2.298999999999978,4.3659999999999854,10.24499999999989,11.134000000000015,11.581000000000131,12.34100000000035,8.899000000000342,14.257000000000517,15.19000000000051,18.775000000000546,18.886999999999716,97.61099999999988,99.0590000000002,9.947000000000116,15.914999999999964,17.57300000000032,,,
14.0,0.0,2.4890000000004875,4.6270000000004075,11.404999999999745,12.471000000000458,12.855999999999767,13.543000000000575,9.914999999999964,15.510000000000218,20.520000000000437,20.282000000000153,21.67700000000059,98.4989999999998,100.67700000000059,11.908000000000357,17.212000000000444,18.97699999999986,,,
15.0,0.0,2.255000000000109,4.617000000000189,11.697000000000116,13.315999999999804,13.831000000000131,14.331000000000131,10.483999999999469,16.373999999999796,37.89300000000003,21.72400000000016,24.323999999999614,99.49799999999959,101.79500000000007,12.8149999999996,18.146999999999935,24.229999999999563,,,
16.0,0.0,2.454000000000633,4.700000000000728,11.939000000000306,14.292000000000371,15.032000000000153,15.770000000000437,11.431000000000495,22.324000000000524,37.673000000000684,22.90400000000045,27.34400000000005,101.17500000000018,102.9320000000007,13.706000000000131,19.60700000000088,42.87800000000061,,,
17.0,0.0,2.798999999999978,5.1469999999999345,13.03900000000067,15.396999999999935,16.127000000000407,17.04400000000078,12.621000000000095,23.19800000000032,37.88799999999992,29.160000000000764,30.150000000000546,101.81700000000001,104.02700000000004,14.928000000000793,20.868000000000393,42.94000000000051,,,
18.0,0.0,2.725000000000364,5.760000000000218,13.958999999999833,16.462000000000444,17.128999999999905,18.003999999999905,18.462000000000444,23.875,37.99799999999959,46.57600000000002,31.847999999999956,102.67799999999988,105.26900000000023,15.905999999999949,25.890000000000327,43.238000000000284,,,
19.0,0.0,2.736000000000786,6.223000000000866,14.842000000000553,17.691000000000713,18.303000000000793,19.162000000000262,36.410000000000764,25.00500000000011,39.03100000000086,46.764000000000124,33.38200000000052,103.38700000000063,106.31800000000021,20.392000000000735,44.56500000000051,44.59700000000066,,,
20.0,0.0,3.0700000000006185,7.079999999999927,19.83100000000013,18.892000000000735,19.536000000000058,20.340000000000146,36.83300000000054,25.73400000000038,40.173000000000684,47.146999999999935,34.77800000000025,104.25,107.75500000000011,38.11700000000019,44.30000000000018,45.51500000000033,,,
21.0,0.0,3.217999999999847,7.488000000000284,36.509000000000015,20.046000000000276,20.689000000000306,21.54399999999987,36.141999999999825,26.64599999999973,41.11700000000019,47.228000000000065,39.62299999999959,104.72900000000027,108.59100000000035,38.483000000000175,44.54500000000007,46.07499999999982,,,
22.0,0.0,3.207999999999629,7.782000000000153,36.300999999999476,24.44800000000032,21.50500000000011,22.701000000000022,36.081999999999425,27.192000000000007,41.88000000000011,47.12299999999959,60.409999999999854,105.51599999999962,109.81999999999971,38.93000000000029,44.54899999999998,60.215000000000146,,,
