,VER,PER,ALO,SAI,HAM,STR,RUS,BOT,GAS,ALB,TSU,SAR,MAG,DEV,HUL,ZHO,NOR,OCO,LEC,PIA
18.0,0.0,14.556000000000495,29.570999999999913,22.447000000000116,25.60200000000077,34.15900000000056,31.337000000000444,32.82500000000073,43.07999999999993,38.7470000000003,40.84300000000076,44.63799999999992,60.628999999999905,50.25700000000052,53.15400000000045,52.16899999999987,80.88700000000063,78.23100000000068,10.593000000000757,
19.0,0.0,14.502999999999702,30.220000000000255,22.94499999999971,26.573999999999614,35.03399999999965,32.136999999999716,34.60999999999967,44.4340000000002,40.30699999999979,42.300999999999476,46.14599999999973,61.720000000000255,51.62299999999959,55.07499999999982,53.251000000000204,81.14099999999962,79.33600000000024,10.738999999999578,
20.0,0.0,14.163000000000466,30.75,23.25300000000061,27.264000000000124,35.28400000000056,32.92700000000059,37.264000000000124,45.663000000000466,41.81800000000021,43.79500000000007,47.54399999999987,63.01500000000033,53.017000000000735,56.78200000000015,54.35900000000038,81.69800000000032,80.35699999999997,10.582000000000335,
21.0,0.0,13.820999999999913,31.574999999999818,23.911000000000058,28.26299999999992,35.975000000000364,33.899999999999636,39.03700000000026,47.40800000000036,43.827000000000226,45.537999999999556,49.573999999999614,64.51900000000023,54.61700000000019,58.90300000000025,55.664999999999964,82.41299999999956,81.7510000000002,10.752999999999702,
22.0,0.0,13.338999999999942,32.123999999999796,24.712999999999738,29.072000000000116,37.05400000000009,34.6869999999999,40.74200000000019,49.24200000000019,45.764000000000124,47.32600000000002,51.284999999999854,65.78099999999995,56.261999999999716,61.185999999999694,57.128999999999905,83.67000000000007,83.1279999999997,11.264000000000124,
23.0,0.0,13.09099999999944,32.42499999999927,25.75799999999981,29.90399999999954,37.79699999999957,35.90799999999945,42.500999999999294,50.95299999999952,48.013999999999214,49.40599999999995,53.42499999999927,67.2559999999994,58.2519999999995,63.5,59.03899999999976,84.40899999999965,85.6279999999997,11.765999999999622,
24.0,0.0,13.055999999999585,32.91600000000017,26.68499999999949,30.884000000000015,38.88799999999992,37.16399999999976,44.54100000000017,53.327000000000226,50.516999999999825,52.1279999999997,55.909999999999854,68.8159999999998,60.67199999999957,65.96799999999985,61.154999999999745,85.71799999999985,87.62299999999959,12.350999999999658,
25.0,0.0,14.102000000000771,33.6830000000009,27.884000000000015,31.80200000000059,39.76600000000053,38.27900000000045,46.65900000000056,58.24300000000039,52.97700000000077,54.50200000000041,58.3720000000003,70.92000000000007,64.26000000000022,68.89100000000053,62.84900000000016,86.79300000000057,89.6860000000006,13.520000000000437,
26.0,0.0,13.873999999999796,34.1279999999997,28.532999999999447,32.45899999999983,40.5659999999998,39.0590000000002,48.47699999999986,79.96500000000015,57.904999999999745,59.04699999999957,60.69599999999991,72.83899999999994,66.54799999999977,74.13999999999942,64.59400000000005,87.55099999999948,91.52499999999964,15.505999999999403,
27.0,0.0,13.881999999999607,35.360999999999876,29.577000000000226,33.448999999999614,42.20799999999963,40.30500000000029,50.38500000000022,81.3149999999996,80.39599999999973,81.96799999999985,62.91899999999987,74.75799999999981,71.47800000000007,108.79799999999977,66.44999999999982,91.14499999999953,93.73999999999978,16.940999999999804,
