,VER,HAM,RUS,PER,SAI,STR,ALO,OCO,ZHO,GAS,LEC,TSU,PIA,DEV,HUL,ALB,NOR,MAG,BOT,SAR
24.0,0.0,15.368000000000393,20.636999999999716,27.02300000000014,31.644000000000233,40.534999999999854,48.9380000000001,43.59199999999964,51.215000000000146,57.83799999999974,61.038000000000466,44.76299999999992,53.40899999999965,60.38500000000022,55.72900000000027,70.56999999999971,88.29100000000017,63.88100000000031,66.02099999999973,72.8730000000005
25.0,0.0,34.70800000000054,25.296000000000276,28.11200000000008,32.36400000000049,41.292999999999665,49.284999999999854,44.15300000000025,52.35599999999977,57.733000000000175,61.47900000000027,45.43299999999999,54.20600000000013,60.93199999999979,56.900000000000546,71.71100000000024,88.3739999999998,85.64300000000003,67.26699999999983,73.93299999999999
26.0,0.0,30.494000000000597,39.85400000000027,25.51299999999992,28.83600000000024,37.983000000000175,45.8090000000002,41.72100000000046,49.40800000000036,54.363000000000284,57.71399999999994,42.58899999999994,51.1909999999998,59.07900000000063,57.8070000000007,68.88799999999992,84.50600000000031,81.21200000000044,64.6289999999999,71.09400000000005
27.0,0.0,11.252999999999702,20.30499999999938,12.26299999999992,10.74199999999928,20.010999999999513,27.699999999999818,23.683999999999287,31.53099999999995,35.412999999999556,39.55899999999929,24.63299999999981,33.38199999999961,41.46299999999974,59.222999999999956,51.222999999999956,65.95899999999983,61.79399999999987,47.35199999999986,53.42900000000009
28.0,0.0,11.707000000000335,19.86200000000008,31.76000000000022,13.485000000000582,22.503999999999905,29.396999999999935,25.295000000000073,33.77000000000044,36.702000000000226,41.34700000000066,26.235999999999876,35.34200000000055,43.60400000000027,59.475000000000364,53.54899999999998,67.34299999999985,62.35100000000057,49.89800000000014,55.556000000000495
29.0,0.0,12.646999999999935,20.201000000000022,31.545000000000073,15.311999999999898,24.21900000000005,30.77599999999984,26.77599999999984,35.417999999999665,37.982999999999265,42.835000000000036,27.747999999999593,36.83399999999983,45.240999999999985,59.59599999999955,55.58399999999983,68.55899999999929,63.11799999999948,52.17900000000009,57.539999999999964
30.0,0.0,12.962999999999738,20.587000000000444,32.988000000000284,16.592999999999847,25.984999999999673,32.71600000000035,28.113000000000284,36.84699999999975,39.48099999999977,44.1840000000002,29.100999999999658,38.51900000000023,46.725000000000364,59.9340000000002,57.27900000000045,69.70799999999963,63.876000000000204,54.069000000000415,59.51000000000022
31.0,0.0,13.280999999999949,20.608000000000175,32.60900000000038,17.6850000000004,27.3779999999997,34.44300000000021,29.449999999999818,38.35500000000047,40.70899999999983,45.3149999999996,30.53099999999995,39.82300000000032,48.042999999999665,59.733000000000175,59.02599999999984,70.65999999999985,64.6909999999998,55.832000000000335,62.527000000000044
32.0,0.0,13.618000000000393,21.032000000000153,33.26100000000042,18.896999999999935,29.014000000000124,35.944000000000415,31.11500000000069,40.15599999999995,42.337000000000444,46.75300000000061,32.44599999999991,41.61700000000019,49.668000000000575,60.347999999999956,62.561000000000604,71.72400000000016,66.21399999999994,58.035000000000764,64.83899999999994
33.0,0.0,13.627999999999702,21.411000000000058,33.40899999999965,20.024000000000342,30.68199999999979,37.36899999999969,32.746000000000095,41.748999999999796,44.09100000000035,47.810999999999694,35.57899999999972,43.29600000000028,51.20300000000043,61.08100000000013,64.59299999999985,72.33799999999974,67.79899999999998,60.27099999999973,66.8739999999998
34.0,0.0,13.850000000000364,22.09400000000005,33.42000000000007,21.561000000000604,37.07600000000002,39.197000000000116,35.45600000000013,43.389000000000124,45.71800000000076,49.379000000000815,41.27800000000025,44.939000000000306,53.32000000000062,61.452000000000226,66.94600000000082,73.78000000000065,69.67200000000048,64.46600000000035,69.1220000000003
35.0,0.0,13.886999999999716,22.902000000000044,33.314000000000306,24.978000000000065,58.29600000000028,40.74200000000019,40.92100000000028,44.86999999999989,47.83300000000054,50.850000000000364,60.3720000000003,46.4980000000005,55.19999999999982,62.435999999999694,68.9970000000003,75.17799999999988,70.86700000000019,67.18199999999979,72.61499999999978
36.0,0.0,14.225000000000364,23.94800000000032,34.07800000000043,26.90100000000075,59.25300000000061,42.27600000000075,62.8100000000004,50.431000000000495,49.92800000000079,52.61500000000069,60.72400000000016,48.6200000000008,57.17500000000018,64.46100000000024,71.55000000000018,76.88799999999992,72.53700000000026,70.1820000000007,78.63000000000011
37.0,0.0,15.03399999999965,24.60199999999986,34.347999999999956,28.00799999999981,60.17499999999927,43.49699999999939,63.46299999999974,71.26099999999951,51.36799999999948,54.26499999999942,62.07299999999941,50.09099999999944,59.05799999999999,65.47599999999966,78.7559999999994,78.32299999999941,75.30299999999988,74.44499999999971,101.41999999999916
38.0,0.0,15.34900000000016,24.989000000000487,34.177999999999884,28.980999999999767,60.78200000000015,44.15400000000045,63.07300000000032,70.59699999999975,52.35500000000047,55.306000000000495,62.77599999999984,51.28099999999995,63.91899999999987,66.09200000000055,98.26199999999972,81.04100000000017,77.36499999999978,76.97600000000057,101.32099999999991
39.0,0.0,15.621000000000095,25.396999999999935,34.16600000000017,29.8100000000004,60.527000000000044,44.68299999999999,63.11899999999969,70.2569999999996,57.18000000000029,56.54200000000037,64.22000000000025,56.07099999999991,83.03499999999985,67.07999999999993,98.71000000000004,82.1880000000001,77.98199999999997,85.20700000000033,101.6210000000001
40.0,0.0,15.701000000000022,25.61999999999989,33.96900000000005,30.475000000000364,60.66899999999987,45.12700000000041,63.460000000000036,69.98800000000028,77.8739999999998,57.3730000000005,64.71799999999985,75.58799999999974,82.9930000000004,67.72299999999996,98.8680000000004,82.6810000000005,81.125,108.85400000000027,101.83600000000024
41.0,0.0,15.694000000000415,25.561000000000604,33.64000000000033,35.225000000000364,60.95800000000054,45.43700000000081,63.63300000000072,69.52300000000014,76.71900000000005,61.569000000000415,64.91600000000017,74.73700000000008,82.0570000000007,68.23199999999997,98.83800000000065,84.14300000000003,81.78900000000067,109.79600000000028,101.5530000000008
42.0,0.0,15.78899999999976,25.75,33.45499999999993,55.284999999999854,61.40799999999945,46.24499999999989,64.23700000000008,69.47499999999945,76.20399999999972,81.83899999999994,65.4389999999994,74.6319999999996,83.17500000000018,69.14099999999962,99.38500000000022,85.75799999999981,88.85300000000007,110.40999999999985,102.08100000000013
43.0,0.0,15.954999999999927,26.03599999999915,33.610999999999876,55.70399999999972,62.003999999999905,47.46299999999974,65.02499999999964,69.63599999999951,75.94999999999982,81.38699999999972,66.17199999999957,74.58399999999983,83.5029999999997,75.30799999999999,100.30899999999929,86.42199999999957,108.21499999999924,111.65599999999995,102.97399999999925
44.0,0.0,16.105999999999767,26.36200000000008,34.14500000000044,55.975000000000364,63.155000000000655,52.39500000000044,65.91700000000037,70.00200000000041,75.78400000000056,81.07400000000052,67.26500000000033,74.46799999999985,83.84500000000025,97.17700000000059,101.09699999999975,87.31700000000001,107.3140000000003,114.75,103.83899999999994
