,VER,LEC,PER,OCO,STR,SAI,HAM,RUS,ALO,PIA,GAS,ALB,MAG,RIC,ZHO,SAR,BOT,TSU,HUL,NOR
12.0,0.0,2.0950000000002547,17.447000000000116,9.940000000000055,18.88799999999992,19.82900000000018,12.300000000000182,3.699000000000069,20.231000000000222,11.467999999999847,4.655999999999949,7.84900000000016,13.829000000000178,19.608000000000175,15.25500000000011,8.795000000000073,24.320999999999913,43.228000000000065,22.394000000000233,
13.0,0.0,1.9400000000000546,17.007000000000062,10.44399999999996,19.184999999999945,20.807000000000244,12.036000000000058,3.94399999999996,21.880999999999858,11.344000000000051,5.307000000000244,8.822999999999865,14.86200000000008,22.807999999999993,15.961999999999989,9.728999999999814,25.824999999999818,44.396999999999935,41.04800000000023,
14.0,0.0,1.48700000000008,17.40000000000009,11.014999999999873,19.041999999999916,20.054999999999836,12.726000000000113,4.135999999999967,20.903000000000247,12.137000000000171,6.141000000000076,9.92300000000023,21.880999999999858,24.73700000000008,17.713000000000193,12.951000000000022,30.853999999999814,45.789000000000215,41.577999999999975,
15.0,0.0,0.5970000000002074,16.146000000000186,11.222999999999956,19.131000000000313,19.583000000000084,12.280999999999949,8.765000000000327,19.972999999999956,12.012000000000171,6.997000000000298,10.96100000000024,38.51500000000033,25.546000000000276,19.442000000000007,20.26000000000022,32.10500000000002,46.177000000000135,40.802000000000135,
16.0,4.64200000000028,0.0,14.184000000000196,11.329000000000178,17.7470000000003,19.68000000000029,13.438000000000102,24.15000000000009,21.58100000000013,19.26000000000022,7.726000000000113,16.718000000000302,38.36500000000024,26.682999999999993,20.384000000000015,36.684999999999945,32.794000000000324,45.98700000000008,39.35200000000032,
17.0,28.55300000000034,0.0,14.644999999999982,13.302000000000135,19.01200000000017,21.920000000000073,33.4680000000003,24.822000000000116,23.557000000000244,39.42000000000007,15.391000000000076,35.79500000000007,40.0590000000002,35.10900000000038,22.613000000000284,38.52300000000014,36.384000000000015,48.021999999999935,41.08899999999994,
18.0,27.907000000000153,0.0,14.416999999999916,15.009000000000015,18.936999999999898,22.05099999999993,54.4050000000002,24.82900000000018,24.166000000000167,39.03800000000001,33.728999999999814,36.34900000000016,41.0,55.10699999999997,24.532000000000153,39.66100000000006,38.25,49.19900000000007,43.11000000000013,
19.0,27.72400000000016,0.0,14.297000000000025,16.769999999999982,19.251999999999953,22.559999999999945,55.01099999999997,26.4050000000002,24.903999999999996,40.003000000000156,34.52599999999984,37.664999999999964,42.36200000000008,56.98099999999977,27.177999999999884,41.25599999999986,41.00199999999995,51.50599999999986,45.0630000000001,
20.0,28.278999999999996,0.0,13.653999999999996,23.054999999999836,20.148999999999887,22.985999999999876,55.07899999999972,26.027999999999793,25.0329999999999,39.01299999999992,34.6880000000001,37.91800000000012,43.11200000000008,57.654999999999745,29.467999999999847,41.653999999999996,42.69900000000007,53.70899999999983,45.8119999999999,
21.0,22.778999999999996,0.0,8.62099999999964,36.047999999999774,16.27099999999973,18.94499999999971,52.11299999999983,21.384999999999764,21.254999999999654,33.67399999999998,30.08199999999988,33.22599999999966,39.60999999999967,53.98299999999972,26.290999999999713,37.63599999999997,41.46399999999994,58.577999999999975,42.30099999999993,
22.0,14.572000000000116,10.719000000000051,0.0,27.298999999999978,8.69399999999996,11.726999999999862,44.08399999999983,14.07699999999977,14.474999999999909,24.625,21.952999999999975,25.47499999999991,32.00700000000006,47.04300000000012,19.72499999999991,29.333999999999833,37.19399999999996,71.98199999999997,35.99499999999989,
23.0,14.242999999999938,11.634999999999764,0.0,26.768999999999778,9.402000000000044,12.89599999999973,44.21799999999985,13.690000000000055,17.08699999999999,24.54599999999982,22.221000000000004,25.766999999999825,33.266999999999825,48.25099999999975,21.721999999999753,29.688000000000102,40.10100000000011,74.64300000000003,36.947999999999865,
24.0,14.755999999999858,11.69900000000007,0.0,26.47699999999986,10.58199999999988,15.442999999999756,44.63099999999986,14.103999999999814,18.94499999999971,24.489000000000033,23.460999999999785,26.963999999999942,34.75099999999975,49.64499999999998,24.134000000000015,30.166999999999916,48.710000000000036,77.10599999999977,37.8130000000001,
25.0,15.340000000000146,11.458000000000084,0.0,26.54599999999982,12.001999999999953,17.304000000000087,44.50599999999986,16.34999999999991,20.36299999999983,25.103000000000065,23.596000000000004,27.884000000000015,36.259000000000015,50.94200000000001,27.266000000000076,31.143999999999778,69.25199999999995,78.8409999999999,39.09400000000005,
26.0,15.847000000000207,8.123999999999796,0.0,28.126000000000204,15.09900000000016,21.059000000000196,56.873999999999796,18.764999999999873,25.157000000000153,26.340000000000146,25.251999999999953,30.835000000000036,46.284000000000106,61.610999999999876,34.22699999999986,36.23500000000013,87.33800000000019,99.81399999999985,49.88299999999981,
27.0,4.936999999999898,0.0,1.0670000000000073,5.625,6.858999999999924,9.764999999999873,21.855000000000018,9.121999999999844,11.80099999999993,3.6399999999998727,2.311999999999898,7.780999999999949,14.117999999999938,15.391000000000076,13.492999999999938,10.633000000000266,37.5590000000002,50.141999999999825,16.139999999999873,
28.0,1.8919999999998254,0.0,0.7689999999997781,2.4149999999999636,3.298999999999978,4.347999999999956,7.398999999999887,3.8840000000000146,5.03899999999976,1.531999999999698,0.9679999999998472,3.425999999999931,6.369000000000142,6.844000000000051,5.723999999999705,4.911000000000058,8.114999999999782,9.616999999999734,7.126999999999953,
29.0,3.1580000000003565,0.0,0.5540000000000873,3.8870000000006257,5.350000000000364,6.207000000000335,9.686999999999898,5.621000000000095,6.579999999999927,1.9990000000007058,2.54700000000048,4.4190000000007785,8.394000000000233,9.490999999999985,7.231000000000677,7.8700000000008,10.92700000000059,13.278000000000247,8.965000000000146,
30.0,3.399000000000342,0.0,0.3670000000001892,4.173000000000684,5.923999999999978,7.125,10.624000000000706,6.552000000000589,7.997000000000298,1.691000000000713,3.0390000000006694,5.056000000000495,9.86700000000019,12.061000000000604,8.592999999999847,9.088999999999942,13.65099999999984,16.329000000000633,10.327000000000226,
31.0,3.9200000000000728,0.0,0.454000000000633,5.1200000000008,6.781000000000859,8.296000000000276,11.514000000000124,7.580000000000837,8.981000000000677,1.592000000000553,4.584000000000742,5.825000000000728,11.397000000000844,14.21600000000035,10.230000000000473,10.619000000000597,17.24000000000069,19.78900000000067,13.002000000000407,
