,VER,NOR,SAI,PER,RUS,GAS,STR,TSU,ALB,SAR,HUL,BOT,ZHO,MAG,RIC,ALO,PIA,OCO,HAM,LEC
15.0,6.610999999999876,0.0,11.101000000000568,14.72900000000027,13.381000000000313,18.579000000000633,33.509000000000015,22.256000000000313,47.46399999999994,52.121000000000095,36.57999999999993,48.64800000000014,45.525000000000546,55.155000000000655,26.14800000000014,29.84900000000016,,,1.9660000000003492,8.44000000000051
16.0,6.457000000000335,0.0,11.40899999999965,14.996000000000095,13.587999999999738,19.065999999999804,33.93199999999979,23.131999999999607,47.86999999999989,52.46699999999964,37.42699999999968,48.939000000000306,45.93199999999979,56.15599999999995,26.577000000000226,29.91399999999976,,,1.780999999999949,8.515999999999622
17.0,24.564000000000306,0.0,12.233000000000175,15.969000000000051,14.076000000000022,19.914999999999964,34.91899999999987,24.07300000000032,48.35599999999977,52.287999999999556,38.30199999999968,48.94800000000032,46.582000000000335,56.78700000000026,28.103000000000065,31.13799999999992,,,1.649000000000342,8.452000000000226
18.0,21.11700000000019,17.03900000000067,29.29700000000048,32.8720000000003,12.295000000000073,19.399000000000342,34.61800000000039,41.9340000000002,46.92700000000059,50.3119999999999,37.20100000000002,47.52100000000064,45.27800000000025,55.26900000000023,27.15599999999995,30.858000000000175,,,0.0,6.733000000000175
19.0,18.403000000000247,14.882000000000517,27.64300000000003,30.748000000000502,11.8100000000004,36.50799999999981,34.61800000000039,40.42500000000018,46.472999999999956,49.27000000000044,38.47400000000016,47.40400000000045,44.92699999999968,54.878999999999905,26.938000000000102,30.983000000000175,,,0.0,6.283999999999651
20.0,15.51299999999992,12.579999999999927,24.537000000000262,28.30999999999949,11.414999999999964,34.61700000000019,34.649999999999636,38.76999999999953,45.72900000000027,48.27400000000034,59.97400000000016,46.47999999999956,43.998999999999796,54.21100000000024,27.6899999999996,49.48199999999997,,,0.0,5.71100000000024
21.0,7.416000000000167,4.694999999999709,16.657000000000153,20.73399999999947,6.501999999999498,27.5029999999997,48.547999999999774,31.63499999999931,39.33100000000013,42.78399999999965,53.498999999999796,40.30499999999938,38.063999999999396,49.68499999999949,23.933999999999287,41.391999999999825,,,13.956999999999425,0.0
22.0,4.928000000000793,2.3400000000001455,14.687000000000808,18.40900000000056,25.678000000000793,26.48400000000038,46.75600000000031,30.50300000000061,39.012000000000626,42.38100000000031,51.84600000000046,40.53200000000015,38.10400000000027,49.90600000000086,24.55200000000059,39.363000000000284,,,12.069000000000415,0.0
23.0,2.2789999999995416,0.15799999999944703,12.800000000000182,16.24200000000019,23.545000000000073,24.86200000000008,45.47599999999966,29.15899999999965,39.302999999999884,42.542999999999665,50.46599999999944,40.57299999999941,38.34299999999985,50.11999999999989,44.49799999999959,37.28299999999945,,,9.725999999999658,0.0
24.0,2.354000000000269,0.0,13.21100000000024,16.559000000000196,24.29200000000037,25.769000000000233,46.715000000000146,30.32300000000032,41.78899999999976,44.86899999999969,51.34100000000035,43.176000000000386,41.13200000000052,53.556000000000495,45.91200000000026,38.340000000000146,,,9.67200000000048,21.76600000000053
25.0,1.217000000000553,0.0,12.296000000000276,15.320000000000618,24.264000000000124,25.699000000000524,46.34400000000005,30.259000000000015,43.00200000000041,45.69800000000032,51.20100000000002,44.50600000000031,43.72700000000077,55.04400000000078,47.06700000000001,37.76500000000033,,,8.44000000000051,21.463999999999942
26.0,0.9589999999998327,0.0,12.005999999999403,14.99499999999989,24.091999999999643,25.906999999999243,46.5019999999995,31.08599999999933,44.10499999999956,47.53299999999945,51.414999999999964,45.84599999999955,45.30199999999968,56.79099999999926,48.498999999999796,37.46699999999964,,,7.810999999999694,21.40399999999954
27.0,0.9239999999999782,0.0,11.654999999999745,14.328999999999724,24.136999999999716,26.277999999999338,48.24799999999959,31.92199999999957,45.13000000000011,49.76899999999932,52.42500000000018,47.41600000000017,51.185999999999694,58.78299999999945,51.00500000000011,37.5679999999993,,,7.134999999999309,20.971999999999753
28.0,0.0,0.6520000000000437,10.891999999999825,13.208000000000538,23.506000000000313,26.24499999999989,47.345000000000255,32.011999999999716,45.63799999999992,50.67100000000028,52.66700000000037,49.207000000000335,72.75799999999981,60.19800000000032,51.302999999999884,36.72699999999986,,,6.143000000000029,19.871000000000095
29.0,0.0,1.0679999999993015,10.761999999999716,12.829999999999927,23.487999999999374,26.7549999999992,47.19999999999982,32.662999999999556,46.95899999999983,51.982999999999265,53.97099999999955,70.71499999999924,74.11199999999917,62.612999999999374,53.11399999999958,36.792999999999665,,,5.70299999999952,19.664999999999964
30.0,0.0,0.9030000000002474,10.587999999999738,12.452000000000226,24.559000000000196,27.465000000000146,46.94300000000021,33.48000000000047,68.16200000000026,53.36400000000049,54.1869999999999,71.33799999999974,75.4960000000001,84.79399999999987,55.32600000000002,36.80400000000009,,,5.578000000000429,19.757000000000517
31.0,0.0,1.1259999999992942,10.835000000000036,12.492999999999483,25.152000000000044,28.643999999999323,47.085000000000036,34.56999999999971,68.7519999999995,55.710000000000036,54.53200000000015,72.33299999999963,77.00500000000011,86.36599999999999,57.42399999999998,37.52799999999934,,,5.550999999999476,20.13499999999931
32.0,0.0,1.7609999999995125,10.808999999999287,12.720999999999549,25.875,29.30499999999938,46.978000000000065,35.49399999999969,69.44599999999991,58.086999999999534,55.402000000000044,73.11200000000008,77.65200000000004,86.82099999999991,59.04599999999937,37.844999999999345,,,5.818999999999505,20.279999999999745
33.0,0.0,3.0659999999998035,11.19000000000051,13.213999999999942,26.465000000000146,29.975999999999658,47.15099999999984,36.45800000000054,70.04399999999987,79.77599999999984,57.039999999999964,74.26000000000022,79.08600000000024,87.38400000000001,60.92500000000018,37.89900000000034,,,5.931999999999789,20.10199999999986
