,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Event_Name
854,0 days 00:35:59.547000,18.1,40.1,1005.7,False,37.4,25,0.9,Portuguese Grand Prix
855,0 days 00:42:59.603000,17.7,41.6,1005.5,False,36.5,17,0.9,Portuguese Grand Prix
856,0 days 00:44:59.611000,17.7,40.6,1005.6,False,36.3,346,0.6,Portuguese Grand Prix
857,0 days 00:45:59.610000,17.4,41.0,1005.7,False,35.0,20,0.8,Portuguese Grand Prix
858,0 days 00:47:59.647000,17.7,43.3,1005.5,False,34.2,0,0.6,Portuguese Grand Prix
859,0 days 00:52:59.674000,18.4,42.6,1005.5,False,36.6,7,0.5,Portuguese Grand Prix
860,0 days 00:53:59.673000,18.2,43.4,1005.5,False,35.7,1,0.6,Portuguese Grand Prix
861,0 days 00:54:59.664000,18.4,43.4,1005.5,False,35.7,353,0.6,Portuguese Grand Prix
862,0 days 00:16:59.503000,18.1,42.5,1005.8,False,38.4,10,0.7,Portuguese Grand Prix
863,0 days 00:17:59.521000,18.1,42.4,1005.5,False,38.4,347,0.7,Portuguese Grand Prix
864,0 days 00:19:59.514000,18.0,43.6,1005.6,False,38.4,43,0.5,Portuguese Grand Prix
865,0 days 00:20:59.534000,18.2,42.6,1005.6,False,38.8,67,0.5,Portuguese Grand Prix
866,0 days 00:22:59.551000,18.4,40.1,1005.7,False,39.1,31,0.8,Portuguese Grand Prix
867,0 days 00:23:59.547000,18.5,40.6,1005.6,False,39.2,346,0.6,Portuguese Grand Prix
868,0 days 00:27:59.555000,19.0,38.7,1005.8,False,38.8,25,0.8,Portuguese Grand Prix
869,0 days 00:29:59.546000,18.3,40.3,1005.8,False,38.8,0,0.8,Portuguese Grand Prix
870,0 days 00:30:59.552000,18.2,41.0,1005.7,False,39.3,29,0.8,Portuguese Grand Prix
871,0 days 00:32:59.548000,18.1,42.0,1005.6,False,38.9,29,0.6,Portuguese Grand Prix
872,0 days 00:33:59.553000,18.0,41.6,1005.7,False,37.8,19,0.7,Portuguese Grand Prix
873,0 days 00:41:59.579000,18.0,41.3,1005.6,False,36.3,41,0.8,Portuguese Grand Prix
874,0 days 00:43:59.599000,17.6,40.9,1005.7,False,36.5,348,0.5,Portuguese Grand Prix
875,0 days 00:44:59.611000,17.7,40.6,1005.6,False,36.3,346,0.6,Portuguese Grand Prix
876,0 days 00:46:59.626000,17.6,42.6,1005.5,False,34.2,22,0.6,Portuguese Grand Prix
877,0 days 00:50:59.643000,18.4,40.9,1005.4,False,37.0,358,0.5,Portuguese Grand Prix
878,0 days 00:52:59.674000,18.4,42.6,1005.5,False,36.6,7,0.5,Portuguese Grand Prix
879,0 days 00:54:59.664000,18.4,43.4,1005.5,False,35.7,353,0.6,Portuguese Grand Prix
880,0 days 00:55:59.672000,18.4,42.9,1005.4,False,37.1,26,0.6,Portuguese Grand Prix
881,0 days 00:15:59.487000,18.0,42.8,1005.7,False,38.3,357,1.0,Portuguese Grand Prix
882,0 days 00:16:59.503000,18.1,42.5,1005.8,False,38.4,10,0.7,Portuguese Grand Prix
883,0 days 00:18:59.520000,18.1,43.2,1005.6,False,38.4,31,0.8,Portuguese Grand Prix
884,0 days 00:19:59.514000,18.0,43.6,1005.6,False,38.4,43,0.5,Portuguese Grand Prix
885,0 days 00:21:59.545000,18.3,41.9,1005.7,False,38.9,31,0.8,Portuguese Grand Prix
886,0 days 00:22:59.551000,18.4,40.1,1005.7,False,39.1,31,0.8,Portuguese Grand Prix
887,0 days 00:27:59.555000,19.0,38.7,1005.8,False,38.8,25,0.8,Portuguese Grand Prix
888,0 days 00:29:59.546000,18.3,40.3,1005.8,False,38.8,0,0.8,Portuguese Grand Prix
889,0 days 00:30:59.552000,18.2,41.0,1005.7,False,39.3,29,0.8,Portuguese Grand Prix
890,0 days 00:32:59.548000,18.1,42.0,1005.6,False,38.9,29,0.6,Portuguese Grand Prix
891,0 days 00:33:59.553000,18.0,41.6,1005.7,False,37.8,19,0.7,Portuguese Grand Prix
892,0 days 00:15:59.487000,18.0,42.8,1005.7,False,38.3,357,1.0,Portuguese Grand Prix
893,0 days 00:17:59.521000,18.1,42.4,1005.5,False,38.4,347,0.7,Portuguese Grand Prix
894,0 days 00:18:59.520000,18.1,43.2,1005.6,False,38.4,31,0.8,Portuguese Grand Prix
895,0 days 00:20:59.534000,18.2,42.6,1005.6,False,38.8,67,0.5,Portuguese Grand Prix
896,0 days 00:22:59.551000,18.4,40.1,1005.7,False,39.1,31,0.8,Portuguese Grand Prix
897,0 days 00:23:59.547000,18.5,40.6,1005.6,False,39.2,346,0.6,Portuguese Grand Prix
898,0 days 00:29:59.546000,18.3,40.3,1005.8,False,38.8,0,0.8,Portuguese Grand Prix
899,0 days 00:30:59.552000,18.2,41.0,1005.7,False,39.3,29,0.8,Portuguese Grand Prix
900,0 days 00:32:59.548000,18.1,42.0,1005.6,False,38.9,29,0.6,Portuguese Grand Prix
901,0 days 00:33:59.553000,18.0,41.6,1005.7,False,37.8,19,0.7,Portuguese Grand Prix
902,0 days 00:16:59.503000,18.1,42.5,1005.8,False,38.4,10,0.7,Portuguese Grand Prix
903,0 days 00:18:59.520000,18.1,43.2,1005.6,False,38.4,31,0.8,Portuguese Grand Prix
904,0 days 00:19:59.514000,18.0,43.6,1005.6,False,38.4,43,0.5,Portuguese Grand Prix
