,DriverNumber,Abbreviation,DriverId,TeamName,TeamColor,TeamId,Position,ClassifiedPosition,Q1,Q2,Q3,Time,Event_Name
62,77,BOT,bottas,Mercedes,00D2BE,mercedes,3.0,,0 days 00:01:18.005000,0 days 00:01:17.142000,0 days 00:01:16.873000,,Spanish Grand Prix
63,16,LEC,leclerc,Ferrari,DC0004,ferrari,4.0,,0 days 00:01:18.041000,0 days 00:01:17.717000,0 days 00:01:17.510000,,Spanish Grand Prix
64,31,OCO,ocon,Alpine,0090FF,alpine,5.0,,0 days 00:01:18.281000,0 days 00:01:17.743000,0 days 00:01:17.580000,,Spanish Grand Prix
65,55,SAI,sainz,Ferrari,DC0004,ferrari,6.0,,0 days 00:01:18.205000,0 days 00:01:17.656000,0 days 00:01:17.620000,,Spanish Grand Prix
66,3,RIC,ricciardo,McLaren,FF9800,mclaren,7.0,,0 days 00:01:18.264000,0 days 00:01:17.719000,0 days 00:01:17.622000,,Spanish Grand Prix
67,11,PER,perez,Red Bull Racing,0600EF,red_bull,8.0,,0 days 00:01:18.203000,0 days 00:01:17.669000,0 days 00:01:17.701000,,Spanish Grand Prix
68,4,NOR,norris,McLaren,FF9800,mclaren,9.0,,0 days 00:01:17.821000,0 days 00:01:17.696000,0 days 00:01:18.010000,,Spanish Grand Prix
69,14,ALO,alonso,Alpine,0090FF,alpine,10.0,,0 days 00:01:18.281000,0 days 00:01:17.966000,0 days 00:01:18.147000,,Spanish Grand Prix
70,18,STR,stroll,Aston Martin,006F62,aston_martin,11.0,,0 days 00:01:18.241000,0 days 00:01:17.974000,,,Spanish Grand Prix
71,10,GAS,gasly,AlphaTauri,2B4562,alphatauri,12.0,,0 days 00:01:18.190000,0 days 00:01:17.982000,,,Spanish Grand Prix
72,5,VET,vettel,Aston Martin,006F62,aston_martin,13.0,,0 days 00:01:18.289000,0 days 00:01:18.079000,,,Spanish Grand Prix
73,99,GIO,giovinazzi,Alfa Romeo Racing,900000,alfa,14.0,,0 days 00:01:18.549000,0 days 00:01:18.356000,,,Spanish Grand Prix
74,63,RUS,russell,Williams,005AFF,williams,15.0,,0 days 00:01:18.445000,0 days 00:01:19.154000,,,Spanish Grand Prix
75,22,TSU,tsunoda,AlphaTauri,2B4562,alphatauri,16.0,,0 days 00:01:18.556000,,,,Spanish Grand Prix
76,7,RAI,raikkonen,Alfa Romeo Racing,900000,alfa,17.0,,0 days 00:01:18.917000,,,,Spanish Grand Prix
77,47,MSC,mick_schumacher,Haas F1 Team,FFFFFF,haas,18.0,,0 days 00:01:19.117000,,,,Spanish Grand Prix
78,6,LAT,latifi,Williams,005AFF,williams,19.0,,0 days 00:01:19.219000,,,,Spanish Grand Prix
79,9,MAZ,mazepin,Haas F1 Team,FFFFFF,haas,20.0,,0 days 00:01:19.807000,,,,Spanish Grand Prix
80,16,LEC,leclerc,Ferrari,DC0004,ferrari,1.0,,0 days 00:01:11.113000,0 days 00:01:10.597000,0 days 00:01:10.346000,,Monaco Grand Prix
81,33,VER,max_verstappen,Red Bull Racing,0600EF,red_bull,2.0,,0 days 00:01:11.124000,0 days 00:01:10.650000,0 days 00:01:10.576000,,Monaco Grand Prix
82,77,BOT,bottas,Mercedes,00D2BE,mercedes,3.0,,0 days 00:01:10.938000,0 days 00:01:10.695000,0 days 00:01:10.601000,,Monaco Grand Prix
83,55,SAI,sainz,Ferrari,DC0004,ferrari,4.0,,0 days 00:01:11.324000,0 days 00:01:10.806000,0 days 00:01:10.611000,,Monaco Grand Prix
84,4,NOR,norris,McLaren,FF9800,mclaren,5.0,,0 days 00:01:11.321000,0 days 00:01:11.031000,0 days 00:01:10.620000,,Monaco Grand Prix
85,10,GAS,gasly,AlphaTauri,2B4562,alphatauri,6.0,,0 days 00:01:11.560000,0 days 00:01:11.179000,0 days 00:01:10.900000,,Monaco Grand Prix
86,44,HAM,hamilton,Mercedes,00D2BE,mercedes,7.0,,0 days 00:01:11.622000,0 days 00:01:11.116000,0 days 00:01:11.095000,,Monaco Grand Prix
87,5,VET,vettel,Aston Martin,006F62,aston_martin,8.0,,0 days 00:01:12.078000,0 days 00:01:11.309000,0 days 00:01:11.419000,,Monaco Grand Prix
88,11,PER,perez,Red Bull Racing,0600EF,red_bull,9.0,,0 days 00:01:11.644000,0 days 00:01:11.019000,0 days 00:01:11.573000,,Monaco Grand Prix
89,99,GIO,giovinazzi,Alfa Romeo Racing,900000,alfa,10.0,,0 days 00:01:11.658000,0 days 00:01:11.409000,0 days 00:01:11.779000,,Monaco Grand Prix
90,31,OCO,ocon,Alpine,0090FF,alpine,11.0,,0 days 00:01:11.740000,0 days 00:01:11.486000,,,Monaco Grand Prix
91,3,RIC,ricciardo,McLaren,FF9800,mclaren,12.0,,0 days 00:01:11.747000,0 days 00:01:11.598000,,,Monaco Grand Prix
92,18,STR,stroll,Aston Martin,006F62,aston_martin,13.0,,0 days 00:01:11.979000,0 days 00:01:11.600000,,,Monaco Grand Prix
93,7,RAI,raikkonen,Alfa Romeo Racing,900000,alfa,14.0,,0 days 00:01:11.899000,0 days 00:01:11.642000,,,Monaco Grand Prix
94,63,RUS,russell,Williams,005AFF,williams,15.0,,0 days 00:01:12.016000,0 days 00:01:11.830000,,,Monaco Grand Prix
95,22,TSU,tsunoda,AlphaTauri,2B4562,alphatauri,16.0,,0 days 00:01:12.096000,,,,Monaco Grand Prix
96,14,ALO,alonso,Alpine,0090FF,alpine,17.0,,0 days 00:01:12.205000,,,,Monaco Grand Prix
97,6,LAT,latifi,Williams,005AFF,williams,18.0,,0 days 00:01:12.366000,,,,Monaco Grand Prix
98,9,MAZ,mazepin,Haas F1 Team,FFFFFF,haas,19.0,,0 days 00:01:12.958000,,,,Monaco Grand Prix
99,47,MSC,nan,Haas F1 Team,FFFFFF,nan,,,,,,,Monaco Grand Prix
100,16,LEC,leclerc,Ferrari,DC0004,ferrari,1.0,,0 days 00:01:42.241000,0 days 00:01:41.659000,0 days 00:01:41.218000,,Azerbaijan Grand Prix
101,44,HAM,hamilton,Mercedes,00D2BE,mercedes,2.0,,0 days 00:01:41.545000,0 days 00:01:41.634000,0 days 00:01:41.450000,,Azerbaijan Grand Prix
102,33,VER,max_verstappen,Red Bull Racing,0600EF,red_bull,3.0,,0 days 00:01:41.760000,0 days 00:01:41.625000,0 days 00:01:41.563000,,Azerbaijan Grand Prix
103,10,GAS,gasly,AlphaTauri,2B4562,alphatauri,4.0,,0 days 00:01:42.288000,0 days 00:01:41.932000,0 days 00:01:41.565000,,Azerbaijan Grand Prix
104,55,SAI,sainz,Ferrari,DC0004,ferrari,5.0,,0 days 00:01:42.121000,0 days 00:01:41.740000,0 days 00:01:41.576000,,Azerbaijan Grand Prix
105,4,NOR,norris,McLaren,FF9800,mclaren,6.0,,0 days 00:01:42.167000,0 days 00:01:41.813000,0 days 00:01:41.747000,,Azerbaijan Grand Prix
106,11,PER,perez,Red Bull Racing,0600EF,red_bull,7.0,,0 days 00:01:41.968000,0 days 00:01:41.630000,0 days 00:01:41.917000,,Azerbaijan Grand Prix
107,22,TSU,tsunoda,AlphaTauri,2B4562,alphatauri,8.0,,0 days 00:01:42.521000,0 days 00:01:41.654000,0 days 00:01:42.211000,,Azerbaijan Grand Prix
